course,haccuracy,latitude,longitude,speed,time,nickname
0.0,32.0,41.31350415345283,2.024635416612752,0.5541178,2018-11-06 18:19:21,SGV_23_peu
0.0,32.0,41.313583081,2.02457328,1.050261,2018-11-06 18:19:22,SGV_23_peu
331.282,48.0,41.313565919,2.024587503,0.557383,2018-11-06 18:19:23,SGV_23_peu
93.634995,24.0,41.313577375,2.024599971,0.558429,2018-11-06 18:19:24,SGV_23_peu
93.4837,24.0,41.313586713,2.024613923,0.560168,2018-11-06 18:19:25,SGV_23_peu
92.62557,16.0,41.313605814,2.02462044,0.561924,2018-11-06 18:19:26,SGV_23_peu
92.40735,12.0,41.313631541,2.02462977,0.842741,2018-11-06 18:19:27,SGV_23_peu
88.37668,8.0,41.313665396,2.024639412,1.052466,2018-11-06 18:19:28,SGV_23_peu
82.740234,6.0,41.313695444,2.024645809,1.192832,2018-11-06 18:19:29,SGV_23_peu
70.97484,6.0,41.313717501,2.024646821,1.277638,2018-11-06 18:19:30,SGV_23_peu
75.01903,6.0,41.313740975,2.024641485,1.342761,2018-11-06 18:19:31,SGV_23_peu
76.292305,6.0,41.313754601,2.02463582,1.387418,2018-11-06 18:19:32,SGV_23_peu
61.163467,6.0,41.313762645,2.024630223,1.41191,2018-11-06 18:19:33,SGV_23_peu
54.569637,6.0,41.313770413,2.024624709,1.438956,2018-11-06 18:19:34,SGV_23_peu
51.60165,6.0,41.313777732,2.024619616,1.460749,2018-11-06 18:19:35,SGV_23_peu
45.069286,6.0,41.313785451,2.024614642,1.250723,2018-11-06 18:19:36,SGV_23_peu
34.224102,4.0,41.313793077,2.024609232,1.1076,2018-11-06 18:19:37,SGV_23_peu
24.113976,4.0,41.313799251,2.024603956,1.229578,2018-11-06 18:19:38,SGV_23_peu
18.001656,4.0,41.313805906,2.024597673,1.304139,2018-11-06 18:19:39,SGV_23_peu
16.803596,6.0,41.313812585,2.02458899,1.606182,2018-11-06 18:19:40,SGV_23_peu
298.828,6.0,41.313816791,2.02458151,1.840259,2018-11-06 18:19:41,SGV_23_peu
295.00824,6.0,41.313820435,2.024573682,1.545429,2018-11-06 18:19:42,SGV_23_peu
295.36755,6.0,41.313824942,2.024567064,1.592222,2018-11-06 18:19:43,SGV_23_peu
298.6792,6.0,41.313831133,2.024561046,1.637782,2018-11-06 18:19:44,SGV_23_peu
292.7997,6.0,41.31383845,2.024554432,1.680938,2018-11-06 18:19:45,SGV_23_peu
299.04633,6.0,41.313845648,2.024546381,1.949781,2018-11-06 18:19:46,SGV_23_peu
299.97113,6.0,41.313851768,2.024538311,1.898253,2018-11-06 18:19:47,SGV_23_peu
306.9096,4.0,41.31385672,2.024529995,1.862293,2018-11-06 18:19:48,SGV_23_peu
303.2328,4.0,41.313862937,2.02451429,1.90107,2018-11-06 18:19:49,SGV_23_peu
297.57767,4.0,41.313869959,2.024493071,1.957789,2018-11-06 18:19:50,SGV_23_peu
295.51062,4.0,41.313876967,2.024477073,1.950386,2018-11-06 18:19:51,SGV_23_peu
293.85205,4.0,41.313882203,2.024466208,1.912802,2018-11-06 18:19:52,SGV_23_peu
293.28168,4.0,41.313892708,2.02445215,1.940917,2018-11-06 18:19:53,SGV_23_peu
289.75928,4.0,41.313906381,2.024439247,1.947969,2018-11-06 18:19:54,SGV_23_peu
298.10687,4.0,41.313915362,2.024427997,1.929629,2018-11-06 18:19:55,SGV_23_peu
301.4629,4.0,41.31392142,2.02441915,1.894398,2018-11-06 18:19:56,SGV_23_peu
304.00604,4.0,41.31393026,2.024406639,1.914395,2018-11-06 18:19:57,SGV_23_peu
314.1867,4.0,41.31393882,2.024392366,1.930327,2018-11-06 18:19:58,SGV_23_peu
310.5485,4.0,41.313949165,2.024374783,1.98703,2018-11-06 18:19:59,SGV_23_peu
306.38046,4.0,41.313960407,2.024350546,2.078507,2018-11-06 18:20:00,SGV_23_peu
299.2633,4.0,41.313970756,2.024326161,2.127645,2018-11-06 18:20:01,SGV_23_peu
304.496,4.0,41.313979582,2.024308621,2.111466,2018-11-06 18:20:02,SGV_23_peu
305.67032,4.0,41.313990164,2.02428981,2.151509,2018-11-06 18:20:03,SGV_23_peu
299.2127,13.141996,41.313997477,2.024279405,2.07841,2018-11-06 18:20:04,SGV_23_peu
296.61346,13.370428,41.314009928,2.024255974,1.976381,2018-11-06 18:20:05,SGV_23_peu
299.70084,14.090745,41.314021794,2.024236005,1.882771,2018-11-06 18:20:06,SGV_23_peu
302.06213,14.58942,41.31403291,2.024218109,1.801127,2018-11-06 18:20:07,SGV_23_peu
303.36212,15.534689,41.31404316,2.024202723,1.720419,2018-11-06 18:20:08,SGV_23_peu
305.51062,15.592406,41.31405238,2.024191781,1.627125,2018-11-06 18:20:09,SGV_23_peu
298.98938,14.899148,41.314060586,2.024182557,1.556901,2018-11-06 18:20:10,SGV_23_peu
296.0177,15.350545,41.314068156,2.024170705,1.539023,2018-11-06 18:20:11,SGV_23_peu
297.1604,15.707145,41.31407618,2.024157343,1.534012,2018-11-06 18:20:12,SGV_23_peu
302.97253,15.298981,41.314086355,2.024144957,1.530759,2018-11-06 18:20:13,SGV_23_peu
306.03265,15.127229,41.314098657,2.024131342,1.558661,2018-11-06 18:20:14,SGV_23_peu
303.3426,14.845741,41.314110119,2.024118265,1.563416,2018-11-06 18:20:15,SGV_23_peu
308.49542,15.029566,41.314120685,2.024107378,1.548771,2018-11-06 18:20:16,SGV_23_peu
313.8864,15.442677,41.31413067,2.024098592,1.533719,2018-11-06 18:20:17,SGV_23_peu
315.55756,15.676247,41.314140518,2.024090636,1.515599,2018-11-06 18:20:18,SGV_23_peu
313.36053,15.399512,41.314150257,2.024083788,1.491004,2018-11-06 18:20:19,SGV_23_peu
320.1067,15.158211,41.314161444,2.02407769,1.484463,2018-11-06 18:20:20,SGV_23_peu
306.5442,14.938258,41.314170471,2.024069024,1.477829,2018-11-06 18:20:21,SGV_23_peu
315.88406,15.062093,41.314180833,2.02406083,1.483963,2018-11-06 18:20:22,SGV_23_peu
317.17194,15.151442,41.314191436,2.024051895,1.493259,2018-11-06 18:20:23,SGV_23_peu
309.59076,14.829708,41.314200759,2.024041495,1.501131,2018-11-06 18:20:24,SGV_23_peu
314.53693,14.088016,41.31421272,2.024029985,1.748163,2018-11-06 18:20:25,SGV_23_peu
317.25446,13.57105,41.314226272,2.024017804,1.918009,2018-11-06 18:20:26,SGV_23_peu
317.63055,13.655168,41.314239371,2.024005053,1.809597,2018-11-06 18:20:27,SGV_23_peu
321.50372,13.906068,41.314252147,2.023993114,1.736551,2018-11-06 18:20:28,SGV_23_peu
319.24884,14.092549,41.31426383,2.023981533,1.683456,2018-11-06 18:20:29,SGV_23_peu
318.74518,13.955559,41.314274651,2.023970431,1.644635,2018-11-06 18:20:30,SGV_23_peu
320.89413,13.158618,41.314284893,2.023959224,1.618983,2018-11-06 18:20:31,SGV_23_peu
320.00162,11.527125,41.314293981,2.023947486,1.596354,2018-11-06 18:20:32,SGV_23_peu
319.10455,11.189445,41.314303144,2.023937174,1.576309,2018-11-06 18:20:33,SGV_23_peu
319.3142,11.210752,41.314313151,2.023927601,1.563639,2018-11-06 18:20:34,SGV_23_peu
325.1719,11.212812,41.314324045,2.023919405,1.551293,2018-11-06 18:20:35,SGV_23_peu
322.39594,11.387988,41.314334611,2.023910286,1.545687,2018-11-06 18:20:36,SGV_23_peu
320.8682,11.54879,41.314344696,2.02390146,1.539853,2018-11-06 18:20:37,SGV_23_peu
320.09967,11.697092,41.314354855,2.023892732,1.532313,2018-11-06 18:20:38,SGV_23_peu
319.70688,11.848207,41.31436502,2.023883389,1.526035,2018-11-06 18:20:39,SGV_23_peu
318.51892,12.011314,41.314375592,2.023873265,1.528744,2018-11-06 18:20:40,SGV_23_peu
314.72366,12.219483,41.314386452,2.023861598,1.535876,2018-11-06 18:20:41,SGV_23_peu
311.02478,12.398966,41.314396753,2.023849679,1.534857,2018-11-06 18:20:42,SGV_23_peu
302.88245,12.535577,41.314405507,2.023836306,1.532822,2018-11-06 18:20:43,SGV_23_peu
304.8525,12.641397,41.314414752,2.023823414,1.527011,2018-11-06 18:20:44,SGV_23_peu
318.57574,12.430024,41.314425928,2.023814075,1.521854,2018-11-06 18:20:45,SGV_23_peu
328.02267,12.236308,41.314437931,2.023806861,1.527988,2018-11-06 18:20:46,SGV_23_peu
325.98495,12.268395,41.314449212,2.023798343,1.523572,2018-11-06 18:20:47,SGV_23_peu
324.83572,12.292089,41.314460588,2.023789482,1.520821,2018-11-06 18:20:48,SGV_23_peu
320.48285,12.461738,41.314471602,2.023779174,1.533437,2018-11-06 18:20:49,SGV_23_peu
321.38953,12.767893,41.314483354,2.023768104,1.538115,2018-11-06 18:20:50,SGV_23_peu
321.18774,13.070884,41.314495502,2.023756689,1.537316,2018-11-06 18:20:51,SGV_23_peu
322.63287,13.36475,41.314508009,2.023745362,1.542843,2018-11-06 18:20:52,SGV_23_peu
316.70145,13.650844,41.31451983,2.023732908,1.550934,2018-11-06 18:20:53,SGV_23_peu
319.33545,13.746731,41.314531766,2.023721973,1.554733,2018-11-06 18:20:54,SGV_23_peu
318.93607,13.667388,41.314543579,2.023710973,1.549737,2018-11-06 18:20:55,SGV_23_peu
317.9045,13.306545,41.314554634,2.023700455,1.545615,2018-11-06 18:20:56,SGV_23_peu
321.74493,13.117429,41.314566199,2.023689453,1.554384,2018-11-06 18:20:57,SGV_23_peu
322.06244,12.984668,41.314577652,2.02367781,1.555865,2018-11-06 18:20:58,SGV_23_peu
318.8517,12.826879,41.314587582,2.023665874,1.54437,2018-11-06 18:20:59,SGV_23_peu
