,course,haccuracy,latitude,longitude,speed,time,nickname
0,0.0,20.368,41.3360693,1.99892033,0.0,2018-11-10 19:32:34,sgv_1203_cotx
1,122.8,19.296001,41.33602146,1.99911464,6.14,2018-11-10 19:32:35,sgv_1203_cotx
2,97.9,20.368,41.3360526,1.99951675,11.01,2018-11-10 19:32:36,sgv_1203_cotx
3,93.2,23.584,41.33607589,1.99977091,11.27,2018-11-10 19:32:37,sgv_1203_cotx
4,77.3,17.152,41.33622361,2.00015037,13.65,2018-11-10 19:32:38,sgv_1203_cotx
5,79.6,17.152,41.33622106,2.00034536,13.45,2018-11-10 19:32:39,sgv_1203_cotx
6,85.3,12.864,41.3361394,2.00038399,9.1,2018-11-10 19:32:40,sgv_1203_cotx
7,98.0,11.792,41.33608444,2.00048428,8.48,2018-11-10 19:32:41,sgv_1203_cotx
8,101.2,11.792,41.33604221,2.00066211,10.31,2018-11-10 19:32:42,sgv_1203_cotx
9,118.7,12.864,41.33594677,2.00074139,9.9,2018-11-10 19:32:43,sgv_1203_cotx
10,121.2,10.72,41.3358982,2.00085805,9.64,2018-11-10 19:32:44,sgv_1203_cotx
11,121.0,11.792,41.33587792,2.00093498,8.66,2018-11-10 19:32:45,sgv_1203_cotx
12,129.8,9.648001,41.33581856,2.00099457,7.97,2018-11-10 19:32:46,sgv_1203_cotx
13,144.5,10.72,41.33568284,2.00101318,8.98,2018-11-10 19:32:47,sgv_1203_cotx
14,144.2,10.72,41.33559573,2.00110379,9.36,2018-11-10 19:32:48,sgv_1203_cotx
15,143.6,8.576,41.33552124,2.00114685,8.1,2018-11-10 19:32:49,sgv_1203_cotx
16,146.9,7.504,41.33543121,2.00115441,7.83,2018-11-10 19:32:50,sgv_1203_cotx
17,148.9,7.504,41.33535808,2.00118714,7.09,2018-11-10 19:32:51,sgv_1203_cotx
18,142.4,6.432,41.33530097,2.001217,6.2,2018-11-10 19:32:52,sgv_1203_cotx
19,142.8,7.504,41.33525125,2.00126992,3.74,2018-11-10 19:32:54,sgv_1203_cotx
20,143.5,7.504,41.33522183,2.00129422,3.75,2018-11-10 19:32:55,sgv_1203_cotx
21,142.3,6.432,41.33519734,2.00129748,2.18,2018-11-10 19:32:56,sgv_1203_cotx
22,139.0,6.432,41.33518547,2.00131712,1.74,2018-11-10 19:32:57,sgv_1203_cotx
23,132.1,6.432,41.33518431,2.00133859,1.79,2018-11-10 19:32:58,sgv_1203_cotx
24,155.8,5.36,41.33514612,2.00135416,2.29,2018-11-10 19:32:59,sgv_1203_cotx
25,153.6,4.288,41.33511065,2.00136278,3.76,2018-11-10 19:33:00,sgv_1203_cotx
26,168.6,4.288,41.335085,2.00138955,4.21,2018-11-10 19:33:01,sgv_1203_cotx
27,176.3,4.288,41.3350461,2.00137584,4.62,2018-11-10 19:33:02,sgv_1203_cotx
28,175.2,4.288,41.334995,2.0013803,4.79,2018-11-10 19:33:03,sgv_1203_cotx
29,179.2,4.288,41.33494811,2.00138257,4.96,2018-11-10 19:33:04,sgv_1203_cotx
30,176.6,4.288,41.33489778,2.00138697,5.2,2018-11-10 19:33:05,sgv_1203_cotx
31,177.0,4.288,41.33482902,2.00138835,6.54,2018-11-10 19:33:06,sgv_1203_cotx
32,175.7,4.288,41.33475936,2.00139144,7.3,2018-11-10 19:33:07,sgv_1203_cotx
33,176.1,4.288,41.33467757,2.00139116,7.79,2018-11-10 19:33:08,sgv_1203_cotx
34,175.0,4.288,41.33460501,2.00140235,8.06,2018-11-10 19:33:09,sgv_1203_cotx
35,178.3,4.288,41.33454506,2.00141349,7.48,2018-11-10 19:33:10,sgv_1203_cotx
36,177.3,5.36,41.33446928,2.00141449,7.92,2018-11-10 19:33:11,sgv_1203_cotx
37,167.3,5.36,41.33438162,2.00143642,8.33,2018-11-10 19:33:12,sgv_1203_cotx
38,153.7,6.432,41.33430664,2.00147091,8.69,2018-11-10 19:33:13,sgv_1203_cotx
39,151.3,6.432,41.3342404,2.00150942,8.78,2018-11-10 19:33:14,sgv_1203_cotx
40,143.2,6.432,41.33417785,2.00157116,8.9,2018-11-10 19:33:15,sgv_1203_cotx
41,140.9,6.432,41.33409671,2.00163944,9.19,2018-11-10 19:33:16,sgv_1203_cotx
42,140.9,7.504,41.33403246,2.00170862,9.18,2018-11-10 19:33:17,sgv_1203_cotx
43,139.3,6.432,41.3339706,2.00176787,9.16,2018-11-10 19:33:18,sgv_1203_cotx
44,140.1,6.432,41.33390436,2.00184091,8.97,2018-11-10 19:33:19,sgv_1203_cotx
45,139.6,5.36,41.3338472,2.00191345,8.85,2018-11-10 19:33:20,sgv_1203_cotx
46,139.6,6.432,41.33378656,2.00198204,8.85,2018-11-10 19:33:21,sgv_1203_cotx
47,138.7,4.288,41.33373659,2.00206363,8.51,2018-11-10 19:33:22,sgv_1203_cotx
48,138.7,5.36,41.33367903,2.00213082,8.51,2018-11-10 19:33:23,sgv_1203_cotx
49,138.9,3.216,41.33363638,2.00219264,7.01,2018-11-10 19:33:24,sgv_1203_cotx
50,137.8,3.216,41.33358898,2.00224613,7.01,2018-11-10 19:33:25,sgv_1203_cotx
51,137.8,4.288,41.33354217,2.0023024,7.01,2018-11-10 19:33:26,sgv_1203_cotx
52,133.7,3.216,41.3335072,2.00236649,6.79,2018-11-10 19:33:27,sgv_1203_cotx
53,136.8,3.216,41.33345769,2.00242458,7.24,2018-11-10 19:33:28,sgv_1203_cotx
54,136.7,4.288,41.33340482,2.00248515,7.24,2018-11-10 19:33:29,sgv_1203_cotx
55,136.8,4.288,41.33336092,2.00254641,7.35,2018-11-10 19:33:30,sgv_1203_cotx
56,136.8,5.36,41.33331268,2.00260656,7.35,2018-11-10 19:33:31,sgv_1203_cotx
57,138.2,5.36,41.3332755,2.00265824,7.47,2018-11-10 19:33:32,sgv_1203_cotx
58,129.4,4.288,41.33322937,2.00272877,7.27,2018-11-10 19:33:33,sgv_1203_cotx
59,144.8,4.288,41.33318463,2.00278317,7.48,2018-11-10 19:33:34,sgv_1203_cotx
60,143.8,4.288,41.33313129,2.00283423,6.97,2018-11-10 19:33:35,sgv_1203_cotx
61,158.1,5.36,41.33307054,2.00286796,7.66,2018-11-10 19:33:36,sgv_1203_cotx
62,173.2,5.36,41.33299268,2.00288422,8.19,2018-11-10 19:33:37,sgv_1203_cotx
63,190.4,4.288,41.33291392,2.00286379,8.02,2018-11-10 19:33:38,sgv_1203_cotx
64,198.6,4.288,41.33283818,2.00283622,8.21,2018-11-10 19:33:39,sgv_1203_cotx
