,course,haccuracy,latitude,longitude,speed,time,nickname
0,0.0,56.0,41.33294569,2.06436699,0.0,2018-11-11 13:55:40,sgv_1302_bus
1,92.0,47.0,41.33298428,2.0670208,25.16,2018-11-11 13:55:47,sgv_1302_bus
2,92.5,43.0,41.33295395,2.06776858,22.12,2018-11-11 13:55:49,sgv_1302_bus
3,90.5,38.0,41.33294583,2.06828258,21.31,2018-11-11 13:55:50,sgv_1302_bus
4,90.1,37.0,41.33297909,2.06847062,21.22,2018-11-11 13:55:51,sgv_1302_bus
5,91.5,36.0,41.33289737,2.06889111,21.68,2018-11-11 13:55:52,sgv_1302_bus
6,87.9,33.0,41.33291578,2.06917837,21.81,2018-11-11 13:55:53,sgv_1302_bus
7,86.2,32.0,41.33293976,2.06944756,22.4,2018-11-11 13:55:54,sgv_1302_bus
8,86.0,29.0,41.33294486,2.06971908,22.56,2018-11-11 13:55:55,sgv_1302_bus
9,85.1,29.0,41.33296571,2.07018367,24.15,2018-11-11 13:55:56,sgv_1302_bus
10,83.2,21.0,41.33300894,2.07107168,26.36,2018-11-11 13:55:58,sgv_1302_bus
11,86.2,18.0,41.33298375,2.07146324,26.81,2018-11-11 13:55:59,sgv_1302_bus
12,86.3,16.0,41.3329892,2.07188871,28.06,2018-11-11 13:56:00,sgv_1302_bus
13,88.4,16.0,41.33295872,2.07228102,27.54,2018-11-11 13:56:01,sgv_1302_bus
14,88.0,21.0,41.33297566,2.07259943,27.42,2018-11-11 13:56:02,sgv_1302_bus
15,87.7,27.0,41.33300159,2.07292679,27.25,2018-11-11 13:56:03,sgv_1302_bus
16,85.8,30.0,41.33305514,2.07329238,27.8,2018-11-11 13:56:04,sgv_1302_bus
17,83.0,35.0,41.33313643,2.07351074,26.59,2018-11-11 13:56:05,sgv_1302_bus
18,70.1,24.0,41.33336357,2.07347284,22.25,2018-11-11 13:56:06,sgv_1302_bus
19,67.9,21.0,41.33347382,2.07368082,21.7,2018-11-11 13:56:07,sgv_1302_bus
20,66.4,19.0,41.33359049,2.07380414,21.75,2018-11-11 13:56:08,sgv_1302_bus
21,66.5,17.0,41.33364583,2.07407756,21.81,2018-11-11 13:56:09,sgv_1302_bus
22,70.2,17.0,41.33369623,2.07440483,22.79,2018-11-11 13:56:10,sgv_1302_bus
23,69.6,16.0,41.33375919,2.07463629,21.46,2018-11-11 13:56:11,sgv_1302_bus
24,70.6,18.0,41.33384448,2.07486858,21.04,2018-11-11 13:56:12,sgv_1302_bus
25,70.3,20.0,41.33390577,2.07509724,20.94,2018-11-11 13:56:13,sgv_1302_bus
26,68.3,22.0,41.33397872,2.07534279,21.05,2018-11-11 13:56:14,sgv_1302_bus
27,68.0,25.0,41.33405019,2.07559681,21.28,2018-11-11 13:56:15,sgv_1302_bus
