course,haccuracy,latitude,longitude,speed,time,nickname
0.0,16.0,41.31446330497504,2.023874173642165,1.1916437,2018-11-13 18:24:38,sgv_23_peu_1
0.0,16.0,41.31450525,2.023862548,1.754631,2018-11-13 18:24:39,sgv_23_peu_1
345.95044,24.0,41.314507695,2.023861596,1.194565,2018-11-13 18:24:40,sgv_23_peu_1
0.0,24.0,41.3145568,2.023827049,0.56949,2018-11-13 18:24:42,sgv_23_peu_1
146.35887,24.0,41.314524784,2.023851547,1.20687,2018-11-13 18:24:43,sgv_23_peu_1
239.00995,32.0,41.314527011,2.023848292,1.208786,2018-11-13 18:24:44,sgv_23_peu_1
67.02046,24.0,41.314529443,2.023851126,1.209407,2018-11-13 18:24:45,sgv_23_peu_1
67.80244,16.0,41.314529501,2.023855637,1.211017,2018-11-13 18:24:46,sgv_23_peu_1
75.19284,8.0,41.3145205,2.02386975,1.385649,2018-11-13 18:24:48,sgv_23_peu_1
91.642525,8.0,41.314511976,2.023879453,1.440816,2018-11-13 18:24:49,sgv_23_peu_1
90.000496,6.0,41.314507906,2.02388539,1.470934,2018-11-13 18:24:50,sgv_23_peu_1
357.66763,6.0,41.314514588,2.023879259,1.495234,2018-11-13 18:24:52,sgv_23_peu_1
72.096756,6.0,41.314522015,2.023870474,1.490677,2018-11-13 18:24:53,sgv_23_peu_1
63.69478,6.0,41.314530656,2.023861787,1.491987,2018-11-13 18:24:54,sgv_23_peu_1
52.89267,6.0,41.314541064,2.023852805,1.496127,2018-11-13 18:24:55,sgv_23_peu_1
36.740997,4.0,41.314552382,2.023842359,1.500257,2018-11-13 18:24:56,sgv_23_peu_1
29.795631,4.0,41.314563589,2.023830258,1.505319,2018-11-13 18:24:57,sgv_23_peu_1
15.726006,4.0,41.314573043,2.023818101,1.510156,2018-11-13 18:24:58,sgv_23_peu_1
7.308678,6.0,41.314582062,2.02380338,1.518062,2018-11-13 18:24:59,sgv_23_peu_1
356.75818,6.0,41.314589564,2.023787652,1.531842,2018-11-13 18:25:00,sgv_23_peu_1
348.45248,6.0,41.314593423,2.02377165,1.518245,2018-11-13 18:25:01,sgv_23_peu_1
343.83258,6.0,41.314595714,2.023756833,1.508962,2018-11-13 18:25:02,sgv_23_peu_1
339.66415,8.0,41.314598687,2.023740696,1.521004,2018-11-13 18:25:03,sgv_23_peu_1
328.7143,6.0,41.314601465,2.023726156,1.541984,2018-11-13 18:25:04,sgv_23_peu_1
338.13803,6.0,41.314605078,2.023711726,1.577538,2018-11-13 18:25:05,sgv_23_peu_1
335.44116,6.0,41.314609861,2.023696687,1.618287,2018-11-13 18:25:06,sgv_23_peu_1
329.50723,6.0,41.314614579,2.023685358,1.649626,2018-11-13 18:25:07,sgv_23_peu_1
318.64917,6.0,41.314618385,2.023676693,1.66607,2018-11-13 18:25:08,sgv_23_peu_1
320.0249,6.0,41.314621485,2.023670333,1.670547,2018-11-13 18:25:09,sgv_23_peu_1
319.3887,6.0,41.314624114,2.023665637,1.667201,2018-11-13 18:25:10,sgv_23_peu_1
318.01617,6.0,41.314628858,2.023661277,1.673757,2018-11-13 18:25:11,sgv_23_peu_1
319.63885,6.0,41.314635846,2.023656623,1.697518,2018-11-13 18:25:12,sgv_23_peu_1
321.2776,6.0,41.314643273,2.023651998,1.717813,2018-11-13 18:25:13,sgv_23_peu_1
318.39194,6.0,41.314650605,2.023647598,1.727208,2018-11-13 18:25:14,sgv_23_peu_1
321.0392,6.0,41.314672507,2.023636047,1.87672,2018-11-13 18:25:15,sgv_23_peu_1
306.80893,4.0,41.314691649,2.023625502,1.923985,2018-11-13 18:25:16,sgv_23_peu_1
313.31146,4.0,41.314707882,2.02361888,1.922268,2018-11-13 18:25:17,sgv_23_peu_1
315.74933,4.0,41.314723445,2.023614906,1.903351,2018-11-13 18:25:18,sgv_23_peu_1
317.0815,4.0,41.314736898,2.023604079,1.915968,2018-11-13 18:25:19,sgv_23_peu_1
317.4983,4.0,41.31474609,2.023596834,1.884013,2018-11-13 18:25:20,sgv_23_peu_1
317.17242,4.0,41.314749638,2.023592587,1.822306,2018-11-13 18:25:21,sgv_23_peu_1
317.6404,4.0,41.314750497,2.023588255,1.767176,2018-11-13 18:25:22,sgv_23_peu_1
315.63007,4.0,41.314750925,2.02358311,1.732801,2018-11-13 18:25:23,sgv_23_peu_1
307.09753,6.0,41.314752474,2.023579288,1.708688,2018-11-13 18:25:24,sgv_23_peu_1
312.38153,6.0,41.31475436,2.023575912,1.681389,2018-11-13 18:25:25,sgv_23_peu_1
310.03714,6.0,41.314756284,2.023571897,1.667441,2018-11-13 18:25:26,sgv_23_peu_1
317.3681,6.0,41.314758694,2.023568306,1.667657,2018-11-13 18:25:27,sgv_23_peu_1
320.0077,6.0,41.314760953,2.023564454,1.664666,2018-11-13 18:25:28,sgv_23_peu_1
318.297,6.0,41.314761689,2.023557078,1.669173,2018-11-13 18:25:29,sgv_23_peu_1
312.4238,6.0,41.314762165,2.023550022,1.65922,2018-11-13 18:25:30,sgv_23_peu_1
305.4282,6.0,41.31476241,2.023538281,1.678404,2018-11-13 18:25:31,sgv_23_peu_1
307.32007,6.0,41.314764841,2.023527644,1.70435,2018-11-13 18:25:32,sgv_23_peu_1
292.80237,6.0,41.314769535,2.023519766,1.726222,2018-11-13 18:25:33,sgv_23_peu_1
290.8283,6.0,41.314776465,2.023512647,1.755461,2018-11-13 18:25:34,sgv_23_peu_1
301.8258,6.0,41.314784775,2.023503694,1.793395,2018-11-13 18:25:35,sgv_23_peu_1
300.026,6.0,41.31479359,2.023492313,1.8191,2018-11-13 18:25:36,sgv_23_peu_1
302.98108,6.0,41.314803338,2.023478161,1.852895,2018-11-13 18:25:37,sgv_23_peu_1
309.17133,36.22994,41.314815027,2.023460717,1.904135,2018-11-13 18:25:38,sgv_23_peu_1
310.4415,35.280636,41.314836835,2.023428166,1.925873,2018-11-13 18:25:39,sgv_23_peu_1
312.7467,33.859062,41.314858248,2.023397535,1.92818,2018-11-13 18:25:40,sgv_23_peu_1
312.59406,29.585196,41.314880114,2.02336639,1.939652,2018-11-13 18:25:41,sgv_23_peu_1
307.85095,25.936962,41.314899613,2.023339189,1.908032,2018-11-13 18:25:42,sgv_23_peu_1
304.4455,23.766865,41.314915631,2.023314338,1.87305,2018-11-13 18:25:43,sgv_23_peu_1
308.81476,23.170084,41.314932353,2.023294978,1.824545,2018-11-13 18:25:44,sgv_23_peu_1
313.57663,23.761591,41.31495057,2.023278577,1.998433,2018-11-13 18:25:45,sgv_23_peu_1
315.03488,24.297712,41.314969237,2.02326374,2.117424,2018-11-13 18:25:46,sgv_23_peu_1
322.6676,24.861736,41.314987737,2.02325313,1.966367,2018-11-13 18:25:47,sgv_23_peu_1
320.20575,26.372984,41.31500353,2.023238889,1.861723,2018-11-13 18:25:48,sgv_23_peu_1
310.7807,27.718307,41.315017284,2.023221647,1.789101,2018-11-13 18:25:49,sgv_23_peu_1
297.20215,28.891752,41.315028518,2.023202483,1.741349,2018-11-13 18:25:50,sgv_23_peu_1
295.89056,29.967787,41.315039792,2.02318444,1.704011,2018-11-13 18:25:51,sgv_23_peu_1
301.25415,28.810396,41.315056357,2.023170389,1.680857,2018-11-13 18:25:52,sgv_23_peu_1
307.7351,27.474382,41.3150746,2.023157756,1.666433,2018-11-13 18:25:53,sgv_23_peu_1
307.10202,26.073784,41.315091543,2.023144035,1.662038,2018-11-13 18:25:54,sgv_23_peu_1
313.59802,24.828342,41.315108815,2.023131287,1.652102,2018-11-13 18:25:55,sgv_23_peu_1
315.594,23.76241,41.315125234,2.023117738,1.640527,2018-11-13 18:25:56,sgv_23_peu_1
323.3994,22.795084,41.315141784,2.02310702,1.630557,2018-11-13 18:25:57,sgv_23_peu_1
322.76025,21.952984,41.315156981,2.02309763,1.640238,2018-11-13 18:25:58,sgv_23_peu_1
325.29047,21.236305,41.315172176,2.023088636,1.727062,2018-11-13 18:25:59,sgv_23_peu_1
324.63815,20.207071,41.315187633,2.023078422,1.79547,2018-11-13 18:26:00,sgv_23_peu_1
322.8106,19.363897,41.315201856,2.023067404,1.753302,2018-11-13 18:26:01,sgv_23_peu_1
325.8186,18.775618,41.315214746,2.023056071,1.647308,2018-11-13 18:26:02,sgv_23_peu_1
325.58984,17.752367,41.315224292,2.023045357,1.339068,2018-11-13 18:26:03,sgv_23_peu_1
317.17914,16.899105,41.315231494,2.023032739,1.151577,2018-11-13 18:26:04,sgv_23_peu_1
318.07193,16.606068,41.315239674,2.023017949,1.239966,2018-11-13 18:26:05,sgv_23_peu_1
322.8532,16.24855,41.31524892,2.023005088,1.327257,2018-11-13 18:26:06,sgv_23_peu_1
329.63,16.157703,41.315259419,2.022994195,1.398308,2018-11-13 18:26:07,sgv_23_peu_1
331.15247,17.106794,41.315269951,2.02298433,1.442134,2018-11-13 18:26:08,sgv_23_peu_1
324.80377,16.864227,41.315279716,2.022973287,1.479373,2018-11-13 18:26:09,sgv_23_peu_1
326.03235,16.3895,41.315289538,2.022963325,1.499341,2018-11-13 18:26:10,sgv_23_peu_1
328.66583,15.557978,41.315299479,2.022955374,1.513092,2018-11-13 18:26:11,sgv_23_peu_1
328.88388,15.394952,41.315310308,2.022946272,1.524818,2018-11-13 18:26:12,sgv_23_peu_1
330.05923,14.969964,41.315322903,2.022936814,1.536948,2018-11-13 18:26:13,sgv_23_peu_1
331.832,14.630717,41.315336577,2.022928703,1.549378,2018-11-13 18:26:14,sgv_23_peu_1
328.9871,14.6518,41.315348584,2.022919795,1.551795,2018-11-13 18:26:15,sgv_23_peu_1
308.50153,14.622442,41.315356751,2.02290665,1.547921,2018-11-13 18:26:16,sgv_23_peu_1
