course,haccuracy,latitude,longitude,speed,time,nickname
353.1,45.0,41.39230939093977,2.131697852164507,1.9599999,2018-11-06 06:40:25,OAK_2101
341.8,49.0,41.39239777810872,2.131612943485379,0.34,2018-11-06 06:40:27,OAK_2101
0.0,41.0,41.39240641146898,2.131649320945144,0.0,2018-11-06 06:40:28,OAK_2101
355.2,37.0,41.39242757577449,2.131673041731119,0.96999997,2018-11-06 06:40:31,OAK_2101
356.9,36.0,41.39244697988033,2.131681926548481,0.94,2018-11-06 06:40:32,OAK_2101
0.3,34.0,41.39245645143092,2.131685111671686,0.84,2018-11-06 06:40:33,OAK_2101
6.1,31.0,41.39246252831072,2.131714029237628,0.64,2018-11-06 06:40:34,OAK_2101
7.4,29.0,41.39247388578952,2.131735570728779,0.39999998,2018-11-06 06:40:35,OAK_2101
8.6,26.0,41.392476903274655,2.131748227402568,0.35999998,2018-11-06 06:40:36,OAK_2101
9.9,26.0,41.39246902428568,2.131764069199562,0.22,2018-11-06 06:40:37,OAK_2101
0.0,25.0,41.39245339203626,2.131775384768844,0.0,2018-11-06 06:40:38,OAK_2101
7.2,20.0,41.392405992373824,2.131794076412916,0.13,2018-11-06 06:40:41,OAK_2101
7.2,19.0,41.39241521246731,2.131806649267673,0.11,2018-11-06 06:40:42,OAK_2101
7.3,19.0,41.392404860816896,2.131815617904067,0.08,2018-11-06 06:40:43,OAK_2101
355.3,18.0,41.39240632764995,2.131812935695052,0.51,2018-11-06 06:40:44,OAK_2101
343.1,19.0,41.39239442534745,2.1318086609244347,0.84999996,2018-11-06 06:40:45,OAK_2101
323.0,18.0,41.39238524716348,2.1317957527935505,2.61,2018-11-06 06:40:46,OAK_2101
321.6,17.0,41.39239212032408,2.1317759715020657,3.6699998,2018-11-06 06:40:47,OAK_2101
329.1,17.0,41.39243428129703,2.1317485626786947,5.64,2018-11-06 06:40:48,OAK_2101
326.4,16.0,41.39246034901589,2.1317059826105837,6.74,2018-11-06 06:40:49,OAK_2101
320.4,19.0,41.39247476588935,2.131641022861004,6.7599998,2018-11-06 06:40:50,OAK_2101
308.2,22.0,41.392485913820565,2.131557455286384,7.44,2018-11-06 06:40:51,OAK_2101
299.3,19.0,41.39250410255045,2.131474306806922,7.5299997,2018-11-06 06:40:52,OAK_2101
294.8,25.0,41.39253817498684,2.131394175812602,7.3399997,2018-11-06 06:40:53,OAK_2101
289.0,53.0,41.39255887828767,2.131385374814272,3.48,2018-11-06 06:40:54,OAK_2101
282.7,69.0,41.39255263376981,2.1313748974353075,1.39,2018-11-06 06:40:55,OAK_2101
259.7,57.0,41.39250996988267,2.131350841373205,1.53,2018-11-06 06:40:57,OAK_2101
201.7,43.0,41.3924167631194,2.1312370989471674,0.62,2018-11-06 06:41:03,OAK_2101
192.5,41.0,41.39242900069803,2.13123475201428,0.35,2018-11-06 06:41:04,OAK_2101
202.8,36.0,41.392425103113055,2.131225783377886,0.69,2018-11-06 06:41:05,OAK_2101
