,course,haccuracy,latitude,longitude,speed,time,nickname
0,181.1,28.0,41.44177894,2.18735368,1.4043148,2018-11-07 06:51:18,SAN_14_PEU_ACOMPANYAT
1,69.1,47.0,41.44281826,2.18783208,3.2089405,2018-11-07 06:51:20,SAN_14_PEU_ACOMPANYAT
2,73.0,40.0,41.44211187,2.18753936,1.1871395,2018-11-07 06:51:23,SAN_14_PEU_ACOMPANYAT
3,79.4,33.0,41.44201601,2.18738886,1.4916434,2018-11-07 06:51:24,SAN_14_PEU_ACOMPANYAT
4,87.2,48.0,41.44173726,2.18753547,0.23706539,2018-11-07 06:51:29,SAN_14_PEU_ACOMPANYAT
5,132.9,31.0,41.44183656,2.1878329,0.99201816,2018-11-07 06:51:38,SAN_14_PEU_ACOMPANYAT
6,0.0,34.0,41.4421459,2.18788845,0.0,2018-11-07 06:51:39,SAN_14_PEU_ACOMPANYAT
7,73.6,26.0,41.44206598,2.18802628,4.316538,2018-11-07 06:51:40,SAN_14_PEU_ACOMPANYAT
8,162.8,31.0,41.44220856,2.18806878,3.1933837,2018-11-07 06:51:41,SAN_14_PEU_ACOMPANYAT
9,29.0,40.0,41.4421319,2.18811389,3.5490422,2018-11-07 06:51:42,SAN_14_PEU_ACOMPANYAT
10,73.3,40.0,41.44179069,2.18783893,1.7364907,2018-11-07 06:51:45,SAN_14_PEU_ACOMPANYAT
11,102.3,41.0,41.44190131,2.1878604,3.1607752,2018-11-07 06:51:46,SAN_14_PEU_ACOMPANYAT
12,102.3,47.0,41.44207634,2.18798032,0.4472136,2018-11-07 06:51:47,SAN_14_PEU_ACOMPANYAT
13,67.7,28.0,41.44210665,2.18808855,1.4526184,2018-11-07 06:51:49,SAN_14_PEU_ACOMPANYAT
14,18.5,35.0,41.44209413,2.18818381,3.722002,2018-11-07 06:51:51,SAN_14_PEU_ACOMPANYAT
15,124.5,31.0,41.44199581,2.18807443,1.2345445,2018-11-07 06:51:52,SAN_14_PEU_ACOMPANYAT
