,course,haccuracy,latitude,longitude,speed,time,nickname
0,323.8,30.016,41.37631223,2.16655764,5.25,2018-11-07 06:42:52,VIR_1211_cotxe
1,314.7,26.800001,41.37642645,2.16614647,7.72,2018-11-07 06:42:53,VIR_1211_cotxe
2,312.6,27.872002,41.37643526,2.16608396,7.52,2018-11-07 06:42:54,VIR_1211_cotxe
3,314.9,30.016,41.37653393,2.16600294,9.18,2018-11-07 06:42:55,VIR_1211_cotxe
4,299.7,30.016,41.37656409,2.16589519,8.81,2018-11-07 06:42:56,VIR_1211_cotxe
5,313.5,46.096,41.3771004,2.16610655,11.16,2018-11-07 06:42:57,VIR_1211_cotxe
6,311.2,42.88,41.37696284,2.16569159,12.62,2018-11-07 06:42:58,VIR_1211_cotxe
7,309.1,36.448,41.37692316,2.16565213,11.7,2018-11-07 06:42:59,VIR_1211_cotxe
8,313.6,33.232002,41.37699962,2.16546433,12.62,2018-11-07 06:43:00,VIR_1211_cotxe
9,305.5,38.592003,41.37709743,2.16535664,12.05,2018-11-07 06:43:01,VIR_1211_cotxe
10,312.3,15.008,41.37724752,2.16533629,11.24,2018-11-07 06:43:03,VIR_1211_cotxe
11,311.5,12.864,41.37718599,2.16519283,10.99,2018-11-07 06:43:04,VIR_1211_cotxe
12,313.6,12.864,41.37716214,2.16507252,10.62,2018-11-07 06:43:05,VIR_1211_cotxe
13,313.2,10.72,41.37722787,2.16500852,9.77,2018-11-07 06:43:06,VIR_1211_cotxe
14,317.3,10.72,41.3772932,2.16493034,9.07,2018-11-07 06:43:07,VIR_1211_cotxe
15,314.8,10.72,41.37733263,2.16485749,8.69,2018-11-07 06:43:08,VIR_1211_cotxe
16,318.2,10.72,41.37738634,2.16480807,7.52,2018-11-07 06:43:09,VIR_1211_cotxe
17,328.1,10.72,41.37743806,2.16476841,6.42,2018-11-07 06:43:10,VIR_1211_cotxe
18,323.7,10.72,41.37746994,2.16471366,6.09,2018-11-07 06:43:11,VIR_1211_cotxe
19,339.6,10.72,41.37747376,2.16471747,3.53,2018-11-07 06:43:12,VIR_1211_cotxe
20,349.6,11.792,41.37751451,2.16471127,3.12,2018-11-07 06:43:13,VIR_1211_cotxe
21,326.0,10.72,41.37747677,2.16471826,0.2,2018-11-07 06:43:14,VIR_1211_cotxe
22,325.3,10.72,41.37746511,2.16471441,0.39,2018-11-07 06:43:15,VIR_1211_cotxe
