,course,haccuracy,latitude,longitude,speed,time,nickname
0,93.86719,21.0,41.44070327281952,2.191820740699768,2.35,2018-11-07 05:59:42,VIR_3011_metro
1,330.8203,35.0,41.44074618816376,2.191799283027649,1.19,2018-11-07 05:59:44,VIR_3011_metro
2,341.71875,50.0,41.440799832344055,2.1917402744293213,1.15,2018-11-07 05:59:46,VIR_3011_metro
3,0.0,63.0,41.44069790840149,2.1918904781341553,0.0,2018-11-07 05:59:53,VIR_3011_metro
4,0.0,61.0,41.44070327281952,2.191901206970215,0.0,2018-11-07 05:59:54,VIR_3011_metro
5,0.0,61.0,41.44073009490967,2.1918904781341553,0.0,2018-11-07 05:59:55,VIR_3011_metro
6,0.0,54.0,41.44072598,2.19188777,0.0,2018-11-07 05:59:56,VIR_3011_metro
7,0.0,50.0,41.44073009490967,2.1918904781341553,0.0,2018-11-07 05:59:57,VIR_3011_metro
8,0.0,46.0,41.44074455,2.19188616,0.0,2018-11-07 05:59:58,VIR_3011_metro
9,0.0,42.0,41.44077216,2.19186058,0.0,2018-11-07 06:00:00,VIR_3011_metro
10,0.0,40.0,41.44078713,2.19185178,0.0,2018-11-07 06:00:01,VIR_3011_metro
11,0.0,30.0,41.44079467,2.19185012,0.0,2018-11-07 06:00:02,VIR_3011_metro
12,348.2,25.0,41.44079243,2.19185392,1.14,2018-11-07 06:00:03,VIR_3011_metro
13,4.8,21.0,41.44079971,2.19186412,1.58,2018-11-07 06:00:04,VIR_3011_metro
14,359.6,18.0,41.44081166,2.19185913,1.77,2018-11-07 06:00:05,VIR_3011_metro
15,355.3,16.0,41.44082099,2.1918585,1.67,2018-11-07 06:00:06,VIR_3011_metro
16,0.4,15.0,41.44083655,2.19185012,1.07,2018-11-07 06:00:07,VIR_3011_metro
17,357.4,14.0,41.44084863,2.1918514,1.53,2018-11-07 06:00:08,VIR_3011_metro
18,26.9,13.0,41.44085839,2.19187001,1.06,2018-11-07 06:00:09,VIR_3011_metro
19,4.6,12.0,41.44087518,2.19187081,1.49,2018-11-07 06:00:10,VIR_3011_metro
20,345.7,11.0,41.4408836,2.19187551,1.61,2018-11-07 06:00:11,VIR_3011_metro
21,18.2,11.0,41.44088804,2.19189188,1.01,2018-11-07 06:00:12,VIR_3011_metro
22,6.9,11.0,41.44090215,2.19189589,1.21,2018-11-07 06:00:13,VIR_3011_metro
23,5.2,11.0,41.44091488,2.19190651,1.21,2018-11-07 06:00:14,VIR_3011_metro
24,356.4,10.0,41.44093518,2.19190112,1.28,2018-11-07 06:00:15,VIR_3011_metro
25,1.5,10.0,41.44095123,2.19190085,1.37,2018-11-07 06:00:16,VIR_3011_metro
26,15.2,11.0,41.44095706,2.19190225,1.17,2018-11-07 06:00:17,VIR_3011_metro
27,354.0,11.0,41.44096311,2.19189369,0.89,2018-11-07 06:00:18,VIR_3011_metro
28,343.7,12.0,41.44097573,2.19189268,0.95,2018-11-07 06:00:19,VIR_3011_metro
29,358.8,14.0,41.4409955,2.19190451,1.32,2018-11-07 06:00:20,VIR_3011_metro
30,332.3,15.0,41.44100807,2.19188116,1.77,2018-11-07 06:00:21,VIR_3011_metro
