course,haccuracy,latitude,longitude,speed,time,nickname
108.7,39.441998,41.41343331,2.17956616,1.38,2018-11-07 06:17:15,VIR_3232_METRO
204.5,42.475998,41.4137228,2.17973953,2.39,2018-11-07 06:17:16,VIR_3232_METRO
203.8,60.68,41.41338868,2.17948017,2.65,2018-11-07 06:17:17,VIR_3232_METRO
201.9,62.197,41.41330446,2.1793931,4.34,2018-11-07 06:17:18,VIR_3232_METRO
189.9,81.918,41.41302973,2.1792021,4.48,2018-11-07 06:17:19,VIR_3232_METRO
326.6,78.883995,41.41309824,2.1791793,0.87,2018-11-07 06:17:20,VIR_3232_METRO
22.0,10.6189995,41.41349993,2.17935625,2.98,2018-11-07 06:17:21,VIR_3232_METRO
98.3,34.891,41.41325508,2.1792801,5.07,2018-11-07 06:17:22,VIR_3232_METRO
60.3,39.441998,41.41331735,2.17934121,4.15,2018-11-07 06:17:23,VIR_3232_METRO
18.5,31.856998,41.41340111,2.1793035,2.17,2018-11-07 06:17:24,VIR_3232_METRO
352.6,33.374,41.41341098,2.17906649,4.99,2018-11-07 06:17:25,VIR_3232_METRO
46.2,42.475998,41.41362106,2.17925833,3.09,2018-11-07 06:17:26,VIR_3232_METRO
26.1,39.441998,41.41352509,2.17880204,3.71,2018-11-07 06:17:26,VIR_3232_METRO
29.3,42.475998,41.41358039,2.17892121,3.73,2018-11-07 06:17:27,VIR_3232_METRO
55.2,39.441998,41.41364416,2.17915779,1.98,2018-11-07 06:17:28,VIR_3232_METRO
64.5,28.823,41.41370627,2.17942475,3.41,2018-11-07 06:17:29,VIR_3232_METRO
103.7,37.925,41.41376572,2.17952213,3.59,2018-11-07 06:17:31,VIR_3232_METRO
81.3,31.856998,41.41367111,2.1797538,5.69,2018-11-07 06:17:32,VIR_3232_METRO
92.8,40.959,41.41370528,2.17983327,3.55,2018-11-07 06:17:33,VIR_3232_METRO
70.1,43.993,41.41381329,2.18002507,3.05,2018-11-07 06:17:34,VIR_3232_METRO
80.4,43.993,41.41387836,2.1800654,2.8,2018-11-07 06:17:35,VIR_3232_METRO
38.1,42.475998,41.41388725,2.18005795,2.19,2018-11-07 06:17:36,VIR_3232_METRO
161.0,36.407997,41.41365446,2.18010693,1.82,2018-11-07 06:17:37,VIR_3232_METRO
24.0,25.789,41.41373565,2.18012594,5.93,2018-11-07 06:17:38,VIR_3232_METRO
10.4,33.374,41.41386934,2.180184,6.34,2018-11-07 06:17:39,VIR_3232_METRO
2.1,42.475998,41.41389456,2.18011491,1.14,2018-11-07 06:17:40,VIR_3232_METRO
256.0,30.34,41.41378243,2.18010052,1.45,2018-11-07 06:17:41,VIR_3232_METRO
358.9,18.203999,41.4136409,2.17991278,4.27,2018-11-07 06:17:42,VIR_3232_METRO
16.1,21.237999,41.41366776,2.17985698,1.4,2018-11-07 06:17:43,VIR_3232_METRO
70.6,24.272,41.41361826,2.17987176,2.97,2018-11-07 06:17:44,VIR_3232_METRO
25.4,27.306,41.41361184,2.17985555,1.72,2018-11-07 06:17:45,VIR_3232_METRO
350.0,24.272,41.41369484,2.17985159,1.65,2018-11-07 06:17:46,VIR_3232_METRO
329.5,16.687,41.41373437,2.17982672,1.83,2018-11-07 06:17:47,VIR_3232_METRO
19.6,21.237999,41.41375231,2.17984139,1.47,2018-11-07 06:17:48,VIR_3232_METRO
10.1,19.720999,41.41384755,2.17988947,2.84,2018-11-07 06:17:49,VIR_3232_METRO
357.6,16.687,41.41388656,2.17985596,1.42,2018-11-07 06:17:50,VIR_3232_METRO
0.0,74.333,41.41365732,2.17984758,0.0,2018-11-07 06:17:51,VIR_3232_METRO
0.0,31.856998,41.41367341,2.17984904,0.0,2018-11-07 06:17:52,VIR_3232_METRO
0.0,24.272,41.41371458,2.17989555,0.0,2018-11-07 06:17:53,VIR_3232_METRO
0.0,15.17,41.41376349,2.17990101,0.0,2018-11-07 06:17:54,VIR_3232_METRO
320.9,15.17,41.41385034,2.17992294,2.93,2018-11-07 06:17:56,VIR_3232_METRO
308.4,10.6189995,41.4138987,2.17997408,3.34,2018-11-07 06:17:57,VIR_3232_METRO
320.2,10.6189995,41.41394467,2.17993719,4.22,2018-11-07 06:17:58,VIR_3232_METRO
343.4,10.6189995,41.41396059,2.17997581,2.86,2018-11-07 06:17:59,VIR_3232_METRO
4.7,10.6189995,41.41395378,2.17999657,1.06,2018-11-07 06:18:00,VIR_3232_METRO
18.5,12.136,41.41397754,2.18000954,1.21,2018-11-07 06:18:01,VIR_3232_METRO
43.5,13.653,41.41398736,2.18003686,1.55,2018-11-07 06:18:02,VIR_3232_METRO
77.1,15.17,41.41398963,2.18005152,1.08,2018-11-07 06:18:03,VIR_3232_METRO
73.7,16.687,41.41399574,2.18007372,1.44,2018-11-07 06:18:04,VIR_3232_METRO
46.7,15.17,41.41401599,2.18008585,1.83,2018-11-07 06:18:05,VIR_3232_METRO
22.2,15.17,41.41403906,2.18009339,1.87,2018-11-07 06:18:06,VIR_3232_METRO
11.3,16.687,41.41406414,2.18010199,1.93,2018-11-07 06:18:07,VIR_3232_METRO
20.0,15.17,41.41408746,2.18011648,1.98,2018-11-07 06:18:08,VIR_3232_METRO
29.2,15.17,41.41410807,2.18013904,2.01,2018-11-07 06:18:09,VIR_3232_METRO
36.0,15.17,41.41412746,2.18016678,2.02,2018-11-07 06:18:10,VIR_3232_METRO
43.9,15.17,41.4141442,2.18019742,2.02,2018-11-07 06:18:11,VIR_3232_METRO
46.9,15.17,41.41416056,2.18022788,2.02,2018-11-07 06:18:12,VIR_3232_METRO
45.6,16.687,41.41417715,2.18025535,2.0,2018-11-07 06:18:13,VIR_3232_METRO
40.7,16.687,41.41419391,2.18028014,1.99,2018-11-07 06:18:14,VIR_3232_METRO
40.1,18.203999,41.41420916,2.18030999,2.0,2018-11-07 06:18:15,VIR_3232_METRO
39.9,21.237999,41.41422743,2.18033811,2.02,2018-11-07 06:18:16,VIR_3232_METRO
44.4,21.237999,41.41423777,2.18037351,2.01,2018-11-07 06:18:17,VIR_3232_METRO
53.0,19.720999,41.41424272,2.1804147,2.01,2018-11-07 06:18:18,VIR_3232_METRO
66.7,21.237999,41.41424129,2.18046411,2.03,2018-11-07 06:18:19,VIR_3232_METRO
73.2,22.755,41.41424103,2.18051109,2.03,2018-11-07 06:18:20,VIR_3232_METRO
63.4,19.720999,41.41424626,2.18055387,2.03,2018-11-07 06:18:21,VIR_3232_METRO
45.5,19.720999,41.41425934,2.18058932,2.04,2018-11-07 06:18:22,VIR_3232_METRO
34.8,18.203999,41.41427657,2.18062096,2.07,2018-11-07 06:18:23,VIR_3232_METRO
47.3,16.687,41.41428921,2.18065756,2.07,2018-11-07 06:18:24,VIR_3232_METRO
55.8,18.203999,41.41430102,2.18069792,2.11,2018-11-07 06:18:25,VIR_3232_METRO
63.9,18.203999,41.41431191,2.18073885,2.13,2018-11-07 06:18:26,VIR_3232_METRO
50.1,15.17,41.41432798,2.18077568,2.15,2018-11-07 06:18:27,VIR_3232_METRO
41.2,15.17,41.41434535,2.18081236,2.2,2018-11-07 06:18:28,VIR_3232_METRO
26.8,16.687,41.4143631,2.18084021,2.17,2018-11-07 06:18:29,VIR_3232_METRO
33.3,18.203999,41.41438037,2.18086628,2.15,2018-11-07 06:18:30,VIR_3232_METRO
55.1,19.720999,41.41440817,2.18092784,2.17,2018-11-07 06:18:32,VIR_3232_METRO
47.5,16.687,41.41442098,2.1809562,2.15,2018-11-07 06:18:33,VIR_3232_METRO
38.1,15.17,41.41443688,2.18097841,2.15,2018-11-07 06:18:34,VIR_3232_METRO
35.2,13.653,41.4144493,2.1809994,2.1,2018-11-07 06:18:35,VIR_3232_METRO
50.1,10.6189995,41.41446274,2.18102531,2.13,2018-11-07 06:18:36,VIR_3232_METRO
50.8,10.6189995,41.41447909,2.18104836,2.12,2018-11-07 06:18:37,VIR_3232_METRO
28.9,9.101999,41.41449732,2.18106394,2.1,2018-11-07 06:18:38,VIR_3232_METRO
4.8,9.101999,41.41452148,2.18106792,2.1,2018-11-07 06:18:39,VIR_3232_METRO
358.5,9.101999,41.41454712,2.18106322,2.08,2018-11-07 06:18:40,VIR_3232_METRO
355.4,9.101999,41.4145723,2.18105048,2.05,2018-11-07 06:18:41,VIR_3232_METRO
358.5,9.101999,41.4145995,2.18103794,2.04,2018-11-07 06:18:42,VIR_3232_METRO
3.4,9.101999,41.41462779,2.18102711,2.07,2018-11-07 06:18:43,VIR_3232_METRO
17.2,10.6189995,41.41465065,2.18102386,2.06,2018-11-07 06:18:44,VIR_3232_METRO
23.9,9.101999,41.41467431,2.18102208,2.08,2018-11-07 06:18:45,VIR_3232_METRO
26.3,10.6189995,41.4146986,2.1810213,2.09,2018-11-07 06:18:46,VIR_3232_METRO
39.8,10.6189995,41.41472014,2.18102072,2.06,2018-11-07 06:18:47,VIR_3232_METRO
44.9,10.6189995,41.41473986,2.18102347,2.05,2018-11-07 06:18:48,VIR_3232_METRO
