course,haccuracy,latitude,longitude,speed,time,nickname
205.4,20.368,41.42391657,2.1491829,1.66,2018-11-07 06:27:35,VIR_3291_Peu
19.1,17.152,41.42397333,2.14917862,1.33,2018-11-07 06:27:36,VIR_3291_Peu
19.1,18.224,41.42401153,2.1491391,0.44,2018-11-07 06:27:37,VIR_3291_Peu
19.1,12.864,41.42403709,2.14909804,0.41,2018-11-07 06:27:38,VIR_3291_Peu
19.1,13.936001,41.42404121,2.14911298,0.46,2018-11-07 06:27:39,VIR_3291_Peu
199.0,16.08,41.42403123,2.14926951,1.45,2018-11-07 06:27:41,VIR_3291_Peu
216.3,13.936001,41.42408956,2.14891991,1.42,2018-11-07 06:27:42,VIR_3291_Peu
216.3,15.008,41.42402784,2.14901127,0.55,2018-11-07 06:27:43,VIR_3291_Peu
221.4,10.72,41.42399236,2.14899681,1.34,2018-11-07 06:27:44,VIR_3291_Peu
231.0,10.72,41.42402605,2.14892673,1.34,2018-11-07 06:27:45,VIR_3291_Peu
231.0,15.008,41.42399917,2.14897558,0.56,2018-11-07 06:27:46,VIR_3291_Peu
237.2,10.72,41.42388738,2.14909463,1.7,2018-11-07 06:27:47,VIR_3291_Peu
243.5,13.936001,41.42393162,2.14914659,0.92,2018-11-07 06:27:48,VIR_3291_Peu
0.0,8.576,41.42390209,2.14909499,0.0,2018-11-07 06:27:50,VIR_3291_Peu
0.0,8.576,41.42391062,2.14909928,0.0,2018-11-07 06:27:51,VIR_3291_Peu
0.0,8.576,41.42390051,2.14909264,0.0,2018-11-07 06:27:52,VIR_3291_Peu
0.0,9.648001,41.42389658,2.14908385,0.0,2018-11-07 06:27:53,VIR_3291_Peu
0.0,9.648001,41.4238927,2.14908076,0.0,2018-11-07 06:27:54,VIR_3291_Peu
0.0,9.648001,41.42388962,2.14908268,0.0,2018-11-07 06:27:55,VIR_3291_Peu
0.0,8.576,41.42389454,2.14907062,0.0,2018-11-07 06:27:56,VIR_3291_Peu
0.0,7.504,41.4238892,2.14905626,0.0,2018-11-07 06:27:57,VIR_3291_Peu
245.4,8.576,41.42388118,2.14903524,1.0,2018-11-07 06:27:58,VIR_3291_Peu
245.0,8.576,41.42386891,2.14899761,1.29,2018-11-07 06:27:59,VIR_3291_Peu
239.8,9.648001,41.42384072,2.14895593,1.71,2018-11-07 06:28:00,VIR_3291_Peu
229.9,9.648001,41.42381182,2.14894769,1.78,2018-11-07 06:28:01,VIR_3291_Peu
238.4,8.576,41.42380689,2.14892656,1.58,2018-11-07 06:28:02,VIR_3291_Peu
