course,haccuracy,latitude,longitude,speed,time,nickname
359.1,13.936001,41.41901826,2.17141458,3.01,2018-11-07 06:54:17,VIR_4171_cotxe
351.2,12.864,41.41909874,2.17139565,6.1,2018-11-07 06:54:18,VIR_4171_cotxe
333.6,9.648001,41.41920512,2.17131921,6.99,2018-11-07 06:54:19,VIR_4171_cotxe
311.2,12.864,41.41927378,2.17123645,7.12,2018-11-07 06:54:20,VIR_4171_cotxe
303.1,10.72,41.41939749,2.17120523,6.89,2018-11-07 06:54:21,VIR_4171_cotxe
303.1,7.504,41.41959672,2.17109334,9.16,2018-11-07 06:54:23,VIR_4171_cotxe
306.1,5.36,41.4196082,2.17098442,9.89,2018-11-07 06:54:24,VIR_4171_cotxe
305.6,5.36,41.41966056,2.17087687,9.78,2018-11-07 06:54:25,VIR_4171_cotxe
308.9,5.36,41.41971974,2.1708025,9.2,2018-11-07 06:54:26,VIR_4171_cotxe
321.8,4.288,41.41979348,2.17073634,9.65,2018-11-07 06:54:27,VIR_4171_cotxe
326.3,5.36,41.41983848,2.17067785,9.22,2018-11-07 06:54:28,VIR_4171_cotxe
333.4,4.288,41.41991604,2.17062776,10.69,2018-11-07 06:54:29,VIR_4171_cotxe
334.9,5.36,41.42001892,2.17057667,10.75,2018-11-07 06:54:30,VIR_4171_cotxe
334.5,5.36,41.42010975,2.17052173,10.67,2018-11-07 06:54:31,VIR_4171_cotxe
337.0,5.36,41.42022925,2.17048578,11.15,2018-11-07 06:54:32,VIR_4171_cotxe
341.2,5.36,41.42026265,2.1704565,7.13,2018-11-07 06:54:33,VIR_4171_cotxe
332.7,7.504,41.42029953,2.17040252,7.31,2018-11-07 06:54:34,VIR_4171_cotxe
335.7,8.576,41.42038531,2.17037614,7.83,2018-11-07 06:54:35,VIR_4171_cotxe
354.7,10.72,41.42044023,2.1704115,6.77,2018-11-07 06:54:36,VIR_4171_cotxe
6.9,11.792,41.42055937,2.17045549,8.39,2018-11-07 06:54:37,VIR_4171_cotxe
11.5,8.576,41.42068212,2.1704899,9.82,2018-11-07 06:54:38,VIR_4171_cotxe
16.5,8.576,41.42080103,2.17053793,9.72,2018-11-07 06:54:39,VIR_4171_cotxe
11.4,8.576,41.42089764,2.17056823,9.92,2018-11-07 06:54:40,VIR_4171_cotxe
359.7,8.576,41.42099925,2.17056309,10.64,2018-11-07 06:54:41,VIR_4171_cotxe
334.1,6.432,41.42106396,2.17049511,9.17,2018-11-07 06:54:42,VIR_4171_cotxe
324.1,6.432,41.42112433,2.17043675,9.08,2018-11-07 06:54:43,VIR_4171_cotxe
308.0,5.36,41.42117266,2.17034956,8.82,2018-11-07 06:54:44,VIR_4171_cotxe
289.1,4.288,41.42123043,2.1702445,9.17,2018-11-07 06:54:45,VIR_4171_cotxe
279.0,5.36,41.42124308,2.17012741,9.68,2018-11-07 06:54:46,VIR_4171_cotxe
270.5,5.36,41.42126538,2.17000064,10.04,2018-11-07 06:54:47,VIR_4171_cotxe
263.6,5.36,41.42124417,2.16988464,10.56,2018-11-07 06:54:48,VIR_4171_cotxe
263.5,5.36,41.42123041,2.16975944,10.45,2018-11-07 06:54:49,VIR_4171_cotxe
265.1,5.36,41.42122875,2.16964192,10.1,2018-11-07 06:54:50,VIR_4171_cotxe
271.8,5.36,41.42123679,2.16953561,9.46,2018-11-07 06:54:51,VIR_4171_cotxe
269.2,5.36,41.42121913,2.169424,9.54,2018-11-07 06:54:52,VIR_4171_cotxe
268.2,6.432,41.42121206,2.16931133,9.51,2018-11-07 06:54:53,VIR_4171_cotxe
273.4,5.36,41.42122747,2.1692303,8.08,2018-11-07 06:54:54,VIR_4171_cotxe
277.4,6.432,41.42124123,2.16913731,8.0,2018-11-07 06:54:55,VIR_4171_cotxe
283.0,7.504,41.42126576,2.16905535,7.39,2018-11-07 06:54:56,VIR_4171_cotxe
286.1,9.648001,41.42129439,2.16896425,7.25,2018-11-07 06:54:57,VIR_4171_cotxe
289.5,10.72,41.42132165,2.16890849,6.76,2018-11-07 06:54:58,VIR_4171_cotxe
306.9,10.72,41.42137293,2.16889492,5.19,2018-11-07 06:54:59,VIR_4171_cotxe
351.9,9.648001,41.42147412,2.16896335,5.04,2018-11-07 06:55:00,VIR_4171_cotxe
20.2,6.432,41.42168596,2.16911384,11.53,2018-11-07 06:55:01,VIR_4171_cotxe
19.7,6.432,41.42184915,2.16919561,12.73,2018-11-07 06:55:02,VIR_4171_cotxe
19.3,5.36,41.42195628,2.1692623,13.08,2018-11-07 06:55:03,VIR_4171_cotxe
19.9,4.288,41.42207726,2.16932195,12.62,2018-11-07 06:55:04,VIR_4171_cotxe
22.0,4.288,41.42218242,2.16939734,12.87,2018-11-07 06:55:05,VIR_4171_cotxe
20.9,4.288,41.42230296,2.16945149,12.85,2018-11-07 06:55:06,VIR_4171_cotxe
19.7,5.36,41.42240413,2.1694929,12.11,2018-11-07 06:55:07,VIR_4171_cotxe
17.9,6.432,41.42250333,2.16952706,12.01,2018-11-07 06:55:08,VIR_4171_cotxe
18.1,6.432,41.42260654,2.16956476,11.9,2018-11-07 06:55:09,VIR_4171_cotxe
16.5,7.504,41.42271432,2.16961728,11.64,2018-11-07 06:55:10,VIR_4171_cotxe
12.4,7.504,41.42279611,2.16963492,10.44,2018-11-07 06:55:11,VIR_4171_cotxe
5.6,7.504,41.42291395,2.169644,11.07,2018-11-07 06:55:12,VIR_4171_cotxe
358.9,7.504,41.42300713,2.16963902,9.96,2018-11-07 06:55:13,VIR_4171_cotxe
347.9,6.432,41.42310793,2.16959904,9.71,2018-11-07 06:55:14,VIR_4171_cotxe
335.5,6.432,41.42317368,2.16951875,10.41,2018-11-07 06:55:15,VIR_4171_cotxe
330.2,6.432,41.42324382,2.16944177,10.44,2018-11-07 06:55:16,VIR_4171_cotxe
327.1,6.432,41.42332126,2.16937409,10.56,2018-11-07 06:55:17,VIR_4171_cotxe
321.7,6.432,41.42339317,2.16929169,10.87,2018-11-07 06:55:18,VIR_4171_cotxe
315.2,5.36,41.4234439,2.16919733,10.41,2018-11-07 06:55:19,VIR_4171_cotxe
315.1,5.36,41.42352334,2.16909946,11.72,2018-11-07 06:55:20,VIR_4171_cotxe
309.7,6.432,41.42358434,2.16899339,11.33,2018-11-07 06:55:21,VIR_4171_cotxe
