,course,haccuracy,latitude,longitude,speed,time,nickname
0,2.2,30.0,41.4288082,2.1719757,1.18,2018-11-07 06:29:54,VIR_4291_metro
1,18.3,10.0,41.428725784644485,2.1720811910927296,1.18,2018-11-07 06:29:56,VIR_4291_metro
2,24.7,8.0,41.42875658813864,2.172101642936468,1.2099999,2018-11-07 06:29:57,VIR_4291_metro
3,40.5,7.0,41.42875600140542,2.1721104439347982,1.09,2018-11-07 06:29:58,VIR_4291_metro
4,56.1,6.0,41.42875981517136,2.172129722312093,0.85999995,2018-11-07 06:29:59,VIR_4291_metro
5,89.3,6.0,41.42876144964248,2.1721497550606728,1.12,2018-11-07 06:30:00,VIR_4291_metro
6,98.7,5.0,41.42876367084682,2.1721718832850456,1.38,2018-11-07 06:30:01,VIR_4291_metro
7,96.9,5.0,41.42876895144582,2.172190072014928,1.31,2018-11-07 06:30:02,VIR_4291_metro
8,92.8,6.0,41.42877268139273,2.1722146309912205,1.43,2018-11-07 06:30:03,VIR_4291_metro
9,92.5,5.0,41.42877691425383,2.1722296345978975,1.35,2018-11-07 06:30:04,VIR_4291_metro
10,93.8,5.0,41.42877976410091,2.172247152775526,1.3199999,2018-11-07 06:30:05,VIR_4291_metro
11,97.4,5.0,41.428781314752996,2.172262743115425,1.3199999,2018-11-07 06:30:06,VIR_4291_metro
12,0.0,31.0,41.4288837,2.1727778,0.9,2018-11-07 06:30:37,VIR_4291_metro
13,0.0,28.0,41.428862367756665,2.172859199345112,0.93,2018-11-07 06:30:38,VIR_4291_metro
14,0.0,28.0,41.428765933960676,2.172815529629588,0.98999995,2018-11-07 06:30:39,VIR_4291_metro
15,89.7,22.0,41.42877800390124,2.1728068962693214,0.9,2018-11-07 06:30:40,VIR_4291_metro
16,100.7,16.0,41.42880097031593,2.1728422679007053,1.25,2018-11-07 06:30:41,VIR_4291_metro
17,109.8,13.0,41.4288175245747,2.1728543378412724,1.3199999,2018-11-07 06:30:42,VIR_4291_metro
18,110.8,12.0,41.428832612000406,2.1728692576289177,1.3299999,2018-11-07 06:30:43,VIR_4291_metro
19,103.7,11.0,41.42884241882712,2.1728891227394342,1.3399999,2018-11-07 06:30:44,VIR_4291_metro
20,103.2,11.0,41.428846274502575,2.1729023661464453,1.13,2018-11-07 06:30:45,VIR_4291_metro
21,105.6,11.0,41.428847908973694,2.1729157771915197,1.1899999,2018-11-07 06:30:46,VIR_4291_metro
22,100.6,11.0,41.42885524313897,2.172934301197529,1.3,2018-11-07 06:30:47,VIR_4291_metro
23,89.2,9.0,41.42886396031827,2.172951065003872,1.26,2018-11-07 06:30:48,VIR_4291_metro
24,87.0,8.0,41.42887820955366,2.1729695051908493,1.36,2018-11-07 06:30:49,VIR_4291_metro
25,87.8,8.0,41.428880430758,2.1729876101017,1.4599999,2018-11-07 06:30:50,VIR_4291_metro
26,86.0,7.0,41.428886130452156,2.1730038709938526,1.03,2018-11-07 06:30:51,VIR_4291_metro
27,85.9,8.0,41.428889483213425,2.1730180364102125,1.1,2018-11-07 06:30:52,VIR_4291_metro
28,98.3,7.0,41.42888709437102,2.173034129664302,1.3199999,2018-11-07 06:30:53,VIR_4291_metro
29,107.1,7.0,41.42888214904815,2.173051731660962,1.35,2018-11-07 06:30:54,VIR_4291_metro
30,114.0,6.0,41.428876030258834,2.1730715967714787,1.39,2018-11-07 06:30:55,VIR_4291_metro
31,114.2,7.0,41.428873599506915,2.1730887796729803,0.94,2018-11-07 06:30:56,VIR_4291_metro
32,114.7,7.0,41.42887200694531,2.1731048729270697,1.0,2018-11-07 06:30:57,VIR_4291_metro
33,111.7,6.0,41.42887049820274,2.1731198765337467,1.01,2018-11-07 06:30:58,VIR_4291_metro
34,104.4,6.0,41.42886936664581,2.1731375623494387,1.31,2018-11-07 06:30:59,VIR_4291_metro
35,95.7,6.0,41.42887007910758,2.1731565054506063,1.26,2018-11-07 06:31:00,VIR_4291_metro
36,87.9,6.0,41.428875820711255,2.173175197094679,1.15,2018-11-07 06:31:01,VIR_4291_metro
37,92.4,6.0,41.42887586262077,2.1731915418058634,0.82,2018-11-07 06:31:02,VIR_4291_metro
38,99.3,5.0,41.42886375077069,2.1732044499367476,0.93,2018-11-07 06:31:03,VIR_4291_metro
39,94.1,5.0,41.42885494977236,2.1732185315340757,0.66999996,2018-11-07 06:31:04,VIR_4291_metro
40,70.7,5.0,41.428852351382375,2.173230852931738,0.71999997,2018-11-07 06:31:05,VIR_4291_metro
41,35.0,4.0,41.428858009167016,2.173239653930068,1.14,2018-11-07 06:31:06,VIR_4291_metro
42,25.7,4.0,41.42886555287987,2.1732497960329056,1.3399999,2018-11-07 06:31:07,VIR_4291_metro
43,19.9,4.0,41.42887464724481,2.1732586808502674,1.3199999,2018-11-07 06:31:08,VIR_4291_metro
44,17.0,4.0,41.428884412162006,2.173268487676978,1.48,2018-11-07 06:31:09,VIR_4291_metro
45,15.1,4.0,41.42889237497002,2.1732781268656254,1.06,2018-11-07 06:31:10,VIR_4291_metro
46,22.9,4.0,41.428900002501905,2.1732857543975115,1.12,2018-11-07 06:31:11,VIR_4291_metro
47,27.3,5.0,41.42890310380608,2.173296734690666,0.65,2018-11-07 06:31:12,VIR_4291_metro
48,36.1,5.0,41.42890331335366,2.173302685841918,0.59999996,2018-11-07 06:31:13,VIR_4291_metro
49,52.1,6.0,41.42890398390591,2.1733125764876604,0.71999997,2018-11-07 06:31:14,VIR_4291_metro
50,70.2,6.0,41.42890163697302,2.1733214613050222,0.66999996,2018-11-07 06:31:15,VIR_4291_metro
51,77.5,6.0,41.42890176270157,2.173335123807192,0.69,2018-11-07 06:31:16,VIR_4291_metro
52,87.4,6.0,41.42889987677336,2.1733457688242197,0.59,2018-11-07 06:31:17,VIR_4291_metro
53,99.3,6.0,41.42889644019306,2.1733566652983427,0.81,2018-11-07 06:31:18,VIR_4291_metro
54,108.8,7.0,41.42889187205583,2.1733658015727997,0.41,2018-11-07 06:31:19,VIR_4291_metro
55,118.3,7.0,41.42888830974698,2.1733788773417473,0.53999996,2018-11-07 06:31:20,VIR_4291_metro
56,110.4,7.0,41.428885837085545,2.173390779644251,0.83,2018-11-07 06:31:21,VIR_4291_metro
57,108.3,7.0,41.428882400505245,2.173405447974801,0.91999996,2018-11-07 06:31:22,VIR_4291_metro
58,111.2,8.0,41.42887607216835,2.173418188467622,0.90999997,2018-11-07 06:31:23,VIR_4291_metro
59,114.3,8.0,41.42887351568788,2.1734294202178717,0.85999995,2018-11-07 06:31:24,VIR_4291_metro
60,121.0,8.0,41.42886685207486,2.173441154882312,0.95,2018-11-07 06:31:25,VIR_4291_metro
61,126.6,8.0,41.42885960172862,2.1734551526606083,0.76,2018-11-07 06:31:26,VIR_4291_metro
62,118.5,8.0,41.42885662615299,2.1734662167727947,0.62,2018-11-07 06:31:27,VIR_4291_metro
63,111.8,8.0,41.42885624896735,2.1734797954559326,1.0,2018-11-07 06:31:28,VIR_4291_metro
64,108.9,8.0,41.42885616514832,2.173496475443244,0.97999996,2018-11-07 06:31:29,VIR_4291_metro
65,108.8,8.0,41.42885562032461,2.173516843467951,0.95,2018-11-07 06:31:30,VIR_4291_metro
66,102.5,8.0,41.42885172273964,2.1735364571213722,1.13,2018-11-07 06:31:31,VIR_4291_metro
67,90.1,8.0,41.42885381821543,2.1735569927841425,1.24,2018-11-07 06:31:32,VIR_4291_metro
68,81.0,8.0,41.42885524313897,2.1735723316669464,1.3399999,2018-11-07 06:31:33,VIR_4291_metro
69,82.4,8.0,41.42885545268655,2.173590771853924,1.04,2018-11-07 06:31:34,VIR_4291_metro
70,93.6,8.0,41.428851638920605,2.1736020874232054,0.94,2018-11-07 06:31:35,VIR_4291_metro
71,94.5,8.0,41.428848998621106,2.173618683591485,1.13,2018-11-07 06:31:36,VIR_4291_metro
72,99.8,9.0,41.428843759931624,2.1736309211701155,0.65,2018-11-07 06:31:37,VIR_4291_metro
73,119.3,9.0,41.42884246073663,2.1736408956348896,0.65999997,2018-11-07 06:31:38,VIR_4291_metro
74,124.1,9.0,41.42884036526084,2.1736518759280443,0.48999998,2018-11-07 06:31:39,VIR_4291_metro
75,128.2,8.0,41.42883856315166,2.1736615151166916,0.41,2018-11-07 06:31:40,VIR_4291_metro
76,131.9,8.0,41.428837263956666,2.1736703999340534,0.44,2018-11-07 06:31:41,VIR_4291_metro
77,133.1,9.0,41.428833324462175,2.173686074092984,0.48,2018-11-07 06:31:42,VIR_4291_metro
78,135.2,8.0,41.42883223481476,2.173696719110012,0.42999998,2018-11-07 06:31:43,VIR_4291_metro
79,138.8,9.0,41.42882992979139,2.173712057992816,0.34,2018-11-07 06:31:44,VIR_4291_metro
80,139.8,9.0,41.4288286305964,2.1737247984856367,0.35,2018-11-07 06:31:45,VIR_4291_metro
81,140.9,9.0,41.428826451301575,2.1737351920455694,0.44,2018-11-07 06:31:46,VIR_4291_metro
82,147.5,9.0,41.42881903331727,2.173744747415185,0.95,2018-11-07 06:31:47,VIR_4291_metro
83,152.5,8.0,41.428809352219105,2.173759415745735,0.90999997,2018-11-07 06:31:48,VIR_4291_metro
84,151.7,8.0,41.428804406896234,2.1737734135240316,0.75,2018-11-07 06:31:49,VIR_4291_metro
85,147.9,9.0,41.42879958730191,2.173785399645567,0.76,2018-11-07 06:31:50,VIR_4291_metro
86,149.5,8.0,41.428793678060174,2.17379386536777,0.56,2018-11-07 06:31:51,VIR_4291_metro
87,153.9,8.0,41.42878990620375,2.1738004870712757,0.5,2018-11-07 06:31:52,VIR_4291_metro
88,164.1,9.0,41.428787182085216,2.173816580325365,0.72999996,2018-11-07 06:31:53,VIR_4291_metro
89,164.7,9.0,41.428779596462846,2.1738331764936447,1.0,2018-11-07 06:31:54,VIR_4291_metro
90,160.0,9.0,41.42877066973597,2.1738476771861315,0.89,2018-11-07 06:31:55,VIR_4291_metro
91,156.1,8.0,41.42876186873764,2.173862513154745,0.76,2018-11-07 06:31:56,VIR_4291_metro
92,148.0,9.0,41.42875625286251,2.1738754212856293,0.84,2018-11-07 06:31:57,VIR_4291_metro
93,136.9,9.0,41.42875185236335,2.1738941967487335,0.84,2018-11-07 06:31:58,VIR_4291_metro
94,127.6,9.0,41.42875202000141,2.1739136427640915,0.52,2018-11-07 06:31:59,VIR_4291_metro
95,115.2,9.0,41.42875042743981,2.1739325020462275,0.63,2018-11-07 06:32:00,VIR_4291_metro
96,111.0,9.0,41.4287498826161,2.1739557199180126,0.78,2018-11-07 06:32:01,VIR_4291_metro
97,104.9,9.0,41.42874422483146,2.1739683765918016,0.88,2018-11-07 06:32:02,VIR_4291_metro
98,106.6,9.0,41.428740243427455,2.1739792730659246,0.77,2018-11-07 06:32:03,VIR_4291_metro
99,122.2,9.0,41.428734585642815,2.173987738788128,0.84999996,2018-11-07 06:32:04,VIR_4291_metro
100,124.2,9.0,41.42872725147754,2.1740031614899635,0.91999996,2018-11-07 06:32:05,VIR_4291_metro
101,119.4,9.0,41.42872695811093,2.174026630818844,0.82,2018-11-07 06:32:06,VIR_4291_metro
102,110.6,10.0,41.42872938886285,2.1740538720041513,0.79999995,2018-11-07 06:32:07,VIR_4291_metro
103,99.3,9.0,41.428729724138975,2.1740733180195093,0.78999996,2018-11-07 06:32:08,VIR_4291_metro
104,104.8,8.0,41.42872934695333,2.174090249463916,0.79999995,2018-11-07 06:32:09,VIR_4291_metro
105,109.7,9.0,41.42872980795801,2.174102906137705,0.69,2018-11-07 06:32:10,VIR_4291_metro
106,113.5,9.0,41.42872884403914,2.174113215878606,0.74,2018-11-07 06:32:11,VIR_4291_metro
107,115.7,8.0,41.42872595228255,2.174128806218505,0.68,2018-11-07 06:32:12,VIR_4291_metro
108,128.9,8.0,41.42872511409223,2.174145318567753,0.56,2018-11-07 06:32:13,VIR_4291_metro
109,134.6,7.0,41.428725826554,2.1741560474038124,0.44,2018-11-07 06:32:14,VIR_4291_metro
110,135.4,7.0,41.42873035278171,2.1741660218685865,0.12,2018-11-07 06:32:15,VIR_4291_metro
111,128.4,8.0,41.42873969860375,2.174177672713995,0.47,2018-11-07 06:32:16,VIR_4291_metro
112,24.1,8.0,41.4287501340732,2.1741811092942953,0.62,2018-11-07 06:32:17,VIR_4291_metro
113,357.5,7.0,41.42876224592328,2.1741878148168325,0.74,2018-11-07 06:32:18,VIR_4291_metro
114,344.5,8.0,41.4287691609934,2.1741969510912895,0.71999997,2018-11-07 06:32:19,VIR_4291_metro
115,344.0,8.0,41.428781943395734,2.1742040757089853,0.72999996,2018-11-07 06:32:20,VIR_4291_metro
116,343.8,7.0,41.42879430670291,2.174210948869586,0.89,2018-11-07 06:32:21,VIR_4291_metro
117,352.0,8.0,41.42880746629089,2.174215642735362,0.87,2018-11-07 06:32:22,VIR_4291_metro
118,358.1,8.0,41.428819578140974,2.174223018810153,1.13,2018-11-07 06:32:23,VIR_4291_metro
119,0.0,7.0,41.428833743557334,2.17422679066658,1.09,2018-11-07 06:32:24,VIR_4291_metro
