course,haccuracy,latitude,longitude,speed,time,nickname
57.6,26.0,41.43886482,2.18703594,1.7650496,2018-11-07 13:21:43,san_14
147.9,39.0,41.43875051,2.18704392,1.9210675,2018-11-07 13:21:45,san_14
0.0,12.0,41.43881084,2.18732331,0.0,2018-11-07 13:21:47,san_14
0.0,13.0,41.43882115,2.18724606,0.0,2018-11-07 13:21:48,san_14
0.0,13.0,41.438801,2.18719832,0.0,2018-11-07 13:21:49,san_14
0.0,13.0,41.43879364,2.18720324,0.0,2018-11-07 13:21:50,san_14
0.0,12.0,41.43880161,2.18723085,0.0,2018-11-07 13:21:51,san_14
0.0,12.0,41.43880489,2.18725094,0.0,2018-11-07 13:21:52,san_14
0.0,13.0,41.43879277,2.18721874,0.0,2018-11-07 13:21:53,san_14
0.0,11.0,41.43878551,2.18723043,0.0,2018-11-07 13:21:54,san_14
0.0,10.0,41.43878851,2.18722276,0.0,2018-11-07 13:21:55,san_14
0.0,11.0,41.43878398,2.18722123,0.0,2018-11-07 13:21:56,san_14
0.0,10.0,41.43877395,2.18721499,0.0,2018-11-07 13:21:57,san_14
0.0,11.0,41.4387732,2.18721226,0.0,2018-11-07 13:21:58,san_14
0.0,13.0,41.43876316,2.18719494,0.0,2018-11-07 13:21:59,san_14
0.0,13.0,41.43875783,2.18718393,0.0,2018-11-07 13:22:00,san_14
0.0,13.0,41.43875349,2.18717311,0.0,2018-11-07 13:22:01,san_14
0.0,13.0,41.43875116,2.18717126,0.0,2018-11-07 13:22:02,san_14
0.0,13.0,41.43874669,2.18716209,0.0,2018-11-07 13:22:05,san_14
0.0,11.0,41.43873936,2.18714592,0.0,2018-11-07 13:22:08,san_14
0.0,12.0,41.43873472,2.18713518,0.0,2018-11-07 13:22:11,san_14
0.0,13.0,41.4387241,2.18711168,0.0,2018-11-07 13:22:12,san_14
0.0,14.0,41.43871741,2.18709666,0.0,2018-11-07 13:22:13,san_14
0.0,14.0,41.43870723,2.1870742,0.0,2018-11-07 13:22:14,san_14
0.0,15.0,41.43870243,2.18706381,0.0,2018-11-07 13:22:15,san_14
0.0,15.0,41.43869918,2.18705684,0.0,2018-11-07 13:22:16,san_14
0.0,21.0,41.43869759,2.18705504,0.0,2018-11-07 13:22:24,san_14
0.0,14.0,41.43869609,2.18705357,0.0,2018-11-07 13:22:31,san_14
0.0,12.0,41.43869901,2.18706089,0.0,2018-11-07 13:22:33,san_14
0.0,15.0,41.43869852,2.18706335,0.0,2018-11-07 13:22:43,san_14
0.0,17.0,41.43869365,2.18705681,0.0,2018-11-07 13:22:46,san_14
111.0,14.0,41.4386462,2.18706951,0.7710383,2018-11-07 13:22:48,san_14
111.1,15.0,41.43858532,2.18710061,0.86469644,2018-11-07 13:22:49,san_14
123.5,15.0,41.43854028,2.18712437,1.1363539,2018-11-07 13:22:50,san_14
109.8,14.0,41.43854366,2.18713206,0.7433034,2018-11-07 13:22:51,san_14
151.0,14.0,41.43851664,2.18714082,0.8809086,2018-11-07 13:22:52,san_14
137.5,13.0,41.4385143,2.18718093,0.75239617,2018-11-07 13:22:53,san_14
116.5,13.0,41.43850864,2.18716254,0.5408327,2018-11-07 13:22:54,san_14
90.5,13.0,41.43852111,2.1871933,0.81098706,2018-11-07 13:22:55,san_14
