,course,haccuracy,latitude,longitude,speed,time,nickname
0,48.9,9.648001,41.41852995,2.15181348,1.05,2018-11-07 15:02:34,vir_3242
1,329.6,9.648001,41.41856858,2.15183046,1.36,2018-11-07 15:02:37,vir_3242
2,8.6,8.576,41.41853817,2.15178404,1.34,2018-11-07 15:02:38,vir_3242
3,8.6,5.36,41.41852585,2.15179077,0.39,2018-11-07 15:02:39,vir_3242
4,15.4,4.288,41.41854299,2.1517388,1.41,2018-11-07 15:02:40,vir_3242
5,28.0,6.432,41.41857543,2.15183874,1.43,2018-11-07 15:02:41,vir_3242
6,348.7,6.432,41.4185452,2.15178197,1.18,2018-11-07 15:02:42,vir_3242
7,348.7,5.36,41.41856901,2.15180508,0.4,2018-11-07 15:02:43,vir_3242
8,32.3,3.216,41.41858156,2.15190825,1.75,2018-11-07 15:02:44,vir_3242
9,0.0,20.368,41.41854513,2.15160967,0.0,2018-11-07 15:02:45,vir_3242
10,356.1,5.36,41.41859531,2.15167081,2.01,2018-11-07 15:02:47,vir_3242
11,27.5,5.36,41.41862066,2.15170235,1.56,2018-11-07 15:02:48,vir_3242
12,11.7,4.288,41.41864125,2.15169093,2.01,2018-11-07 15:02:49,vir_3242
13,26.9,4.288,41.41866667,2.15170264,1.6,2018-11-07 15:02:50,vir_3242
14,358.1,3.216,41.41867464,2.15169793,1.47,2018-11-07 15:02:51,vir_3242
15,334.7,3.216,41.41868255,2.15169305,0.92,2018-11-07 15:02:52,vir_3242
16,355.2,3.216,41.41868813,2.15168937,0.96,2018-11-07 15:02:53,vir_3242
17,356.8,3.216,41.41869508,2.15168784,0.99,2018-11-07 15:02:54,vir_3242
18,4.8,3.216,41.41870557,2.15170009,1.06,2018-11-07 15:02:55,vir_3242
19,3.2,3.216,41.41871776,2.15171385,1.11,2018-11-07 15:02:56,vir_3242
20,4.7,3.216,41.4187279,2.15172522,1.08,2018-11-07 15:02:57,vir_3242
21,4.8,3.216,41.41873908,2.15173424,1.1,2018-11-07 15:02:58,vir_3242
22,355.8,3.216,41.41874932,2.15174047,1.12,2018-11-07 15:02:59,vir_3242
23,354.8,3.216,41.41876207,2.1517456,1.25,2018-11-07 15:03:00,vir_3242
24,340.3,3.216,41.41877494,2.15174614,1.28,2018-11-07 15:03:01,vir_3242
25,345.0,3.216,41.41878807,2.15174495,1.31,2018-11-07 15:03:02,vir_3242
26,347.7,4.288,41.41880124,2.15174441,1.32,2018-11-07 15:03:03,vir_3242
27,356.0,4.288,41.41881169,2.15174705,1.23,2018-11-07 15:03:04,vir_3242
28,5.0,3.216,41.4188224,2.15175058,1.24,2018-11-07 15:03:05,vir_3242
29,12.7,3.216,41.41883051,2.15175545,0.93,2018-11-07 15:03:06,vir_3242
30,14.1,3.216,41.41883941,2.15176023,1.21,2018-11-07 15:03:07,vir_3242
31,12.1,3.216,41.41885134,2.15176464,1.21,2018-11-07 15:03:08,vir_3242
32,7.4,4.288,41.41886312,2.15176707,1.21,2018-11-07 15:03:09,vir_3242
33,7.5,4.288,41.41887444,2.15177005,1.21,2018-11-07 15:03:10,vir_3242
34,4.4,4.288,41.41888564,2.15177319,1.21,2018-11-07 15:03:11,vir_3242
35,3.0,4.288,41.41889667,2.15177493,1.21,2018-11-07 15:03:12,vir_3242
36,0.3,4.288,41.41890775,2.15177639,1.2,2018-11-07 15:03:13,vir_3242
37,0.3,5.36,41.41891887,2.15177647,1.2,2018-11-07 15:03:14,vir_3242
38,334.8,5.36,41.41892864,2.15177036,1.19,2018-11-07 15:03:15,vir_3242
39,339.9,4.288,41.41893818,2.15176573,1.18,2018-11-07 15:03:16,vir_3242
40,8.7,4.288,41.41894903,2.15176794,1.19,2018-11-07 15:03:17,vir_3242
41,20.6,4.288,41.41895927,2.15177306,1.18,2018-11-07 15:03:18,vir_3242
42,12.1,5.36,41.41896834,2.15177564,1.17,2018-11-07 15:03:19,vir_3242
43,3.0,5.36,41.41897674,2.15177622,1.18,2018-11-07 15:03:20,vir_3242
44,12.0,5.36,41.41898517,2.15177861,1.18,2018-11-07 15:03:21,vir_3242
45,14.8,6.432,41.41899389,2.15178167,1.18,2018-11-07 15:03:22,vir_3242
46,8.5,6.432,41.41900258,2.1517834,1.18,2018-11-07 15:03:23,vir_3242
47,7.1,6.432,41.41901162,2.1517849,1.2,2018-11-07 15:03:24,vir_3242
48,4.8,6.432,41.41902147,2.151786,1.2,2018-11-07 15:03:25,vir_3242
