course,haccuracy,latitude,longitude,speed,time,nickname
97.4,29.0,41.4338954,2.15804139,5.34,2018-11-07 06:15:27,vir_3261_bus
130.2,29.0,41.43397136,2.15808952,3.77,2018-11-07 06:15:28,vir_3261_bus
171.9,32.0,41.43377137,2.15813657,1.4,2018-11-07 06:15:29,vir_3261_bus
105.6,38.0,41.43382944,2.15816241,1.38,2018-11-07 06:15:30,vir_3261_bus
132.2,39.0,41.43377312,2.15815747,1.22,2018-11-07 06:15:31,vir_3261_bus
202.2,20.0,41.43396401,2.15794945,2.17,2018-11-07 06:15:33,vir_3261_bus
112.3,18.0,41.43401616,2.15796567,1.42,2018-11-07 06:15:34,vir_3261_bus
158.8,16.0,41.43387935,2.15797057,2.1,2018-11-07 06:15:35,vir_3261_bus
13.1,13.0,41.43389706,2.15802572,4.05,2018-11-07 06:15:36,vir_3261_bus
84.6,10.0,41.43395791,2.15808264,1.57,2018-11-07 06:15:37,vir_3261_bus
223.3,7.0,41.43376895,2.15808579,4.84,2018-11-07 06:15:39,vir_3261_bus
215.7,4.0,41.43371014,2.15803022,4.26,2018-11-07 06:15:41,vir_3261_bus
96.2,4.0,41.43378456,2.15810583,0.68,2018-11-07 06:15:42,vir_3261_bus
126.0,6.0,41.43377887,2.15811728,0.67,2018-11-07 06:15:43,vir_3261_bus
129.0,5.0,41.43377872,2.15813214,0.49,2018-11-07 06:15:44,vir_3261_bus
134.5,4.0,41.4337729,2.15814877,1.0,2018-11-07 06:15:45,vir_3261_bus
122.1,5.0,41.43377863,2.15816083,1.13,2018-11-07 06:15:46,vir_3261_bus
117.6,5.0,41.43378189,2.15818096,0.69,2018-11-07 06:15:47,vir_3261_bus
127.3,5.0,41.43376951,2.15819603,0.77,2018-11-07 06:15:48,vir_3261_bus
119.9,6.0,41.43376627,2.15821267,0.95,2018-11-07 06:15:49,vir_3261_bus
125.1,6.0,41.43374897,2.15823361,1.42,2018-11-07 06:15:50,vir_3261_bus
139.5,7.0,41.43371885,2.15825223,1.9,2018-11-07 06:15:51,vir_3261_bus
114.6,8.0,41.43371842,2.15831812,2.48,2018-11-07 06:15:52,vir_3261_bus
120.4,8.0,41.43370063,2.1583483,2.3,2018-11-07 06:15:53,vir_3261_bus
148.6,8.0,41.43364135,2.15834992,3.33,2018-11-07 06:15:54,vir_3261_bus
157.0,8.0,41.43356501,2.15837461,4.54,2018-11-07 06:15:55,vir_3261_bus
156.3,8.0,41.43357963,2.15837664,3.61,2018-11-07 06:15:56,vir_3261_bus
136.5,8.0,41.43358628,2.15841982,4.15,2018-11-07 06:15:57,vir_3261_bus
146.4,9.0,41.43356654,2.15841252,3.51,2018-11-07 06:15:58,vir_3261_bus
148.7,8.0,41.43354075,2.15842562,3.2,2018-11-07 06:15:59,vir_3261_bus
147.9,8.0,41.43353247,2.15842829,2.73,2018-11-07 06:16:00,vir_3261_bus
130.3,9.0,41.43353663,2.15849104,3.52,2018-11-07 06:16:01,vir_3261_bus
138.3,9.0,41.43352601,2.15849014,2.91,2018-11-07 06:16:02,vir_3261_bus
141.1,7.0,41.43355516,2.15846049,0.74,2018-11-07 06:16:03,vir_3261_bus
109.7,6.0,41.43356838,2.15848483,0.91,2018-11-07 06:16:04,vir_3261_bus
132.1,6.0,41.43357031,2.1585161,1.63,2018-11-07 06:16:05,vir_3261_bus
133.7,5.0,41.43356898,2.15852634,1.69,2018-11-07 06:16:06,vir_3261_bus
121.1,5.0,41.4335719,2.15854684,1.26,2018-11-07 06:16:07,vir_3261_bus
130.4,4.0,41.43356554,2.15856502,1.65,2018-11-07 06:16:08,vir_3261_bus
105.1,4.0,41.43356838,2.15857434,1.17,2018-11-07 06:16:09,vir_3261_bus
126.0,4.0,41.43355531,2.15859716,1.78,2018-11-07 06:16:10,vir_3261_bus
121.8,4.0,41.4335533,2.15859778,1.23,2018-11-07 06:16:11,vir_3261_bus
115.4,4.0,41.43355689,2.15862228,1.57,2018-11-07 06:16:12,vir_3261_bus
128.8,4.0,41.43355595,2.1586405,1.68,2018-11-07 06:16:13,vir_3261_bus
119.7,4.0,41.43355146,2.15866072,1.72,2018-11-07 06:16:14,vir_3261_bus
122.2,4.0,41.4335445,2.15868646,1.63,2018-11-07 06:16:15,vir_3261_bus
109.8,5.0,41.43353361,2.15870288,1.79,2018-11-07 06:16:16,vir_3261_bus
117.4,5.0,41.43352401,2.15872948,1.68,2018-11-07 06:16:17,vir_3261_bus
123.5,4.0,41.43352671,2.15873671,1.17,2018-11-07 06:16:18,vir_3261_bus
155.5,5.0,41.43351443,2.15873892,1.33,2018-11-07 06:16:19,vir_3261_bus
163.7,5.0,41.43350415,2.15874365,0.94,2018-11-07 06:16:20,vir_3261_bus
126.4,5.0,41.43349317,2.15877126,1.46,2018-11-07 06:16:21,vir_3261_bus
146.6,5.0,41.43347783,2.15877843,2.12,2018-11-07 06:16:22,vir_3261_bus
126.1,4.0,41.43346625,2.1587919,0.94,2018-11-07 06:16:24,vir_3261_bus
119.6,4.0,41.43345755,2.15880298,1.2,2018-11-07 06:16:25,vir_3261_bus
115.0,4.0,41.43344482,2.15882168,1.75,2018-11-07 06:16:26,vir_3261_bus
134.6,4.0,41.4334314,2.15883281,1.42,2018-11-07 06:16:27,vir_3261_bus
133.2,4.0,41.43341972,2.15883956,0.91,2018-11-07 06:16:28,vir_3261_bus
131.0,5.0,41.4333905,2.15886523,0.92,2018-11-07 06:16:29,vir_3261_bus
136.6,5.0,41.43336016,2.15891123,1.66,2018-11-07 06:16:30,vir_3261_bus
138.2,6.0,41.43336699,2.15891136,0.55,2018-11-07 06:16:31,vir_3261_bus
201.6,6.0,41.4333663,2.15890635,0.18,2018-11-07 06:16:32,vir_3261_bus
173.0,6.0,41.43337539,2.15891587,0.69,2018-11-07 06:16:33,vir_3261_bus
170.7,5.0,41.43335785,2.1589274,1.35,2018-11-07 06:16:34,vir_3261_bus
176.9,5.0,41.43335441,2.1589241,0.64,2018-11-07 06:16:35,vir_3261_bus
183.6,4.0,41.43333957,2.15893861,1.07,2018-11-07 06:16:36,vir_3261_bus
186.5,4.0,41.43333265,2.15893705,1.16,2018-11-07 06:16:37,vir_3261_bus
169.6,4.0,41.4333197,2.15894456,0.81,2018-11-07 06:16:38,vir_3261_bus
210.5,4.0,41.43330726,2.15894684,1.52,2018-11-07 06:16:39,vir_3261_bus
205.6,5.0,41.43329868,2.15895958,1.24,2018-11-07 06:16:40,vir_3261_bus
228.5,5.0,41.43328821,2.15893821,1.58,2018-11-07 06:16:41,vir_3261_bus
251.9,5.0,41.43329438,2.1589267,0.68,2018-11-07 06:16:42,vir_3261_bus
248.2,7.0,41.43328651,2.15890755,0.78,2018-11-07 06:16:43,vir_3261_bus
238.5,9.0,41.43328058,2.15890203,0.79,2018-11-07 06:16:44,vir_3261_bus
231.7,11.0,41.43327125,2.15888216,1.13,2018-11-07 06:16:45,vir_3261_bus
229.0,14.0,41.43326132,2.15886509,1.31,2018-11-07 06:16:46,vir_3261_bus
206.4,17.0,41.43321659,2.15886029,2.15,2018-11-07 06:16:47,vir_3261_bus
207.6,20.0,41.43319505,2.15883894,2.39,2018-11-07 06:16:48,vir_3261_bus
217.0,22.0,41.4331752,2.15878376,2.8,2018-11-07 06:16:49,vir_3261_bus
272.3,22.0,41.43323786,2.15872324,1.76,2018-11-07 06:16:50,vir_3261_bus
274.8,23.0,41.43323465,2.15873311,1.5,2018-11-07 06:16:51,vir_3261_bus
264.8,21.0,41.43322345,2.15870755,1.61,2018-11-07 06:16:52,vir_3261_bus
229.3,16.0,41.43317931,2.1587749,1.08,2018-11-07 06:16:53,vir_3261_bus
245.3,15.0,41.43319306,2.15871708,1.28,2018-11-07 06:16:54,vir_3261_bus
216.6,14.0,41.43315658,2.15874598,1.38,2018-11-07 06:16:55,vir_3261_bus
142.6,12.0,41.43312291,2.15883216,0.64,2018-11-07 06:16:56,vir_3261_bus
160.3,11.0,41.4330685,2.15889198,1.11,2018-11-07 06:16:57,vir_3261_bus
152.3,10.0,41.43304287,2.15890821,1.38,2018-11-07 06:16:58,vir_3261_bus
154.9,10.0,41.43302754,2.15891315,1.45,2018-11-07 06:16:59,vir_3261_bus
166.7,10.0,41.43301261,2.15888973,1.59,2018-11-07 06:17:00,vir_3261_bus
161.4,9.0,41.43300853,2.15888459,1.51,2018-11-07 06:17:01,vir_3261_bus
179.6,9.0,41.43297186,2.15886149,2.32,2018-11-07 06:17:02,vir_3261_bus
204.3,8.0,41.43293849,2.15882444,2.71,2018-11-07 06:17:03,vir_3261_bus
203.6,7.0,41.43295544,2.15883586,1.07,2018-11-07 06:17:04,vir_3261_bus
198.6,8.0,41.43295375,2.15883067,0.9,2018-11-07 06:17:05,vir_3261_bus
189.0,8.0,41.43293352,2.15882543,0.94,2018-11-07 06:17:06,vir_3261_bus
216.3,7.0,41.43292259,2.15881803,1.02,2018-11-07 06:17:07,vir_3261_bus
177.1,6.0,41.43291506,2.15882222,0.73,2018-11-07 06:17:08,vir_3261_bus
139.7,6.0,41.43290402,2.15882615,0.78,2018-11-07 06:17:09,vir_3261_bus
166.7,6.0,41.43289404,2.15881161,0.75,2018-11-07 06:17:10,vir_3261_bus
136.0,7.0,41.43288752,2.15881738,0.58,2018-11-07 06:17:11,vir_3261_bus
170.7,7.0,41.43287627,2.15880972,0.79,2018-11-07 06:17:12,vir_3261_bus
177.8,7.0,41.43287809,2.15879278,0.29,2018-11-07 06:17:13,vir_3261_bus
227.3,7.0,41.43287874,2.15875002,0.6,2018-11-07 06:17:14,vir_3261_bus
224.8,8.0,41.43286147,2.15872988,1.5,2018-11-07 06:17:15,vir_3261_bus
231.3,8.0,41.43286447,2.15869742,0.98,2018-11-07 06:17:16,vir_3261_bus
293.3,9.0,41.43288083,2.15865476,1.0,2018-11-07 06:17:17,vir_3261_bus
258.0,6.0,41.43287134,2.15863313,1.63,2018-11-07 06:17:18,vir_3261_bus
225.6,5.0,41.43287726,2.15860099,0.41,2018-11-07 06:17:19,vir_3261_bus
214.0,5.0,41.43286162,2.15860972,0.7,2018-11-07 06:17:20,vir_3261_bus
240.7,4.0,41.4328579,2.15858253,0.58,2018-11-07 06:17:21,vir_3261_bus
270.7,5.0,41.43285269,2.15857462,0.53,2018-11-07 06:17:22,vir_3261_bus
197.0,5.0,41.43282838,2.1585795,0.83,2018-11-07 06:17:23,vir_3261_bus
186.0,5.0,41.43281202,2.15858322,1.01,2018-11-07 06:17:24,vir_3261_bus
192.3,5.0,41.43279774,2.158575,1.15,2018-11-07 06:17:25,vir_3261_bus
187.4,6.0,41.4327797,2.15857723,1.33,2018-11-07 06:17:26,vir_3261_bus
204.5,4.0,41.4327808,2.15856914,0.59,2018-11-07 06:17:27,vir_3261_bus
227.6,4.0,41.4327683,2.15856274,0.35,2018-11-07 06:17:28,vir_3261_bus
