course,haccuracy,latitude,longitude,speed,time,nickname
339.6,19.296001,41.41997525,2.15163284,1.34,2018-11-07 15:05:07,vir_3292_pie
21.2,16.08,41.4199918,2.15164955,1.36,2018-11-07 15:05:08,vir_3292_pie
355.0,12.864,41.42000546,2.15166388,0.85,2018-11-07 15:05:09,vir_3292_pie
8.2,8.576,41.42001522,2.15167006,0.9,2018-11-07 15:05:10,vir_3292_pie
12.2,7.504,41.42002233,2.15169311,0.47,2018-11-07 15:05:11,vir_3292_pie
62.8,5.36,41.4200245,2.15171859,0.22,2018-11-07 15:05:12,vir_3292_pie
156.5,4.288,41.42002216,2.15174132,0.34,2018-11-07 15:05:13,vir_3292_pie
0.0,4.288,41.42002033,2.15176143,0.0,2018-11-07 15:05:14,vir_3292_pie
0.0,3.216,41.42002046,2.15179804,0.0,2018-11-07 15:05:15,vir_3292_pie
258.8,3.216,41.42002146,2.15180541,0.35,2018-11-07 15:05:16,vir_3292_pie
330.1,3.216,41.42002106,2.15180915,0.18,2018-11-07 15:05:17,vir_3292_pie
315.5,3.216,41.42002663,2.15180539,1.37,2018-11-07 15:05:18,vir_3292_pie
318.7,3.216,41.42003423,2.15179966,0.82,2018-11-07 15:05:19,vir_3292_pie
315.2,3.216,41.42004412,2.151789,1.91,2018-11-07 15:05:20,vir_3292_pie
332.0,3.216,41.42006486,2.15177577,1.31,2018-11-07 15:05:22,vir_3292_pie
338.3,3.216,41.42008981,2.15176637,1.46,2018-11-07 15:05:24,vir_3292_pie
334.9,4.288,41.42010167,2.15175856,1.4,2018-11-07 15:05:25,vir_3292_pie
331.5,4.288,41.42011304,2.15174874,1.46,2018-11-07 15:05:26,vir_3292_pie
324.0,5.36,41.42012115,2.15173574,1.28,2018-11-07 15:05:27,vir_3292_pie
311.7,4.288,41.42012288,2.15171967,1.23,2018-11-07 15:05:28,vir_3292_pie
300.6,4.288,41.42012521,2.15170078,1.5,2018-11-07 15:05:29,vir_3292_pie
296.9,4.288,41.42012764,2.15168028,1.56,2018-11-07 15:05:30,vir_3292_pie
295.2,3.216,41.42012586,2.1516659,0.65,2018-11-07 15:05:31,vir_3292_pie
290.8,3.216,41.42012441,2.15165502,0.67,2018-11-07 15:05:32,vir_3292_pie
298.8,3.216,41.42012562,2.15164604,0.58,2018-11-07 15:05:33,vir_3292_pie
309.0,3.216,41.42012792,2.15164769,0.25,2018-11-07 15:05:36,vir_3292_pie
0.0,3.216,41.42013161,2.15165085,0.0,2018-11-07 15:05:37,vir_3292_pie
0.0,3.216,41.42013521,2.15165393,0.0,2018-11-07 15:05:38,vir_3292_pie
0.0,3.216,41.42013771,2.15165505,0.0,2018-11-07 15:05:39,vir_3292_pie
0.0,3.216,41.42014212,2.15165445,0.0,2018-11-07 15:05:40,vir_3292_pie
8.7,3.216,41.42014771,2.15165525,0.29,2018-11-07 15:05:41,vir_3292_pie
0.0,3.216,41.42015523,2.15165476,0.0,2018-11-07 15:05:42,vir_3292_pie
281.0,3.216,41.42016033,2.15164295,0.86,2018-11-07 15:05:43,vir_3292_pie
284.0,3.216,41.42016177,2.1516338,0.26,2018-11-07 15:05:44,vir_3292_pie
0.0,3.216,41.42016472,2.15162467,0.0,2018-11-07 15:05:46,vir_3292_pie
0.0,3.216,41.4201678,2.15162271,0.0,2018-11-07 15:05:47,vir_3292_pie
0.0,3.216,41.42016943,2.15162143,0.0,2018-11-07 15:05:48,vir_3292_pie
0.0,3.216,41.42017126,2.1516143,0.0,2018-11-07 15:05:49,vir_3292_pie
0.0,3.216,41.42016774,2.15161593,0.0,2018-11-07 15:05:51,vir_3292_pie
0.0,3.216,41.42016929,2.15161065,0.0,2018-11-07 15:05:54,vir_3292_pie
202.0,3.216,41.42016934,2.15160602,0.23,2018-11-07 15:05:56,vir_3292_pie
0.0,3.216,41.42017136,2.15160619,0.0,2018-11-07 15:05:58,vir_3292_pie
0.0,3.216,41.42017061,2.15160895,0.0,2018-11-07 15:06:01,vir_3292_pie
0.0,3.216,41.42017072,2.15161256,0.0,2018-11-07 15:06:02,vir_3292_pie
175.1,3.216,41.42017664,2.15161493,0.21,2018-11-07 15:06:04,vir_3292_pie
0.0,3.216,41.42018041,2.15161511,0.0,2018-11-07 15:06:05,vir_3292_pie
0.0,3.216,41.42018435,2.15161455,0.0,2018-11-07 15:06:07,vir_3292_pie
0.0,3.216,41.42018648,2.15161483,0.0,2018-11-07 15:06:08,vir_3292_pie
0.0,3.216,41.42018962,2.15161402,0.0,2018-11-07 15:06:09,vir_3292_pie
0.0,3.216,41.42019301,2.15161277,0.0,2018-11-07 15:06:10,vir_3292_pie
0.0,3.216,41.42019479,2.15160999,0.0,2018-11-07 15:06:12,vir_3292_pie
0.0,3.216,41.42019616,2.15160604,0.0,2018-11-07 15:06:14,vir_3292_pie
200.5,3.216,41.42019534,2.15160359,0.25,2018-11-07 15:06:15,vir_3292_pie
0.0,3.216,41.42019533,2.1516009,0.0,2018-11-07 15:06:16,vir_3292_pie
343.5,3.216,41.42020472,2.15159813,1.1,2018-11-07 15:06:17,vir_3292_pie
2.6,3.216,41.42021554,2.15159527,0.96,2018-11-07 15:06:18,vir_3292_pie
2.4,3.216,41.4202253,2.15159278,0.94,2018-11-07 15:06:19,vir_3292_pie
2.2,3.216,41.42023759,2.15158689,1.44,2018-11-07 15:06:20,vir_3292_pie
2.2,3.216,41.42024774,2.1515803,0.82,2018-11-07 15:06:21,vir_3292_pie
2.2,3.216,41.4202547,2.15157317,0.81,2018-11-07 15:06:22,vir_3292_pie
2.5,3.216,41.42025868,2.15156198,1.13,2018-11-07 15:06:23,vir_3292_pie
2.6,3.216,41.42026038,2.15154682,1.24,2018-11-07 15:06:24,vir_3292_pie
2.6,3.216,41.4202612,2.15153173,0.99,2018-11-07 15:06:25,vir_3292_pie
2.6,3.216,41.42026298,2.15152303,0.75,2018-11-07 15:06:26,vir_3292_pie
2.7,3.216,41.42026519,2.15151789,0.51,2018-11-07 15:06:27,vir_3292_pie
311.6,3.216,41.42026644,2.1515078,1.3,2018-11-07 15:06:28,vir_3292_pie
282.7,3.216,41.42026666,2.15148967,1.56,2018-11-07 15:06:29,vir_3292_pie
292.8,3.216,41.42026759,2.15147519,1.1,2018-11-07 15:06:30,vir_3292_pie
2.8,3.216,41.4202681,2.15146699,0.5,2018-11-07 15:06:31,vir_3292_pie
2.8,3.216,41.42026973,2.15146029,0.8,2018-11-07 15:06:32,vir_3292_pie
303.5,3.216,41.42027275,2.15144901,0.95,2018-11-07 15:06:33,vir_3292_pie
2.8,3.216,41.42027237,2.15143885,0.47,2018-11-07 15:06:34,vir_3292_pie
2.8,3.216,41.4202708,2.15143319,0.25,2018-11-07 15:06:35,vir_3292_pie
298.7,3.216,41.42027146,2.15142247,1.12,2018-11-07 15:06:36,vir_3292_pie
310.9,3.216,41.42027493,2.15140973,1.05,2018-11-07 15:06:37,vir_3292_pie
313.6,3.216,41.4202799,2.15139675,1.22,2018-11-07 15:06:38,vir_3292_pie
315.3,3.216,41.42028623,2.15138209,1.24,2018-11-07 15:06:39,vir_3292_pie
2.8,3.216,41.42029063,2.15137322,0.57,2018-11-07 15:06:40,vir_3292_pie
322.6,3.216,41.42029421,2.15136346,0.95,2018-11-07 15:06:41,vir_3292_pie
336.3,3.216,41.4202989,2.15135552,0.88,2018-11-07 15:06:42,vir_3292_pie
309.4,3.216,41.42030102,2.15134529,0.9,2018-11-07 15:06:43,vir_3292_pie
291.9,3.216,41.42030105,2.15133132,1.04,2018-11-07 15:06:44,vir_3292_pie
274.6,3.216,41.42029939,2.15131507,1.22,2018-11-07 15:06:45,vir_3292_pie
282.7,3.216,41.42029798,2.15130154,0.75,2018-11-07 15:06:46,vir_3292_pie
302.9,3.216,41.42029868,2.15129341,0.73,2018-11-07 15:06:47,vir_3292_pie
302.7,3.216,41.42030064,2.15128209,1.16,2018-11-07 15:06:48,vir_3292_pie
299.7,3.216,41.42030453,2.15126605,1.34,2018-11-07 15:06:49,vir_3292_pie
291.2,3.216,41.42030659,2.15125345,0.73,2018-11-07 15:06:50,vir_3292_pie
288.9,3.216,41.42030548,2.15123996,1.2,2018-11-07 15:06:51,vir_3292_pie
278.7,3.216,41.42030332,2.15122372,1.06,2018-11-07 15:06:52,vir_3292_pie
277.1,3.216,41.42029986,2.15120774,1.16,2018-11-07 15:06:53,vir_3292_pie
282.8,3.216,41.42029804,2.15118927,1.38,2018-11-07 15:06:54,vir_3292_pie
286.8,3.216,41.42029753,2.15117037,1.34,2018-11-07 15:06:55,vir_3292_pie
287.6,4.288,41.42029676,2.15115084,1.29,2018-11-07 15:06:56,vir_3292_pie
302.1,4.288,41.42029695,2.15113672,0.94,2018-11-07 15:06:57,vir_3292_pie
318.9,4.288,41.4202998,2.15112482,1.06,2018-11-07 15:06:58,vir_3292_pie
329.0,4.288,41.42030617,2.1511098,1.41,2018-11-07 15:06:59,vir_3292_pie
325.1,4.288,41.42030968,2.15109912,0.79,2018-11-07 15:07:00,vir_3292_pie
317.7,4.288,41.42030899,2.15108996,0.52,2018-11-07 15:07:01,vir_3292_pie
300.4,4.288,41.42030689,2.1510783,0.74,2018-11-07 15:07:02,vir_3292_pie
277.7,4.288,41.42030423,2.15106002,1.19,2018-11-07 15:07:03,vir_3292_pie
275.1,5.36,41.42030153,2.15103672,1.34,2018-11-07 15:07:04,vir_3292_pie
275.7,5.36,41.42029953,2.15101092,1.49,2018-11-07 15:07:05,vir_3292_pie
276.0,4.288,41.42029717,2.15098753,1.19,2018-11-07 15:07:06,vir_3292_pie
273.7,5.36,41.42029448,2.15097102,0.62,2018-11-07 15:07:07,vir_3292_pie
273.2,4.288,41.42029136,2.1509578,0.64,2018-11-07 15:07:08,vir_3292_pie
271.0,4.288,41.42028787,2.15094087,1.01,2018-11-07 15:07:09,vir_3292_pie
288.5,4.288,41.42028794,2.15092209,1.13,2018-11-07 15:07:10,vir_3292_pie
315.0,5.36,41.42029258,2.15090573,1.23,2018-11-07 15:07:11,vir_3292_pie
337.7,5.36,41.4202948,2.15089629,0.18,2018-11-07 15:07:12,vir_3292_pie
352.3,5.36,41.42029542,2.15089097,0.54,2018-11-07 15:07:13,vir_3292_pie
350.7,5.36,41.42030199,2.15088452,1.21,2018-11-07 15:07:14,vir_3292_pie
350.3,5.36,41.42030987,2.15087726,0.97,2018-11-07 15:07:15,vir_3292_pie
349.9,5.36,41.4203136,2.15086879,0.64,2018-11-07 15:07:16,vir_3292_pie
349.4,5.36,41.42031683,2.15085208,1.53,2018-11-07 15:07:17,vir_3292_pie
275.1,6.432,41.42031451,2.15082655,1.66,2018-11-07 15:07:18,vir_3292_pie
349.2,6.432,41.42030954,2.15080763,0.57,2018-11-07 15:07:19,vir_3292_pie
259.7,6.432,41.42030169,2.15078727,1.55,2018-11-07 15:07:20,vir_3292_pie
348.8,6.432,41.42029436,2.150766,0.86,2018-11-07 15:07:21,vir_3292_pie
348.6,5.36,41.42028779,2.15075266,0.17,2018-11-07 15:07:22,vir_3292_pie
348.4,5.36,41.42028422,2.15074269,0.36,2018-11-07 15:07:23,vir_3292_pie
341.1,5.36,41.42028629,2.15073149,1.12,2018-11-07 15:07:24,vir_3292_pie
0.0,5.36,41.42027882,2.15071454,0.0,2018-11-07 15:07:25,vir_3292_pie
0.0,5.36,41.42027103,2.15070564,0.0,2018-11-07 15:07:26,vir_3292_pie
0.0,5.36,41.42026507,2.15069818,0.0,2018-11-07 15:07:27,vir_3292_pie
0.0,5.36,41.42026045,2.1506931,0.0,2018-11-07 15:07:28,vir_3292_pie
0.0,5.36,41.42025579,2.15068839,0.0,2018-11-07 15:07:29,vir_3292_pie
347.5,5.36,41.42025247,2.15067924,0.56,2018-11-07 15:07:30,vir_3292_pie
346.0,5.36,41.42025502,2.15067134,0.74,2018-11-07 15:07:31,vir_3292_pie
347.5,5.36,41.42025508,2.15066255,0.47,2018-11-07 15:07:32,vir_3292_pie
347.5,5.36,41.42025525,2.15065556,0.46,2018-11-07 15:07:33,vir_3292_pie
0.0,5.36,41.42025188,2.15064799,0.0,2018-11-07 15:07:34,vir_3292_pie
