,course,haccuracy,latitude,longitude,speed,time,nickname
0,0.0,11.792,41.35237474,2.11405841,0.0,2018-11-08 14:02:45,bel_0013_peu
1,83.1,11.792,41.35235355,2.11408573,1.64,2018-11-08 14:02:46,bel_0013_peu
2,69.4,10.72,41.3523765,2.11411052,1.5,2018-11-08 14:02:47,bel_0013_peu
3,61.1,10.72,41.35236579,2.11413659,1.72,2018-11-08 14:02:48,bel_0013_peu
4,64.1,11.792,41.35236718,2.11415636,1.09,2018-11-08 14:02:49,bel_0013_peu
5,97.4,11.792,41.35237554,2.11417277,1.69,2018-11-08 14:02:50,bel_0013_peu
6,72.0,11.792,41.35238278,2.11417548,0.85,2018-11-08 14:02:51,bel_0013_peu
7,60.1,11.792,41.35240002,2.11418646,1.63,2018-11-08 14:02:52,bel_0013_peu
8,36.5,11.792,41.3524147,2.11419233,1.55,2018-11-08 14:02:53,bel_0013_peu
9,58.1,11.792,41.35242275,2.11420186,1.29,2018-11-08 14:02:54,bel_0013_peu
10,63.5,11.792,41.3524268,2.11421686,1.5,2018-11-08 14:02:55,bel_0013_peu
11,31.4,11.792,41.35243318,2.1142298,1.29,2018-11-08 14:02:56,bel_0013_peu
12,41.4,11.792,41.3524403,2.11424193,1.36,2018-11-08 14:02:57,bel_0013_peu
13,90.8,11.792,41.35244282,2.11426221,1.72,2018-11-08 14:02:58,bel_0013_peu
14,54.9,11.792,41.35244537,2.11428053,1.27,2018-11-08 14:02:59,bel_0013_peu
15,50.4,11.792,41.35245334,2.11429536,1.68,2018-11-08 14:03:00,bel_0013_peu
16,53.1,11.792,41.35246105,2.11430848,1.33,2018-11-08 14:03:01,bel_0013_peu
17,44.6,10.72,41.35246911,2.1143171,1.08,2018-11-08 14:03:02,bel_0013_peu
18,24.3,11.792,41.35248388,2.1143191,1.64,2018-11-08 14:03:03,bel_0013_peu
19,6.4,11.792,41.35249838,2.11431827,1.15,2018-11-08 14:03:04,bel_0013_peu
20,19.7,11.792,41.35250926,2.11432093,1.47,2018-11-08 14:03:05,bel_0013_peu
21,31.9,11.792,41.35252206,2.11433958,2.04,2018-11-08 14:03:06,bel_0013_peu
22,31.6,11.792,41.35252787,2.11435432,1.26,2018-11-08 14:03:07,bel_0013_peu
23,44.5,11.792,41.35253462,2.11436792,1.3,2018-11-08 14:03:08,bel_0013_peu
24,103.2,11.792,41.35253405,2.11439203,1.99,2018-11-08 14:03:09,bel_0013_peu
25,83.1,11.792,41.35253123,2.11442184,0.87,2018-11-08 14:03:10,bel_0013_peu
26,92.6,11.792,41.35253246,2.11444207,1.52,2018-11-08 14:03:11,bel_0013_peu
27,123.5,11.792,41.35253013,2.11445878,1.15,2018-11-08 14:03:12,bel_0013_peu
28,93.6,12.864,41.35252994,2.11447671,1.85,2018-11-08 14:03:13,bel_0013_peu
29,125.4,12.864,41.35252565,2.11448996,1.13,2018-11-08 14:03:14,bel_0013_peu
30,112.8,12.864,41.35252324,2.11450408,1.54,2018-11-08 14:03:15,bel_0013_peu
31,98.0,12.864,41.35252425,2.11451877,1.32,2018-11-08 14:03:16,bel_0013_peu
32,125.0,12.864,41.35251883,2.1145321,1.14,2018-11-08 14:03:17,bel_0013_peu
33,108.4,13.936001,41.35251517,2.11455518,2.57,2018-11-08 14:03:18,bel_0013_peu
34,101.3,12.864,41.35252377,2.11457434,1.05,2018-11-08 14:03:19,bel_0013_peu
35,105.3,13.936001,41.35253688,2.11458292,0.9,2018-11-08 14:03:20,bel_0013_peu
36,166.3,12.864,41.35253113,2.11458068,1.72,2018-11-08 14:03:21,bel_0013_peu
37,224.4,12.864,41.35252561,2.1145681,1.32,2018-11-08 14:03:22,bel_0013_peu
38,161.2,11.792,41.35251335,2.11456952,0.74,2018-11-08 14:03:23,bel_0013_peu
39,94.8,11.792,41.35250669,2.11459286,1.8,2018-11-08 14:03:24,bel_0013_peu
40,333.2,11.792,41.35251302,2.11460825,1.31,2018-11-08 14:03:25,bel_0013_peu
41,11.4,11.792,41.35252605,2.11462226,1.29,2018-11-08 14:03:26,bel_0013_peu
42,340.8,11.792,41.35254107,2.11462432,2.0,2018-11-08 14:03:27,bel_0013_peu
43,0.8,10.72,41.35255347,2.11462366,1.29,2018-11-08 14:03:28,bel_0013_peu
44,344.2,11.792,41.35255997,2.11462441,0.72,2018-11-08 14:03:29,bel_0013_peu
45,25.5,11.792,41.35255566,2.11463076,0.2,2018-11-08 14:03:30,bel_0013_peu
46,0.0,11.792,41.35255067,2.11463587,0.0,2018-11-08 14:03:31,bel_0013_peu
47,0.0,11.792,41.35254773,2.11463576,0.0,2018-11-08 14:03:32,bel_0013_peu
48,244.1,11.792,41.35254067,2.11462072,1.6,2018-11-08 14:03:33,bel_0013_peu
49,0.0,11.792,41.35253328,2.11460937,0.0,2018-11-08 14:03:34,bel_0013_peu
