,course,haccuracy,latitude,longitude,speed,time,nickname
0,20.5,17.152,41.35265372,2.11383826,1.35,2018-11-08 13:56:46,bell9283
1,20.5,20.368,41.35259791,2.11384599,0.59,2018-11-08 13:56:47,bell9283
2,20.5,18.224,41.35272709,2.11392628,0.51,2018-11-08 13:56:48,bell9283
3,337.1,25.728,41.35283795,2.11395222,1.57,2018-11-08 13:56:49,bell9283
4,337.1,24.656,41.35273084,2.11398419,0.47,2018-11-08 13:56:50,bell9283
5,169.0,27.872002,41.35263859,2.11399762,1.3,2018-11-08 13:56:51,bell9283
6,309.2,28.944,41.35271783,2.11396402,1.13,2018-11-08 13:56:52,bell9283
7,309.2,28.944,41.35274427,2.11410462,0.25,2018-11-08 13:56:53,bell9283
8,212.5,19.296001,41.35279388,2.11408848,1.09,2018-11-08 13:56:54,bell9283
9,0.0,26.800001,41.35257836,2.11411061,0.0,2018-11-08 13:56:55,bell9283
10,212.5,37.52,41.35251011,2.11423554,0.31,2018-11-08 13:56:56,bell9283
11,212.5,23.584,41.35264926,2.11413985,0.31,2018-11-08 13:56:57,bell9283
12,212.5,19.296001,41.35271262,2.11410378,0.68,2018-11-08 13:56:58,bell9283
13,212.5,21.44,41.35281405,2.1141991,0.59,2018-11-08 13:56:59,bell9283
14,212.5,21.44,41.3527867,2.11419408,0.67,2018-11-08 13:57:00,bell9283
15,212.5,12.864,41.35252994,2.11374487,0.28,2018-11-08 13:57:01,bell9283
16,212.5,15.008,41.35258827,2.11364839,0.41,2018-11-08 13:57:02,bell9283
17,0.0,11.792,41.35260087,2.11371267,0.0,2018-11-08 13:57:04,bell9283
18,0.0,10.72,41.35260832,2.11372214,0.0,2018-11-08 13:57:05,bell9283
19,0.0,9.648001,41.35260673,2.1137353,0.0,2018-11-08 13:57:06,bell9283
20,0.0,9.648001,41.35260853,2.11375239,0.0,2018-11-08 13:57:07,bell9283
21,0.0,9.648001,41.35262058,2.11372488,0.0,2018-11-08 13:57:08,bell9283
22,0.0,9.648001,41.35262067,2.11373476,0.0,2018-11-08 13:57:09,bell9283
23,0.0,9.648001,41.35262558,2.11372875,0.0,2018-11-08 13:57:10,bell9283
24,0.0,9.648001,41.35262893,2.11372873,0.0,2018-11-08 13:57:11,bell9283
25,0.0,9.648001,41.35263219,2.11372843,0.0,2018-11-08 13:57:12,bell9283
26,0.0,9.648001,41.35263479,2.11372656,0.0,2018-11-08 13:57:13,bell9283
27,0.0,9.648001,41.35263206,2.11372659,0.0,2018-11-08 13:57:14,bell9283
28,0.0,9.648001,41.35263106,2.11372381,0.0,2018-11-08 13:57:16,bell9283
29,0.0,9.648001,41.35263363,2.11372688,0.0,2018-11-08 13:57:17,bell9283
