,course,haccuracy,latitude,longitude,speed,time,nickname
0,0.0,50.384003,41.35263728,2.11372741,0.0,2018-11-08 13:58:02,bell_0130_bici
1,0.0,33.232002,41.35263577,2.11372434,0.0,2018-11-08 13:58:04,bell_0130_bici
2,0.0,21.44,41.35263274,2.11371882,0.0,2018-11-08 13:58:06,bell_0130_bici
3,0.0,19.296001,41.35263148,2.1137166,0.0,2018-11-08 13:58:09,bell_0130_bici
4,0.0,17.152,41.3526291,2.11371353,0.0,2018-11-08 13:58:10,bell_0130_bici
5,0.0,13.936001,41.35262752,2.11371236,0.0,2018-11-08 13:58:13,bell_0130_bici
6,0.0,15.008,41.35262933,2.11371272,0.0,2018-11-08 13:58:24,bell_0130_bici
7,0.0,30.016,41.35263124,2.11371295,0.0,2018-11-08 13:58:30,bell_0130_bici
8,0.0,10.72,41.35263349,2.11371542,0.0,2018-11-08 13:58:51,bell_0130_bici
9,100.1,13.936001,41.35262668,2.11372882,0.21,2018-11-08 13:59:46,bell_0130_bici
10,61.1,12.864,41.35260946,2.11375696,0.31,2018-11-08 13:59:47,bell_0130_bici
11,79.2,11.792,41.35251818,2.11392307,1.27,2018-11-08 13:59:48,bell_0130_bici
12,78.5,6.432,41.35247557,2.11401056,1.76,2018-11-08 13:59:49,bell_0130_bici
13,76.2,5.36,41.35245555,2.11404108,0.89,2018-11-08 13:59:50,bell_0130_bici
14,56.0,4.288,41.35243534,2.11407721,0.52,2018-11-08 13:59:51,bell_0130_bici
15,72.8,3.216,41.35241815,2.11410286,1.03,2018-11-08 13:59:52,bell_0130_bici
16,70.9,3.216,41.35241591,2.11409625,0.74,2018-11-08 13:59:53,bell_0130_bici
17,70.7,3.216,41.35242017,2.11410233,0.73,2018-11-08 13:59:55,bell_0130_bici
18,70.7,3.216,41.35242259,2.11410384,0.38,2018-11-08 13:59:56,bell_0130_bici
19,70.7,3.216,41.35242163,2.11411422,1.25,2018-11-08 13:59:57,bell_0130_bici
20,70.7,3.216,41.35242169,2.11412894,1.08,2018-11-08 13:59:58,bell_0130_bici
21,70.7,3.216,41.35242158,2.11414281,1.44,2018-11-08 13:59:59,bell_0130_bici
22,70.7,3.216,41.35242111,2.11415554,1.01,2018-11-08 14:00:00,bell_0130_bici
23,70.8,3.216,41.35242191,2.11416519,0.92,2018-11-08 14:00:01,bell_0130_bici
24,70.7,3.216,41.35242366,2.11417601,1.08,2018-11-08 14:00:02,bell_0130_bici
25,67.9,3.216,41.35242747,2.11418863,1.25,2018-11-08 14:00:03,bell_0130_bici
26,78.8,3.216,41.35243096,2.11420441,1.48,2018-11-08 14:00:04,bell_0130_bici
