course,haccuracy,latitude,longitude,speed,time,nickname
48.2,52.0,41.3821314,2.18387865,1.52,2018-11-08 06:51:15,ipc_ovmallb_03
347.8,78.0,41.38209259,2.18363938,1.7,2018-11-08 06:51:16,ipc_ovmallb_03
11.5,37.0,41.38234573,2.1840789,2.72,2018-11-08 06:51:17,ipc_ovmallb_03
5.5,33.0,41.38207216,2.18359354,3.64,2018-11-08 06:51:18,ipc_ovmallb_03
5.1,30.0,41.3820668,2.18345401,1.83,2018-11-08 06:51:19,ipc_ovmallb_03
27.9,24.0,41.38209612,2.18365356,2.17,2018-11-08 06:51:20,ipc_ovmallb_03
38.2,21.0,41.38218535,2.18377011,2.04,2018-11-08 06:51:21,ipc_ovmallb_03
47.8,17.0,41.38212876,2.18387868,1.69,2018-11-08 06:51:22,ipc_ovmallb_03
76.1,15.0,41.38234048,2.18411769,1.32,2018-11-08 06:51:23,ipc_ovmallb_03
324.4,18.0,41.38242996,2.18405722,1.17,2018-11-08 06:51:24,ipc_ovmallb_03
324.4,8.0,41.38248403,2.18400861,0.24,2018-11-08 06:51:25,ipc_ovmallb_03
324.4,8.0,41.38250441,2.18401876,0.36,2018-11-08 06:51:26,ipc_ovmallb_03
324.4,11.0,41.38242325,2.1840612,0.64,2018-11-08 06:51:27,ipc_ovmallb_03
324.4,10.0,41.3823761,2.18407061,0.66,2018-11-08 06:51:28,ipc_ovmallb_03
321.7,11.0,41.38232296,2.18412348,0.86,2018-11-08 06:51:29,ipc_ovmallb_03
32.2,20.0,41.3823113,2.18401483,1.54,2018-11-08 06:51:30,ipc_ovmallb_03
32.2,8.0,41.38234726,2.18395253,0.15,2018-11-08 06:51:31,ipc_ovmallb_03
0.0,10.0,41.38232006,2.18382471,0.0,2018-11-08 06:51:32,ipc_ovmallb_03
32.2,8.0,41.3823618,2.18380466,0.31,2018-11-08 06:51:33,ipc_ovmallb_03
0.0,10.0,41.38233635,2.18382622,0.0,2018-11-08 06:51:35,ipc_ovmallb_03
0.0,10.0,41.38235591,2.18382818,0.0,2018-11-08 06:51:36,ipc_ovmallb_03
47.8,10.0,41.38235181,2.18382791,0.66,2018-11-08 06:51:37,ipc_ovmallb_03
0.0,10.0,41.38234632,2.18382721,0.0,2018-11-08 06:51:38,ipc_ovmallb_03
0.0,10.0,41.3823482,2.18383559,0.0,2018-11-08 06:51:39,ipc_ovmallb_03
0.0,10.0,41.38234194,2.18382707,0.0,2018-11-08 06:51:40,ipc_ovmallb_03
0.0,10.0,41.3823447,2.18382312,0.0,2018-11-08 06:51:41,ipc_ovmallb_03
0.0,10.0,41.38235772,2.18382409,0.0,2018-11-08 06:51:42,ipc_ovmallb_03
16.8,9.0,41.38236737,2.18384573,1.12,2018-11-08 06:51:43,ipc_ovmallb_03
33.5,9.0,41.38236129,2.18384833,1.22,2018-11-08 06:51:44,ipc_ovmallb_03
34.7,9.0,41.38235056,2.18385351,0.94,2018-11-08 06:51:45,ipc_ovmallb_03
34.8,9.0,41.3823543,2.18388706,1.23,2018-11-08 06:51:46,ipc_ovmallb_03
34.8,9.0,41.38237341,2.18391448,1.32,2018-11-08 06:51:47,ipc_ovmallb_03
29.1,9.0,41.38238042,2.18393157,0.98,2018-11-08 06:51:48,ipc_ovmallb_03
29.0,9.0,41.38238158,2.18394726,0.37,2018-11-08 06:51:49,ipc_ovmallb_03
29.1,9.0,41.38237658,2.18395968,0.55,2018-11-08 06:51:50,ipc_ovmallb_03
29.1,9.0,41.3823756,2.18396872,0.68,2018-11-08 06:51:51,ipc_ovmallb_03
29.3,9.0,41.38237955,2.18399043,0.95,2018-11-08 06:51:52,ipc_ovmallb_03
29.4,9.0,41.38238837,2.18401815,1.37,2018-11-08 06:51:53,ipc_ovmallb_03
49.9,10.0,41.38240253,2.18403319,1.85,2018-11-08 06:51:54,ipc_ovmallb_03
49.7,10.0,41.38241558,2.18405537,1.62,2018-11-08 06:51:55,ipc_ovmallb_03
19.2,10.0,41.38242152,2.18404569,0.78,2018-11-08 06:51:56,ipc_ovmallb_03
82.6,10.0,41.38242121,2.18407517,0.8,2018-11-08 06:51:57,ipc_ovmallb_03
70.8,10.0,41.38243403,2.1840989,0.82,2018-11-08 06:51:58,ipc_ovmallb_03
33.2,10.0,41.38245737,2.18411672,1.83,2018-11-08 06:51:59,ipc_ovmallb_03
44.5,10.0,41.38245904,2.18414798,1.81,2018-11-08 06:52:00,ipc_ovmallb_03
45.1,10.0,41.3824661,2.18419227,1.88,2018-11-08 06:52:01,ipc_ovmallb_03
54.7,10.0,41.38246385,2.18425585,2.62,2018-11-08 06:52:02,ipc_ovmallb_03
64.2,10.0,41.38246594,2.18429698,2.04,2018-11-08 06:52:03,ipc_ovmallb_03
80.7,11.0,41.38246592,2.18434058,2.05,2018-11-08 06:52:04,ipc_ovmallb_03
108.4,11.0,41.38244682,2.18438083,2.27,2018-11-08 06:52:05,ipc_ovmallb_03
105.0,10.0,41.38243796,2.18440197,1.43,2018-11-08 06:52:06,ipc_ovmallb_03
104.5,10.0,41.38245058,2.18442357,1.59,2018-11-08 06:52:07,ipc_ovmallb_03
44.0,10.0,41.38247243,2.18444468,2.64,2018-11-08 06:52:08,ipc_ovmallb_03
44.2,11.0,41.38248997,2.18445945,2.26,2018-11-08 06:52:09,ipc_ovmallb_03
104.4,12.0,41.38248075,2.18446113,0.48,2018-11-08 06:52:10,ipc_ovmallb_03
104.4,14.0,41.38249754,2.18443411,0.59,2018-11-08 06:52:11,ipc_ovmallb_03
42.9,12.0,41.38250177,2.18446135,0.98,2018-11-08 06:52:12,ipc_ovmallb_03
56.7,12.0,41.38251098,2.18447995,1.48,2018-11-08 06:52:13,ipc_ovmallb_03
53.3,12.0,41.38253415,2.1844756,1.02,2018-11-08 06:52:14,ipc_ovmallb_03
109.1,12.0,41.38251674,2.18450448,1.69,2018-11-08 06:52:15,ipc_ovmallb_03
38.6,12.0,41.38254308,2.18449313,1.1,2018-11-08 06:52:16,ipc_ovmallb_03
62.0,12.0,41.38255519,2.18450496,0.65,2018-11-08 06:52:17,ipc_ovmallb_03
50.9,11.0,41.38257081,2.18451587,0.3,2018-11-08 06:52:18,ipc_ovmallb_03
53.1,11.0,41.38258967,2.18451803,0.52,2018-11-08 06:52:19,ipc_ovmallb_03
70.5,11.0,41.3825984,2.18452438,0.76,2018-11-08 06:52:20,ipc_ovmallb_03
96.6,11.0,41.38261865,2.18452863,0.26,2018-11-08 06:52:21,ipc_ovmallb_03
0.0,7.0,41.38263341,2.18453743,0.0,2018-11-08 06:52:22,ipc_ovmallb_03
0.0,6.0,41.38264725,2.18453842,0.0,2018-11-08 06:52:23,ipc_ovmallb_03
0.0,6.0,41.38265083,2.18454953,0.0,2018-11-08 06:52:24,ipc_ovmallb_03
294.1,7.0,41.38265177,2.18455482,0.44,2018-11-08 06:52:25,ipc_ovmallb_03
221.5,6.0,41.3826414,2.1845707,0.26,2018-11-08 06:52:26,ipc_ovmallb_03
0.0,6.0,41.38263301,2.18457939,0.0,2018-11-08 06:52:27,ipc_ovmallb_03
0.0,6.0,41.38263204,2.18458421,0.0,2018-11-08 06:52:28,ipc_ovmallb_03
0.0,6.0,41.38263774,2.18458687,0.0,2018-11-08 06:52:29,ipc_ovmallb_03
0.0,5.0,41.38264114,2.18459982,0.0,2018-11-08 06:52:30,ipc_ovmallb_03
0.0,5.0,41.38264347,2.18460764,0.0,2018-11-08 06:52:31,ipc_ovmallb_03
0.0,5.0,41.3826465,2.18461435,0.0,2018-11-08 06:52:32,ipc_ovmallb_03
82.8,4.0,41.38265837,2.18464498,1.25,2018-11-08 06:52:33,ipc_ovmallb_03
82.9,5.0,41.382659,2.18466284,1.28,2018-11-08 06:52:34,ipc_ovmallb_03
83.1,5.0,41.38265657,2.1846906,1.67,2018-11-08 06:52:35,ipc_ovmallb_03
83.2,5.0,41.38265278,2.18470694,1.11,2018-11-08 06:52:36,ipc_ovmallb_03
83.5,6.0,41.38263902,2.18472879,1.18,2018-11-08 06:52:37,ipc_ovmallb_03
126.3,5.0,41.38263003,2.18475199,1.0,2018-11-08 06:52:38,ipc_ovmallb_03
