,course,haccuracy,latitude,longitude,speed,time,nickname
0,0.0,23.0,41.38933954,2.17895902,0.0,2018-11-08 06:47:51,ipc_ropered_peu_01
1,0.0,13.0,41.38930098,2.17892525,0.0,2018-11-08 06:47:52,ipc_ropered_peu_01
2,12.1,12.0,41.38939073,2.17897876,3.29,2018-11-08 06:47:53,ipc_ropered_peu_01
3,7.8,11.0,41.38939028,2.17896763,1.33,2018-11-08 06:47:54,ipc_ropered_peu_01
4,41.3,11.0,41.38940463,2.17898717,1.86,2018-11-08 06:47:55,ipc_ropered_peu_01
5,21.0,11.0,41.38941948,2.17899489,2.61,2018-11-08 06:47:56,ipc_ropered_peu_01
6,276.6,11.0,41.38941531,2.17898619,1.42,2018-11-08 06:47:57,ipc_ropered_peu_01
7,4.8,10.0,41.38943955,2.17899102,1.75,2018-11-08 06:47:58,ipc_ropered_peu_01
8,347.6,10.0,41.3894375,2.17897408,1.61,2018-11-08 06:47:59,ipc_ropered_peu_01
9,356.7,10.0,41.38945773,2.17897213,1.09,2018-11-08 06:48:00,ipc_ropered_peu_01
10,10.8,9.0,41.38946632,2.17897247,1.97,2018-11-08 06:48:01,ipc_ropered_peu_01
11,31.9,10.0,41.38948303,2.1789895,1.88,2018-11-08 06:48:02,ipc_ropered_peu_01
12,5.8,10.0,41.38949218,2.17899326,1.28,2018-11-08 06:48:03,ipc_ropered_peu_01
13,28.4,10.0,41.38950115,2.17899868,1.5,2018-11-08 06:48:04,ipc_ropered_peu_01
14,16.8,10.0,41.38950482,2.17900051,0.48,2018-11-08 06:48:05,ipc_ropered_peu_01
15,17.4,11.0,41.38950337,2.17899795,0.43,2018-11-08 06:48:06,ipc_ropered_peu_01
16,316.2,11.0,41.38950676,2.17898406,2.06,2018-11-08 06:48:07,ipc_ropered_peu_01
17,314.6,10.0,41.38951179,2.1789736,0.8,2018-11-08 06:48:08,ipc_ropered_peu_01
18,0.0,11.0,41.38950317,2.17897591,0.0,2018-11-08 06:48:09,ipc_ropered_peu_01
19,0.0,11.0,41.3894947,2.17897803,0.0,2018-11-08 06:48:10,ipc_ropered_peu_01
20,0.0,11.0,41.38949203,2.17898033,0.0,2018-11-08 06:48:11,ipc_ropered_peu_01
21,0.0,11.0,41.38949797,2.17898154,0.0,2018-11-08 06:48:12,ipc_ropered_peu_01
22,0.0,11.0,41.38949772,2.17898468,0.0,2018-11-08 06:48:13,ipc_ropered_peu_01
23,0.0,11.0,41.38950474,2.17898819,0.0,2018-11-08 06:48:14,ipc_ropered_peu_01
24,320.5,10.0,41.38952003,2.1789868,0.88,2018-11-08 06:48:15,ipc_ropered_peu_01
25,343.2,10.0,41.38953236,2.17898408,0.66,2018-11-08 06:48:16,ipc_ropered_peu_01
26,345.7,10.0,41.38954252,2.17898272,0.6,2018-11-08 06:48:17,ipc_ropered_peu_01
27,339.6,11.0,41.38955322,2.17897881,0.75,2018-11-08 06:48:18,ipc_ropered_peu_01
28,347.6,11.0,41.3895656,2.17897468,0.86,2018-11-08 06:48:19,ipc_ropered_peu_01
29,53.4,10.0,41.38957964,2.17898875,2.42,2018-11-08 06:48:20,ipc_ropered_peu_01
30,70.1,10.0,41.38959037,2.17900313,0.51,2018-11-08 06:48:21,ipc_ropered_peu_01
31,78.6,10.0,41.3895985,2.17900781,0.7,2018-11-08 06:48:22,ipc_ropered_peu_01
32,36.5,10.0,41.3896104,2.17900884,0.92,2018-11-08 06:48:23,ipc_ropered_peu_01
33,21.3,10.0,41.38963313,2.17901356,2.61,2018-11-08 06:48:24,ipc_ropered_peu_01
34,356.5,10.0,41.38965885,2.17900603,1.97,2018-11-08 06:48:25,ipc_ropered_peu_01
35,1.5,10.0,41.38967798,2.17899578,1.35,2018-11-08 06:48:26,ipc_ropered_peu_01
36,351.6,10.0,41.38969532,2.17898711,1.56,2018-11-08 06:48:27,ipc_ropered_peu_01
37,9.0,10.0,41.38971611,2.17898107,1.89,2018-11-08 06:48:28,ipc_ropered_peu_01
38,0.8,10.0,41.38973237,2.17897581,0.94,2018-11-08 06:48:29,ipc_ropered_peu_01
39,345.3,9.0,41.38974609,2.17896593,1.22,2018-11-08 06:48:30,ipc_ropered_peu_01
40,330.8,9.0,41.38975787,2.17895643,0.66,2018-11-08 06:48:31,ipc_ropered_peu_01
41,331.9,9.0,41.3897699,2.17894884,0.91,2018-11-08 06:48:32,ipc_ropered_peu_01
42,336.6,9.0,41.38978457,2.17893586,1.53,2018-11-08 06:48:33,ipc_ropered_peu_01
43,344.9,9.0,41.38980142,2.1789261,1.47,2018-11-08 06:48:34,ipc_ropered_peu_01
44,341.7,9.0,41.38981486,2.17891537,1.3,2018-11-08 06:48:35,ipc_ropered_peu_01
45,336.6,10.0,41.38982352,2.17890166,1.29,2018-11-08 06:48:36,ipc_ropered_peu_01
46,349.3,10.0,41.3898437,2.17889469,2.23,2018-11-08 06:48:37,ipc_ropered_peu_01
47,359.1,11.0,41.38988244,2.17889415,4.18,2018-11-08 06:48:38,ipc_ropered_peu_01
