,course,haccuracy,latitude,longitude,speed,time,nickname
0,0.0,30.34,41.39550415,2.18299778,0.0,2018-11-08 06:45:30,ipc_teblann_patinet_02
1,0.0,33.374,41.39550101,2.18301723,0.0,2018-11-08 06:45:31,ipc_teblann_patinet_02
2,0.0,31.856998,41.39545608,2.18300438,0.0,2018-11-08 06:45:32,ipc_teblann_patinet_02
3,0.0,42.475998,41.39543159,2.18297945,0.0,2018-11-08 06:45:33,ipc_teblann_patinet_02
4,0.0,53.094997,41.39558726,2.1829368,0.0,2018-11-08 06:45:34,ipc_teblann_patinet_02
5,0.0,56.128998,41.39573487,2.18291701,0.0,2018-11-08 06:45:35,ipc_teblann_patinet_02
6,0.0,54.612,41.39581215,2.18289674,0.0,2018-11-08 06:45:36,ipc_teblann_patinet_02
7,173.2,21.237999,41.3962294,2.18263809,2.26,2018-11-08 06:45:37,ipc_teblann_patinet_02
8,170.4,19.720999,41.39626068,2.18260376,1.92,2018-11-08 06:45:38,ipc_teblann_patinet_02
9,204.9,19.720999,41.39635763,2.18251411,1.96,2018-11-08 06:45:39,ipc_teblann_patinet_02
10,201.5,18.203999,41.39638409,2.18250439,2.37,2018-11-08 06:45:40,ipc_teblann_patinet_02
11,226.1,21.237999,41.39634001,2.18245425,1.4,2018-11-08 06:45:41,ipc_teblann_patinet_02
12,265.2,21.237999,41.39630964,2.18236865,1.41,2018-11-08 06:45:42,ipc_teblann_patinet_02
13,253.6,24.272,41.39628618,2.18230124,2.27,2018-11-08 06:45:43,ipc_teblann_patinet_02
14,264.2,28.823,41.39629101,2.18223582,2.38,2018-11-08 06:45:44,ipc_teblann_patinet_02
15,274.4,33.374,41.39627704,2.1822039,2.23,2018-11-08 06:45:45,ipc_teblann_patinet_02
16,132.4,24.272,41.39628349,2.18228865,0.47,2018-11-08 06:45:46,ipc_teblann_patinet_02
17,131.9,22.755,41.39627069,2.18229127,0.32,2018-11-08 06:45:47,ipc_teblann_patinet_02
18,257.6,22.755,41.39626019,2.18228018,1.71,2018-11-08 06:45:48,ipc_teblann_patinet_02
19,240.0,24.272,41.39624846,2.18226933,0.91,2018-11-08 06:45:49,ipc_teblann_patinet_02
20,233.4,24.272,41.39623711,2.1822616,1.23,2018-11-08 06:45:50,ipc_teblann_patinet_02
21,197.3,22.755,41.39621542,2.1822582,1.96,2018-11-08 06:45:51,ipc_teblann_patinet_02
22,156.0,21.237999,41.39618669,2.18227672,2.81,2018-11-08 06:45:52,ipc_teblann_patinet_02
23,146.4,21.237999,41.3961554,2.18229967,2.55,2018-11-08 06:45:53,ipc_teblann_patinet_02
24,143.4,24.272,41.39612438,2.18232126,2.97,2018-11-08 06:45:54,ipc_teblann_patinet_02
25,169.8,24.272,41.39609281,2.18231732,2.57,2018-11-08 06:45:55,ipc_teblann_patinet_02
26,179.7,25.789,41.39604577,2.18230426,4.0,2018-11-08 06:45:56,ipc_teblann_patinet_02
27,192.0,30.34,41.39600039,2.18227954,3.01,2018-11-08 06:45:57,ipc_teblann_patinet_02
28,189.3,27.306,41.39596809,2.18225705,2.03,2018-11-08 06:45:58,ipc_teblann_patinet_02
29,192.1,28.823,41.39593392,2.18223596,2.99,2018-11-08 06:45:59,ipc_teblann_patinet_02
30,192.6,27.306,41.39589963,2.18221311,2.82,2018-11-08 06:46:00,ipc_teblann_patinet_02
31,189.2,28.823,41.3958693,2.1821968,2.14,2018-11-08 06:46:01,ipc_teblann_patinet_02
32,195.6,27.306,41.39584743,2.18217742,1.59,2018-11-08 06:46:02,ipc_teblann_patinet_02
