course,haccuracy,latitude,longitude,speed,time,nickname
0.0,18.077,41.3653211,2.1412941,0.0,2018-11-08 06:44:39,mon_0002_peu_2
0.0,128.0,41.36522024519336,2.1410935412055743,1.2384437,2018-11-08 06:44:42,mon_0002_peu_2
0.0,48.0,41.365474172,2.141253727,1.680384,2018-11-08 06:44:43,mon_0002_peu_2
0.0,32.0,41.365589357,2.141237317,0.942486,2018-11-08 06:44:44,mon_0002_peu_2
0.0,24.0,41.365559141,2.141232164,1.098724,2018-11-08 06:44:45,mon_0002_peu_2
187.39067,24.0,41.365337497,2.141140755,1.417066,2018-11-08 06:44:46,mon_0002_peu_2
188.21994,12.0,41.365476162,2.141162812,1.483836,2018-11-08 06:44:47,mon_0002_peu_2
189.34296,12.0,41.365493525,2.1411508,1.308767,2018-11-08 06:44:48,mon_0002_peu_2
185.0656,8.0,41.365500465,2.14113776,1.09866,2018-11-08 06:44:49,mon_0002_peu_2
190.13922,8.0,41.365500576,2.141124308,1.167668,2018-11-08 06:44:50,mon_0002_peu_2
208.57666,8.0,41.365498982,2.141110956,1.214294,2018-11-08 06:44:51,mon_0002_peu_2
180.14954,8.0,41.365497106,2.141097614,1.23435,2018-11-08 06:44:52,mon_0002_peu_2
180.35892,6.0,41.365493139,2.14108368,1.275214,2018-11-08 06:44:53,mon_0002_peu_2
197.23578,6.0,41.365486704,2.141066502,1.342097,2018-11-08 06:44:54,mon_0002_peu_2
201.19855,6.0,41.365477584,2.141047522,1.408255,2018-11-08 06:44:55,mon_0002_peu_2
177.49254,6.0,41.365467283,2.141032784,1.52312,2018-11-08 06:44:56,mon_0002_peu_2
179.01047,6.0,41.365456477,2.141021553,2.015781,2018-11-08 06:44:57,mon_0002_peu_2
173.77975,6.0,41.365444765,2.141013181,2.317447,2018-11-08 06:44:58,mon_0002_peu_2
168.54417,6.0,41.365432753,2.141005586,2.248998,2018-11-08 06:44:59,mon_0002_peu_2
168.64853,6.0,41.36541741,2.141000155,2.313474,2018-11-08 06:45:00,mon_0002_peu_2
