course,haccuracy,latitude,longitude,speed,time,nickname
0.0,55.0,41.39253964181989,2.13084876537323,0.0,2018-11-09 06:42:11,oak_2001_car
0.0,58.0,41.39255560934544,2.130716582760215,0.21,2018-11-09 06:42:13,oak_2001_car
0.0,34.0,41.39261432457715,2.130746087059378,0.0,2018-11-09 06:42:15,oak_2001_car
0.0,23.0,41.39261059463024,2.130769891664386,0.06,2018-11-09 06:42:19,oak_2001_car
0.0,19.0,41.392601961269975,2.130779949948192,0.089999996,2018-11-09 06:42:20,oak_2001_car
0.0,20.0,41.39261344447732,2.130792438983917,0.14999999,2018-11-09 06:42:21,oak_2001_car
242.7,15.0,41.392601542174816,2.130772490054369,0.59,2018-11-09 06:42:27,oak_2001_car
231.6,14.0,41.3925824733451,2.130745751783252,0.66999996,2018-11-09 06:42:28,oak_2001_car
0.0,13.0,41.39258817303926,2.1307541336864237,0.0,2018-11-09 06:42:29,oak_2001_car
0.0,13.0,41.392577779479325,2.130737705156207,0.0,2018-11-09 06:42:31,oak_2001_car
231.4,11.0,41.39257023576647,2.13072806596756,0.089999996,2018-11-09 06:42:40,oak_2001_car
0.0,11.0,41.39256839174777,2.130726473405957,0.0,2018-11-09 06:42:43,oak_2001_car
239.1,11.0,41.39256093185395,2.1307125594466925,0.71,2018-11-09 06:43:00,oak_2001_car
243.1,12.0,41.39255414251238,2.1306914370507,1.28,2018-11-09 06:43:01,oak_2001_car
250.2,11.0,41.39254446141422,2.1306560654193163,2.77,2018-11-09 06:43:02,oak_2001_car
259.9,12.0,41.39254412613809,2.1306150779128075,2.95,2018-11-09 06:43:03,oak_2001_car
266.5,12.0,41.39254320412874,2.1305747609585524,2.96,2018-11-09 06:43:04,oak_2001_car
274.8,11.0,41.39255192130804,2.1305362042039637,2.83,2018-11-09 06:43:05,oak_2001_car
285.9,11.0,41.39255950693041,2.130493624135852,2.81,2018-11-09 06:43:06,oak_2001_car
321.9,10.0,41.39258109033108,2.1304686460644007,3.1299999,2018-11-09 06:43:07,oak_2001_car
335.6,11.0,41.39260430820286,2.1304409857839346,3.49,2018-11-09 06:43:08,oak_2001_car
359.2,10.0,41.39262681361288,2.1304272394627333,2.8899999,2018-11-09 06:43:09,oak_2001_car
30.9,11.0,41.39264810364693,2.130445931106806,2.9299998,2018-11-09 06:43:10,oak_2001_car
50.7,11.0,41.392680164426565,2.1304898522794247,2.7,2018-11-09 06:43:11,oak_2001_car
71.9,9.0,41.39269349165261,2.1305158361792564,1.35,2018-11-09 06:43:12,oak_2001_car
81.0,8.0,41.392700197175145,2.1305322647094727,0.14,2018-11-09 06:43:13,oak_2001_car
86.4,7.0,41.39270023908466,2.130554476752877,0.11,2018-11-09 06:43:14,oak_2001_car
79.3,7.0,41.39269889798016,2.130567217245698,0.69,2018-11-09 06:43:24,oak_2001_car
73.6,8.0,41.39271033927798,2.1305888425558805,1.48,2018-11-09 06:43:25,oak_2001_car
56.0,6.0,41.392727019265294,2.130623795092106,3.3799999,2018-11-09 06:43:26,oak_2001_car
54.1,6.0,41.39275036286563,2.130672074854374,5.15,2018-11-09 06:43:27,oak_2001_car
48.9,5.0,41.39278803952038,2.1307307481765747,6.29,2018-11-09 06:43:28,oak_2001_car
51.2,5.0,41.39283321797848,2.130784811452031,7.54,2018-11-09 06:43:29,oak_2001_car
51.8,5.0,41.39287127181888,2.130853123962879,7.95,2018-11-09 06:43:30,oak_2001_car
52.3,5.0,41.39291770756245,2.130920849740505,7.43,2018-11-09 06:43:31,oak_2001_car
48.7,5.0,41.39295823406428,2.1309869829565287,6.7,2018-11-09 06:43:32,oak_2001_car
52.6,6.0,41.39303999952972,2.1311218477785587,8.29,2018-11-09 06:43:34,oak_2001_car
54.3,6.0,41.39308530371636,2.1312090195715427,9.349999,2018-11-09 06:43:35,oak_2001_car
56.5,6.0,41.3931334996596,2.131302561610937,9.65,2018-11-09 06:43:36,oak_2001_car
56.9,5.0,41.39323902782053,2.131494674831629,9.469999,2018-11-09 06:43:38,oak_2001_car
