,course,haccuracy,latitude,longitude,speed,time,nickname
0,205.4,14.0,41.41155737,2.18127548,0.4,2018-11-09 07:00:39,zaf_0032_peu
1,151.9,18.0,41.4115629,2.18130944,1.84,2018-11-09 07:00:40,zaf_0032_peu
2,131.3,20.0,41.41148593,2.18136223,1.09,2018-11-09 07:00:41,zaf_0032_peu
3,111.7,18.0,41.41156907,2.18170978,0.87,2018-11-09 07:00:42,zaf_0032_peu
4,111.7,22.0,41.41157671,2.18137869,0.33,2018-11-09 07:00:43,zaf_0032_peu
5,25.4,28.0,41.41165058,2.18137617,1.01,2018-11-09 07:00:44,zaf_0032_peu
6,25.4,26.0,41.41152557,2.18142225,0.54,2018-11-09 07:00:45,zaf_0032_peu
7,81.4,19.0,41.41151779,2.18149574,0.75,2018-11-09 07:00:46,zaf_0032_peu
8,354.0,16.0,41.4116909,2.18159848,1.0,2018-11-09 07:00:47,zaf_0032_peu
9,171.2,19.0,41.41148184,2.18153502,1.86,2018-11-09 07:00:48,zaf_0032_peu
10,92.0,19.0,41.41151395,2.18177681,1.48,2018-11-09 07:00:49,zaf_0032_peu
11,92.0,23.0,41.41145992,2.18165627,0.57,2018-11-09 07:00:50,zaf_0032_peu
12,92.0,20.0,41.41128649,2.18165786,0.68,2018-11-09 07:00:51,zaf_0032_peu
13,133.6,19.0,41.4113097,2.1817924,1.47,2018-11-09 07:00:52,zaf_0032_peu
14,133.6,9.0,41.41121909,2.18172935,0.64,2018-11-09 07:00:53,zaf_0032_peu
15,133.6,10.0,41.41120257,2.18158828,0.45,2018-11-09 07:00:54,zaf_0032_peu
16,133.6,13.0,41.4111221,2.18156353,0.73,2018-11-09 07:00:55,zaf_0032_peu
17,133.6,18.0,41.41119604,2.18145655,0.67,2018-11-09 07:00:56,zaf_0032_peu
18,133.6,19.0,41.4112702,2.18138109,0.28,2018-11-09 07:00:57,zaf_0032_peu
19,49.6,19.0,41.41120072,2.18140467,1.66,2018-11-09 07:00:58,zaf_0032_peu
20,94.6,12.0,41.41111639,2.18134032,0.94,2018-11-09 07:00:59,zaf_0032_peu
21,28.8,14.0,41.41111154,2.18144912,1.81,2018-11-09 07:01:00,zaf_0032_peu
22,196.4,14.0,41.41122857,2.18167583,1.28,2018-11-09 07:01:01,zaf_0032_peu
23,44.8,14.0,41.41134385,2.18163239,3.02,2018-11-09 07:01:02,zaf_0032_peu
24,98.4,15.0,41.41119409,2.18164691,1.3,2018-11-09 07:01:04,zaf_0032_peu
25,98.4,13.0,41.4112034,2.18171945,2.11,2018-11-09 07:01:05,zaf_0032_peu
26,98.4,15.0,41.4111336,2.18172184,2.51,2018-11-09 07:01:06,zaf_0032_peu
27,98.4,16.0,41.41119679,2.1817417,1.55,2018-11-09 07:01:07,zaf_0032_peu
28,98.4,15.0,41.41117295,2.1817797,2.03,2018-11-09 07:01:08,zaf_0032_peu
