course,haccuracy,latitude,longitude,speed,time,nickname
212.1,32.0,41.41451447,2.20083366,0.89,2018-11-09 06:40:03,zaf_0049_met
205.7,34.0,41.41447447,2.20074912,1.91,2018-11-09 06:40:04,zaf_0049_met
216.9,33.0,41.41447049,2.20061186,0.96,2018-11-09 06:40:05,zaf_0049_met
203.6,32.0,41.41440362,2.20065479,0.86,2018-11-09 06:40:06,zaf_0049_met
193.2,33.0,41.41429356,2.20080146,1.16,2018-11-09 06:40:07,zaf_0049_met
189.6,31.0,41.41431038,2.20074739,1.37,2018-11-09 06:40:08,zaf_0049_met
215.6,36.0,41.41424477,2.2007344,1.16,2018-11-09 06:40:09,zaf_0049_met
226.1,32.0,41.41436373,2.20072209,1.09,2018-11-09 06:40:10,zaf_0049_met
213.0,33.0,41.41426297,2.20068611,1.37,2018-11-09 06:40:11,zaf_0049_met
203.1,31.0,41.41447445,2.2008225,0.93,2018-11-09 06:40:12,zaf_0049_met
276.1,31.0,41.41416141,2.20097291,0.91,2018-11-09 06:40:13,zaf_0049_met
0.0,18.0,41.41377185,2.2012073,0.0,2018-11-09 06:40:15,zaf_0049_met
0.0,15.0,41.41376498,2.20116982,0.0,2018-11-09 06:40:16,zaf_0049_met
0.0,17.0,41.41371058,2.20116136,0.0,2018-11-09 06:40:17,zaf_0049_met
267.2,14.0,41.41364675,2.20115589,1.09,2018-11-09 06:40:18,zaf_0049_met
283.6,12.0,41.41366911,2.20115801,0.51,2018-11-09 06:40:19,zaf_0049_met
280.9,10.0,41.41366935,2.20112802,0.86,2018-11-09 06:40:20,zaf_0049_met
291.7,9.0,41.41366459,2.20111951,0.88,2018-11-09 06:40:21,zaf_0049_met
321.4,9.0,41.41365862,2.20112415,0.81,2018-11-09 06:40:22,zaf_0049_met
268.0,9.0,41.41363764,2.2011177,0.6,2018-11-09 06:40:23,zaf_0049_met
242.9,9.0,41.41362804,2.20110573,1.36,2018-11-09 06:40:24,zaf_0049_met
209.7,8.0,41.41360489,2.20110231,1.38,2018-11-09 06:40:25,zaf_0049_met
223.4,8.0,41.41358435,2.20111011,0.89,2018-11-09 06:40:26,zaf_0049_met
252.7,7.0,41.41357802,2.20109366,1.45,2018-11-09 06:40:27,zaf_0049_met
261.7,7.0,41.41357856,2.20110006,0.33,2018-11-09 06:40:28,zaf_0049_met
273.8,8.0,41.41357884,2.20108909,0.69,2018-11-09 06:40:29,zaf_0049_met
276.9,8.0,41.41358814,2.20107924,0.19,2018-11-09 06:40:30,zaf_0049_met
241.4,9.0,41.41358035,2.20107104,0.68,2018-11-09 06:40:31,zaf_0049_met
254.4,9.0,41.41358214,2.20105676,0.97,2018-11-09 06:40:32,zaf_0049_met
255.6,10.0,41.41358224,2.20104101,1.36,2018-11-09 06:40:33,zaf_0049_met
237.9,11.0,41.41356596,2.20102773,1.44,2018-11-09 06:40:34,zaf_0049_met
251.2,10.0,41.4135567,2.20101758,1.09,2018-11-09 06:40:36,zaf_0049_met
245.3,9.0,41.41355045,2.20098545,1.08,2018-11-09 06:40:37,zaf_0049_met
258.9,9.0,41.41354101,2.20096538,1.36,2018-11-09 06:40:38,zaf_0049_met
245.7,10.0,41.4135324,2.20095233,1.21,2018-11-09 06:40:39,zaf_0049_met
228.9,9.0,41.41351828,2.20093621,1.38,2018-11-09 06:40:40,zaf_0049_met
242.3,10.0,41.41351005,2.20090598,2.02,2018-11-09 06:40:41,zaf_0049_met
231.1,10.0,41.41351183,2.2008862,1.38,2018-11-09 06:40:42,zaf_0049_met
244.1,9.0,41.41351119,2.2008548,1.54,2018-11-09 06:40:43,zaf_0049_met
260.1,9.0,41.41350859,2.20083526,1.23,2018-11-09 06:40:44,zaf_0049_met
253.6,11.0,41.41351037,2.20082775,0.71,2018-11-09 06:40:45,zaf_0049_met
267.5,11.0,41.41350938,2.20081747,0.71,2018-11-09 06:40:46,zaf_0049_met
273.2,11.0,41.41351454,2.20079999,1.15,2018-11-09 06:40:47,zaf_0049_met
261.6,11.0,41.41350473,2.20079513,0.98,2018-11-09 06:40:48,zaf_0049_met
0.0,10.0,41.41350326,2.20080201,0.0,2018-11-09 06:40:49,zaf_0049_met
268.5,10.0,41.41349141,2.20079443,0.63,2018-11-09 06:40:50,zaf_0049_met
0.0,8.0,41.41348784,2.20079886,0.0,2018-11-09 06:40:51,zaf_0049_met
0.0,8.0,41.41349004,2.20079914,0.0,2018-11-09 06:40:52,zaf_0049_met
0.0,7.0,41.41349117,2.20079558,0.0,2018-11-09 06:40:53,zaf_0049_met
0.0,7.0,41.4134942,2.20079336,0.0,2018-11-09 06:40:54,zaf_0049_met
0.0,6.0,41.41349732,2.20078951,0.0,2018-11-09 06:40:56,zaf_0049_met
0.0,6.0,41.41349497,2.20078931,0.0,2018-11-09 06:40:57,zaf_0049_met
0.0,6.0,41.41349571,2.20078604,0.0,2018-11-09 06:40:58,zaf_0049_met
0.0,6.0,41.41349639,2.20078081,0.0,2018-11-09 06:40:59,zaf_0049_met
0.0,6.0,41.41350178,2.200781,0.0,2018-11-09 06:41:00,zaf_0049_met
0.0,3.0,41.41350348,2.20078013,0.0,2018-11-09 06:41:18,zaf_0049_met
278.8,3.0,41.41350667,2.20077282,0.34,2018-11-09 06:41:31,zaf_0049_met
306.5,3.0,41.41351036,2.20076912,0.21,2018-11-09 06:41:32,zaf_0049_met
0.0,3.0,41.4135146,2.20077048,0.0,2018-11-09 06:41:33,zaf_0049_met
