course,haccuracy,latitude,longitude,speed,time,nickname
0.0,28.0,41.36546398,2.10112527,0.0,2018-11-15 06:06:46,ift_0001_cotxe
144.5,20.0,41.36544066,2.1011554,0.7863841,2018-11-15 06:06:49,ift_0001_cotxe
90.8,18.0,41.36540394,2.10117629,1.312288,2018-11-15 06:06:51,ift_0001_cotxe
100.9,19.0,41.36534374,2.10116608,0.5894065,2018-11-15 06:06:53,ift_0001_cotxe
166.8,12.0,41.36520204,2.10109512,1.01,2018-11-15 06:06:55,ift_0001_cotxe
118.7,9.0,41.3651525,2.1010829,1.1157061,2018-11-15 06:06:57,ift_0001_cotxe
151.3,8.0,41.3651211,2.10108892,1.3267252,2018-11-15 06:06:59,ift_0001_cotxe
108.9,7.0,41.36510116,2.10111465,1.4312582,2018-11-15 06:07:01,ift_0001_cotxe
154.3,7.0,41.36506421,2.10112465,1.2913946,2018-11-15 06:07:03,ift_0001_cotxe
159.0,6.0,41.3650127,2.10112836,1.3138112,2018-11-15 06:07:05,ift_0001_cotxe
162.9,5.0,41.36497755,2.1011265,1.2054045,2018-11-15 06:07:07,ift_0001_cotxe
163.1,5.0,41.36495611,2.10112188,1.2003332,2018-11-15 06:07:09,ift_0001_cotxe
152.6,5.0,41.36492277,2.10113282,1.4105673,2018-11-15 06:07:11,ift_0001_cotxe
152.9,5.0,41.36489805,2.10113453,1.3301504,2018-11-15 06:07:13,ift_0001_cotxe
153.1,5.0,41.36485884,2.10112911,1.342386,2018-11-15 06:07:15,ift_0001_cotxe
153.1,5.0,41.36483416,2.1011347,1.2938701,2018-11-15 06:07:17,ift_0001_cotxe
152.9,4.0,41.36480898,2.10117034,1.3124024,2018-11-15 06:07:19,ift_0001_cotxe
156.9,4.0,41.36478585,2.10119653,1.3629746,2018-11-15 06:07:21,ift_0001_cotxe
158.1,4.0,41.36474419,2.10123001,1.6252077,2018-11-15 06:07:25,ift_0001_cotxe
157.6,3.0,41.36474054,2.10130902,0.94366306,2018-11-15 06:07:28,ift_0001_cotxe
157.6,7.0,41.36474824,2.1013327,0.39458838,2018-11-15 06:07:32,ift_0001_cotxe
157.6,9.0,41.36478338,2.10130068,0.8600581,2018-11-15 06:07:34,ift_0001_cotxe
284.1,12.0,41.36478896,2.10125894,0.8338465,2018-11-15 06:07:36,ift_0001_cotxe
291.4,34.0,41.36480324,2.10123426,1.0850346,2018-11-15 06:07:40,ift_0001_cotxe
279.1,50.0,41.3648149,2.10116183,2.3528068,2018-11-15 06:07:42,ift_0001_cotxe
292.8,72.0,41.3648304,2.10111281,1.9289894,2018-11-15 06:07:44,ift_0001_cotxe
305.9,101.0,41.36484154,2.10105296,1.5101324,2018-11-15 06:07:46,ift_0001_cotxe
330.1,139.0,41.36485963,2.1010517,1.3237069,2018-11-15 06:07:48,ift_0001_cotxe
330.5,186.0,41.36487822,2.10104845,1.2714165,2018-11-15 06:07:50,ift_0001_cotxe
252.1,5.0,41.36450574,2.10065173,6.0611877,2018-11-15 06:10:01,ift_0001_cotxe
254.7,9.0,41.36445498,2.10045223,7.1617875,2018-11-15 06:10:04,ift_0001_cotxe
256.2,6.0,41.3644861,2.10029649,7.309617,2018-11-15 06:10:06,ift_0001_cotxe
266.3,6.0,41.36455146,2.10021813,7.154027,2018-11-15 06:10:08,ift_0001_cotxe
279.9,6.0,41.36443141,2.09994726,6.42,2018-11-15 06:10:11,ift_0001_cotxe
299.2,4.0,41.36448173,2.09981989,3.9521387,2018-11-15 06:10:13,ift_0001_cotxe
320.5,4.0,41.36456864,2.09980715,2.37,2018-11-15 06:10:15,ift_0001_cotxe
301.5,4.0,41.36459434,2.09975232,2.6717224,2018-11-15 06:10:17,ift_0001_cotxe
264.1,4.0,41.36461516,2.09965332,4.4736223,2018-11-15 06:10:19,ift_0001_cotxe
252.0,3.0,41.36459417,2.09954444,4.550011,2018-11-15 06:10:21,ift_0001_cotxe
256.7,3.0,41.36455239,2.09936213,8.141991,2018-11-15 06:10:23,ift_0001_cotxe
255.5,3.0,41.36450787,2.09915301,9.510021,2018-11-15 06:10:25,ift_0001_cotxe
256.8,3.0,41.36445544,2.09891105,10.714485,2018-11-15 06:10:27,ift_0001_cotxe
255.2,3.0,41.36440407,2.09865373,11.100005,2018-11-15 06:10:29,ift_0001_cotxe
253.8,3.0,41.36435255,2.09843186,9.430021,2018-11-15 06:10:31,ift_0001_cotxe
256.2,3.0,41.36434076,2.09833733,4.3909225,2018-11-15 06:10:33,ift_0001_cotxe
270.2,3.0,41.36433777,2.09827493,2.7501636,2018-11-15 06:10:35,ift_0001_cotxe
280.3,3.0,41.36436274,2.09817823,4.2352095,2018-11-15 06:10:37,ift_0001_cotxe
325.1,3.0,41.36451262,2.09801968,6.18,2018-11-15 06:10:41,ift_0001_cotxe
323.4,3.0,41.36462169,2.09790546,7.590237,2018-11-15 06:10:43,ift_0001_cotxe
323.7,3.0,41.3647746,2.09777495,9.191963,2018-11-15 06:10:45,ift_0001_cotxe
329.3,4.0,41.36510267,2.09753319,9.910247,2018-11-15 06:10:49,ift_0001_cotxe
330.9,3.0,41.36525185,2.09744266,8.904403,2018-11-15 06:10:51,ift_0001_cotxe
338.1,3.0,41.36536279,2.09737629,6.370282,2018-11-15 06:10:53,ift_0001_cotxe
335.5,3.0,41.36546285,2.09731766,6.0151978,2018-11-15 06:10:55,ift_0001_cotxe
330.1,3.0,41.36554313,2.09723059,7.080113,2018-11-15 06:10:57,ift_0001_cotxe
324.5,3.0,41.36565772,2.09711199,8.24,2018-11-15 06:10:59,ift_0001_cotxe
328.3,3.0,41.36581601,2.09698954,9.744023,2018-11-15 06:11:01,ift_0001_cotxe
