,course,haccuracy,latitude,longitude,speed,time,nickname
0,19.9,35.0,41.41446900554001,2.144958693534136,8.98,2018-11-15 06:56:04,ift_0701_bus
1,42.6,22.0,41.41461229417473,2.1449390798807144,9.3,2018-11-15 06:56:06,ift_0701_bus
2,49.7,18.0,41.41470277681947,2.144876718521118,7.89,2018-11-15 06:56:07,ift_0701_bus
3,44.3,24.0,41.41469347290695,2.14488853700459,8.349999,2018-11-15 06:56:08,ift_0701_bus
4,43.1,23.0,41.414748542010784,2.1449576038867235,8.63,2018-11-15 06:56:09,ift_0701_bus
5,49.2,20.0,41.41479078680277,2.1450774651020765,8.9,2018-11-15 06:56:10,ift_0701_bus
6,56.4,18.0,41.41483072657138,2.1451658103615046,8.2699995,2018-11-15 06:56:11,ift_0701_bus
7,59.8,19.0,41.41489095054567,2.1452762838453054,9.19,2018-11-15 06:56:12,ift_0701_bus
8,60.8,19.0,41.41493151895702,2.1453781239688396,9.46,2018-11-15 06:56:13,ift_0701_bus
9,61.7,19.0,41.414988934993744,2.14546755887568,9.79,2018-11-15 06:56:14,ift_0701_bus
10,62.5,21.0,41.415029587224126,2.1455843187868595,9.809999,2018-11-15 06:56:15,ift_0701_bus
11,64.2,22.0,41.41506634186953,2.145678950473666,9.559999,2018-11-15 06:56:16,ift_0701_bus
12,64.0,23.0,41.41510929912329,2.145775258541107,9.0199995,2018-11-15 06:56:17,ift_0701_bus
13,64.3,23.0,41.415149280801415,2.145893694832921,9.389999,2018-11-15 06:56:18,ift_0701_bus
14,61.0,22.0,41.41520384699106,2.145981118083,8.07,2018-11-15 06:56:19,ift_0701_bus
15,57.4,23.0,41.41523712314665,2.1460499335080385,7.25,2018-11-15 06:56:20,ift_0701_bus
16,52.1,23.0,41.41529764048755,2.1461303159594536,7.7,2018-11-15 06:56:21,ift_0701_bus
17,49.9,22.0,41.415353254415095,2.146191503852606,8.03,2018-11-15 06:56:22,ift_0701_bus
18,50.8,21.0,41.41542148310691,2.146258307620883,8.04,2018-11-15 06:56:23,ift_0701_bus
19,49.0,19.0,41.415473241358995,2.1463293861597776,7.8399997,2018-11-15 06:56:24,ift_0701_bus
20,52.3,16.0,41.41550526022911,2.146396106109023,7.12,2018-11-15 06:56:25,ift_0701_bus
21,53.4,14.0,41.41551070846617,2.146463915705681,5.65,2018-11-15 06:56:26,ift_0701_bus
22,54.6,14.0,41.41553929075599,2.14651370421052,4.98,2018-11-15 06:56:27,ift_0701_bus
23,49.3,13.0,41.41556426882744,2.1465405263006687,3.25,2018-11-15 06:56:28,ift_0701_bus
24,35.6,13.0,41.41558845061809,2.1465511713176966,2.29,2018-11-15 06:56:29,ift_0701_bus
25,27.7,14.0,41.41559993382543,2.146556954830885,1.02,2018-11-15 06:56:30,ift_0701_bus
26,21.8,14.0,41.415602448396385,2.1465700305998325,0.34,2018-11-15 06:56:31,ift_0701_bus
27,9.8,15.0,41.4156135963276,2.146576400846243,0.71,2018-11-15 06:56:32,ift_0701_bus
28,357.7,15.0,41.41561996657401,2.146569024771452,0.55,2018-11-15 06:56:33,ift_0701_bus
29,359.4,15.0,41.41561950556934,2.1465732995420694,0.25,2018-11-15 06:56:36,ift_0701_bus
30,0.0,15.0,41.41561514697969,2.14657966978848,0.0,2018-11-15 06:56:37,ift_0701_bus
31,299.7,15.0,41.415605884976685,2.146575478836894,0.81,2018-11-15 06:56:39,ift_0701_bus
32,297.7,15.0,41.41559431795031,2.1465718746185303,0.12,2018-11-15 06:56:40,ift_0701_bus
33,293.5,15.0,41.41559913754463,2.146571120247245,0.38,2018-11-15 06:56:41,ift_0701_bus
34,323.6,16.0,41.415611961856484,2.146571036428213,1.0799999,2018-11-15 06:56:42,ift_0701_bus
35,14.8,16.0,41.415633712895215,2.1465868782252073,2.6599998,2018-11-15 06:56:43,ift_0701_bus
36,44.5,15.0,41.415645028464496,2.146632978692651,4.22,2018-11-15 06:56:44,ift_0701_bus
37,57.0,13.0,41.41567788552493,2.146702380850911,5.0899997,2018-11-15 06:56:45,ift_0701_bus
38,45.4,13.0,41.41570349223912,2.1467573661357164,6.6099997,2018-11-15 06:56:46,ift_0701_bus
39,36.1,12.0,41.41572905704379,2.146811932325363,6.83,2018-11-15 06:56:47,ift_0701_bus
40,27.4,12.0,41.415767152793705,2.1468486450612545,6.79,2018-11-15 06:56:48,ift_0701_bus
41,23.9,12.0,41.415827167220414,2.1468909736722708,7.27,2018-11-15 06:56:49,ift_0701_bus
42,20.0,12.0,41.41589459963143,2.146928273141384,7.77,2018-11-15 06:56:50,ift_0701_bus
43,16.7,15.0,41.415966683998704,2.146956855431199,8.639999,2018-11-15 06:56:51,ift_0701_bus
44,15.1,15.0,41.416038600727916,2.1469933167099953,8.49,2018-11-15 06:56:52,ift_0701_bus
45,13.7,16.0,41.41610666178167,2.1470111701637506,8.0199995,2018-11-15 06:56:53,ift_0701_bus
46,12.2,18.0,41.41616499982774,2.14702726341784,7.29,2018-11-15 06:56:54,ift_0701_bus
47,10.4,20.0,41.41621503978968,2.147041093558073,6.29,2018-11-15 06:56:55,ift_0701_bus
48,10.7,25.0,41.416254728101194,2.147059617564082,5.54,2018-11-15 06:56:56,ift_0701_bus
49,12.4,26.0,41.416267468594015,2.1470753755420446,4.56,2018-11-15 06:56:57,ift_0701_bus
50,16.0,22.0,41.41627409029752,2.1470892056822777,3.76,2018-11-15 06:56:58,ift_0701_bus
51,19.3,23.0,41.41629060264677,2.1471059694886208,3.27,2018-11-15 06:56:59,ift_0701_bus
52,27.5,23.0,41.41629688907415,2.1471265889704227,3.02,2018-11-15 06:57:00,ift_0701_bus
53,35.3,23.0,41.41631742473692,2.1471431851387024,2.9399998,2018-11-15 06:57:01,ift_0701_bus
54,38.4,22.0,41.4163485635072,2.1471607871353626,3.1999998,2018-11-15 06:57:02,ift_0701_bus
55,37.9,22.0,41.41639608889818,2.1471876092255116,3.87,2018-11-15 06:57:03,ift_0701_bus
56,30.5,22.0,41.416456061415374,2.147197164595127,4.67,2018-11-15 06:57:04,ift_0701_bus
57,24.3,22.0,41.41652831342071,2.1472044568508863,5.2,2018-11-15 06:57:05,ift_0701_bus
58,22.7,24.0,41.41659846995026,2.147218119353056,5.25,2018-11-15 06:57:06,ift_0701_bus
59,23.7,24.0,41.416648384183645,2.147237230092287,5.79,2018-11-15 06:57:07,ift_0701_bus
60,24.1,25.0,41.416710494086146,2.1472700871527195,6.3399997,2018-11-15 06:57:08,ift_0701_bus
61,24.2,20.0,41.416798839345574,2.147311409935355,6.98,2018-11-15 06:57:09,ift_0701_bus
62,23.8,20.0,41.41688647214323,2.147352984175086,6.8799996,2018-11-15 06:57:10,ift_0701_bus
63,24.6,21.0,41.41694946214557,2.147398330271244,6.71,2018-11-15 06:57:11,ift_0701_bus
64,27.8,21.0,41.41700830310583,2.1474320255219936,6.25,2018-11-15 06:57:12,ift_0701_bus
65,29.0,18.0,41.417074939236045,2.1474486216902733,6.64,2018-11-15 06:57:13,ift_0701_bus
66,28.2,20.0,41.417128960601985,2.1474606078118086,5.64,2018-11-15 06:57:14,ift_0701_bus
67,26.5,20.0,41.41718084458262,2.147465217858553,5.2599998,2018-11-15 06:57:15,ift_0701_bus
68,26.2,23.0,41.41723239328712,2.1474945545196533,5.71,2018-11-15 06:57:16,ift_0701_bus
69,27.8,23.0,41.4172785775736,2.1475245617330074,5.6299996,2018-11-15 06:57:17,ift_0701_bus
70,28.5,23.0,41.41734160948545,2.1475565806031227,6.02,2018-11-15 06:57:18,ift_0701_bus
71,30.0,21.0,41.41738548874855,2.147590694949031,5.66,2018-11-15 06:57:19,ift_0701_bus
72,29.7,24.0,41.41743251122534,2.1476146671921015,5.3199997,2018-11-15 06:57:20,ift_0701_bus
73,31.2,25.0,41.417478024959564,2.1476405672729015,5.1,2018-11-15 06:57:21,ift_0701_bus
74,30.7,24.0,41.41752772964537,2.1476770285516977,5.44,2018-11-15 06:57:22,ift_0701_bus
75,25.9,21.0,41.41756217926741,2.147699911147356,5.71,2018-11-15 06:57:23,ift_0701_bus
76,26.4,25.0,41.41760475933552,2.1477421559393406,5.9,2018-11-15 06:57:24,ift_0701_bus
77,26.3,23.0,41.417655176483095,2.147770570591092,6.25,2018-11-15 06:57:25,ift_0701_bus
78,24.2,23.0,41.41771422699094,2.147794207558036,6.15,2018-11-15 06:57:26,ift_0701_bus
79,24.4,24.0,41.417754418216646,2.1478042658418417,5.64,2018-11-15 06:57:27,ift_0701_bus
80,23.7,26.0,41.41778287477791,2.1478083729743958,4.98,2018-11-15 06:57:28,ift_0701_bus
81,23.8,29.0,41.41782662831247,2.1478258073329926,4.83,2018-11-15 06:57:29,ift_0701_bus
82,22.5,32.0,41.417861580848694,2.147830920293927,4.2799997,2018-11-15 06:57:30,ift_0701_bus
83,21.0,34.0,41.417899802327156,2.147837458178401,4.19,2018-11-15 06:57:31,ift_0701_bus
84,20.5,39.0,41.41793186310679,2.1478494442999363,3.98,2018-11-15 06:57:32,ift_0701_bus
85,19.8,39.0,41.41795793082565,2.147860759869218,3.5,2018-11-15 06:57:33,ift_0701_bus
86,16.3,39.0,41.417951518669724,2.1478447504341602,2.01,2018-11-15 06:57:34,ift_0701_bus
87,12.7,39.0,41.41796157695353,2.1478367876261473,1.42,2018-11-15 06:57:35,ift_0701_bus
88,9.4,39.0,41.417974987998605,2.1478320099413395,1.35,2018-11-15 06:57:36,ift_0701_bus
89,6.0,36.0,41.41796367242932,2.147817090153694,1.03,2018-11-15 06:57:37,ift_0701_bus
90,2.3,35.0,41.417956254445016,2.147801583632827,0.71,2018-11-15 06:57:38,ift_0701_bus
91,0.0,33.0,41.41797201242298,2.1478060260415077,0.0,2018-11-15 06:57:39,ift_0701_bus
92,8.9,33.0,41.417989362962544,2.1478066127747297,1.15,2018-11-15 06:57:42,ift_0701_bus
93,11.7,33.0,41.417996236123145,2.1478102169930935,1.05,2018-11-15 06:57:43,ift_0701_bus
94,15.6,32.0,41.4180185738951,2.147811222821474,1.29,2018-11-15 06:57:44,ift_0701_bus
95,21.9,32.0,41.41804007347673,2.1478352788835764,1.9499999,2018-11-15 06:57:45,ift_0701_bus
96,23.5,33.0,41.41806903295219,2.1478396374732256,2.08,2018-11-15 06:57:46,ift_0701_bus
97,30.6,28.0,41.41810704488307,2.1478765178471804,3.55,2018-11-15 06:57:47,ift_0701_bus
98,29.4,25.0,41.41815788112581,2.1478999871760607,4.46,2018-11-15 06:57:48,ift_0701_bus
99,33.5,18.0,41.41830070875585,2.147949943318963,7.25,2018-11-15 06:57:49,ift_0701_bus
100,37.6,16.0,41.41836101654917,2.1480131428688765,8.54,2018-11-15 06:57:50,ift_0701_bus
101,41.1,14.0,41.41842333599925,2.148081874474883,8.34,2018-11-15 06:57:51,ift_0701_bus
102,44.0,14.0,41.418486116454005,2.148155551403761,8.58,2018-11-15 06:57:52,ift_0701_bus
103,42.3,14.0,41.41855132766068,2.1482226066291332,8.42,2018-11-15 06:57:53,ift_0701_bus
