course,haccuracy,latitude,longitude,speed,time,nickname
292.3,13.936001,41.42049798,2.16261307,0.67,2018-11-15 13:39:19,ift_1102
13.7,12.864,41.42040828,2.16254971,1.09,2018-11-15 13:39:20,ift_1102
0.0,7.504,41.42052091,2.16263296,0.0,2018-11-15 13:39:22,ift_1102
307.3,5.36,41.42053358,2.16262392,1.16,2018-11-15 13:39:23,ift_1102
148.9,5.36,41.42053456,2.16262962,0.16,2018-11-15 13:39:24,ift_1102
284.5,4.288,41.42053726,2.16260114,1.87,2018-11-15 13:39:25,ift_1102
282.1,4.288,41.42054548,2.16261591,0.96,2018-11-15 13:39:26,ift_1102
288.6,3.216,41.4205536,2.16261074,0.91,2018-11-15 13:39:27,ift_1102
311.8,3.216,41.42056653,2.16259651,0.91,2018-11-15 13:39:28,ift_1102
350.1,3.216,41.42058269,2.16258904,1.18,2018-11-15 13:39:29,ift_1102
291.5,3.216,41.42059148,2.16257763,1.33,2018-11-15 13:39:30,ift_1102
284.9,3.216,41.4205969,2.16256261,1.03,2018-11-15 13:39:31,ift_1102
293.4,3.216,41.42060178,2.16254813,1.32,2018-11-15 13:39:32,ift_1102
295.7,3.216,41.42060475,2.16253626,1.03,2018-11-15 13:39:33,ift_1102
290.8,3.216,41.42060566,2.16252469,1.21,2018-11-15 13:39:34,ift_1102
290.1,3.216,41.42060729,2.16251284,1.25,2018-11-15 13:39:35,ift_1102
268.4,4.288,41.42060435,2.16249659,1.73,2018-11-15 13:39:36,ift_1102
271.8,4.288,41.42060099,2.16248051,1.15,2018-11-15 13:39:37,ift_1102
258.1,4.288,41.42059448,2.16246299,2.11,2018-11-15 13:39:38,ift_1102
261.4,5.36,41.42058823,2.16244867,0.87,2018-11-15 13:39:39,ift_1102
250.9,4.288,41.42058218,2.16243849,0.99,2018-11-15 13:39:40,ift_1102
256.1,4.288,41.42057605,2.16242548,1.25,2018-11-15 13:39:41,ift_1102
269.6,4.288,41.42057414,2.16241037,1.24,2018-11-15 13:39:42,ift_1102
314.5,3.216,41.42058086,2.16239679,1.79,2018-11-15 13:39:43,ift_1102
349.4,3.216,41.42059199,2.16239217,1.22,2018-11-15 13:39:44,ift_1102
3.7,3.216,41.42060257,2.16239455,1.21,2018-11-15 13:39:45,ift_1102
334.4,3.216,41.42061352,2.1623897,1.82,2018-11-15 13:39:46,ift_1102
314.9,3.216,41.42062348,2.16237963,1.12,2018-11-15 13:39:47,ift_1102
293.3,3.216,41.42062595,2.16236696,1.2,2018-11-15 13:39:48,ift_1102
290.3,3.216,41.4206287,2.16234779,1.97,2018-11-15 13:39:49,ift_1102
289.5,3.216,41.4206312,2.16233002,1.2,2018-11-15 13:39:50,ift_1102
297.5,3.216,41.42063465,2.16231502,1.21,2018-11-15 13:39:51,ift_1102
