course,haccuracy,latitude,longitude,speed,time,nickname
260.3,7.504,41.39475917,2.18168227,1.8,2018-11-16 06:49:25,ipc_algonzf_peu
175.4,13.936001,41.3947315,2.18177255,1.53,2018-11-16 06:49:26,ipc_algonzf_peu
244.3,13.936001,41.39469703,2.18181417,1.33,2018-11-16 06:49:27,ipc_algonzf_peu
181.6,13.936001,41.39464442,2.18183234,0.95,2018-11-16 06:49:28,ipc_algonzf_peu
182.1,11.792,41.39464893,2.1817667,1.59,2018-11-16 06:49:29,ipc_algonzf_peu
195.2,11.792,41.39464051,2.18177232,1.48,2018-11-16 06:49:30,ipc_algonzf_peu
241.4,7.504,41.39462886,2.18177936,1.58,2018-11-16 06:49:31,ipc_algonzf_peu
192.4,11.792,41.39459228,2.18184514,0.88,2018-11-16 06:49:32,ipc_algonzf_peu
188.6,6.432,41.39460612,2.18177416,1.2,2018-11-16 06:49:34,ipc_algonzf_peu
193.5,5.36,41.39458944,2.18176015,1.36,2018-11-16 06:49:35,ipc_algonzf_peu
193.7,4.288,41.39457215,2.18174817,1.22,2018-11-16 06:49:36,ipc_algonzf_peu
194.0,4.288,41.39455967,2.18174392,0.68,2018-11-16 06:49:37,ipc_algonzf_peu
190.8,4.288,41.39454516,2.18173551,1.79,2018-11-16 06:49:38,ipc_algonzf_peu
194.0,3.216,41.39452928,2.18171546,1.19,2018-11-16 06:49:39,ipc_algonzf_peu
208.9,3.216,41.3945158,2.18171028,1.64,2018-11-16 06:49:40,ipc_algonzf_peu
194.0,3.216,41.39450591,2.18170036,1.15,2018-11-16 06:49:41,ipc_algonzf_peu
194.0,3.216,41.39449357,2.1816985,1.1,2018-11-16 06:49:42,ipc_algonzf_peu
187.3,3.216,41.39448452,2.18169616,1.85,2018-11-16 06:49:43,ipc_algonzf_peu
168.5,3.216,41.39446735,2.18169486,1.79,2018-11-16 06:49:44,ipc_algonzf_peu
187.2,3.216,41.39445019,2.18169582,1.53,2018-11-16 06:49:45,ipc_algonzf_peu
156.8,3.216,41.3944369,2.18169424,1.15,2018-11-16 06:49:46,ipc_algonzf_peu
194.5,3.216,41.39442403,2.18169009,1.67,2018-11-16 06:49:47,ipc_algonzf_peu
197.7,3.216,41.39441107,2.18168115,1.46,2018-11-16 06:49:48,ipc_algonzf_peu
156.9,4.288,41.39439896,2.18167306,1.46,2018-11-16 06:49:49,ipc_algonzf_peu
212.0,3.216,41.39438451,2.18166244,1.89,2018-11-16 06:49:50,ipc_algonzf_peu
194.6,3.216,41.39436895,2.1816541,1.53,2018-11-16 06:49:51,ipc_algonzf_peu
196.8,3.216,41.39435457,2.18164969,1.5,2018-11-16 06:49:52,ipc_algonzf_peu
210.5,3.216,41.39434055,2.18164641,1.37,2018-11-16 06:49:53,ipc_algonzf_peu
182.0,4.288,41.39432424,2.1816404,1.76,2018-11-16 06:49:54,ipc_algonzf_peu
179.7,3.216,41.39430875,2.18163672,1.49,2018-11-16 06:49:55,ipc_algonzf_peu
181.3,4.288,41.39429769,2.18163895,0.9,2018-11-16 06:49:56,ipc_algonzf_peu
210.2,3.216,41.39428377,2.18163615,2.0,2018-11-16 06:49:57,ipc_algonzf_peu
209.9,4.288,41.39426771,2.18162874,1.34,2018-11-16 06:49:58,ipc_algonzf_peu
204.3,4.288,41.39425636,2.18161931,1.45,2018-11-16 06:49:59,ipc_algonzf_peu
197.5,4.288,41.39424332,2.18161307,1.51,2018-11-16 06:50:00,ipc_algonzf_peu
195.2,4.288,41.39422885,2.18160631,1.66,2018-11-16 06:50:01,ipc_algonzf_peu
215.5,4.288,41.39421549,2.18160193,1.2,2018-11-16 06:50:02,ipc_algonzf_peu
213.9,4.288,41.39420352,2.18159935,1.17,2018-11-16 06:50:03,ipc_algonzf_peu
212.7,4.288,41.39418727,2.18159847,1.52,2018-11-16 06:50:04,ipc_algonzf_peu
212.7,5.36,41.39417249,2.18159775,1.05,2018-11-16 06:50:05,ipc_algonzf_peu
195.0,5.36,41.39415522,2.18160001,1.82,2018-11-16 06:50:06,ipc_algonzf_peu
196.1,5.36,41.39413478,2.18160006,1.74,2018-11-16 06:50:07,ipc_algonzf_peu
187.6,4.288,41.39411803,2.18159818,1.85,2018-11-16 06:50:08,ipc_algonzf_peu
188.6,4.288,41.39410388,2.18159558,1.28,2018-11-16 06:50:09,ipc_algonzf_peu
188.7,4.288,41.39409322,2.18159379,1.6,2018-11-16 06:50:10,ipc_algonzf_peu
200.4,4.288,41.39408416,2.18158753,1.37,2018-11-16 06:50:11,ipc_algonzf_peu
155.2,4.288,41.39407841,2.18158491,1.01,2018-11-16 06:50:12,ipc_algonzf_peu
179.8,4.288,41.39406881,2.18158587,1.68,2018-11-16 06:50:13,ipc_algonzf_peu
190.2,4.288,41.39405951,2.18158767,0.96,2018-11-16 06:50:14,ipc_algonzf_peu
189.8,3.216,41.39405364,2.18158788,0.67,2018-11-16 06:50:15,ipc_algonzf_peu
186.7,3.216,41.3940428,2.18158756,1.81,2018-11-16 06:50:16,ipc_algonzf_peu
186.5,4.288,41.39403002,2.18158768,0.75,2018-11-16 06:50:17,ipc_algonzf_peu
186.4,4.288,41.39402444,2.18158875,0.51,2018-11-16 06:50:18,ipc_algonzf_peu
185.2,5.36,41.3940103,2.18158821,2.01,2018-11-16 06:50:19,ipc_algonzf_peu
188.4,4.288,41.39399458,2.18158585,1.35,2018-11-16 06:50:20,ipc_algonzf_peu
185.9,4.288,41.39397925,2.18158163,1.77,2018-11-16 06:50:21,ipc_algonzf_peu
198.4,4.288,41.39396556,2.18157713,1.17,2018-11-16 06:50:22,ipc_algonzf_peu
186.0,4.288,41.39395478,2.18157563,0.91,2018-11-16 06:50:23,ipc_algonzf_peu
186.0,5.36,41.39394316,2.18157658,1.13,2018-11-16 06:50:24,ipc_algonzf_peu
193.0,5.36,41.39392949,2.18157693,1.93,2018-11-16 06:50:25,ipc_algonzf_peu
186.7,5.36,41.39391118,2.18157388,1.87,2018-11-16 06:50:26,ipc_algonzf_peu
186.6,5.36,41.39389662,2.18156853,1.26,2018-11-16 06:50:27,ipc_algonzf_peu
189.7,6.432,41.39387483,2.18156082,2.38,2018-11-16 06:50:28,ipc_algonzf_peu
193.7,5.36,41.39385288,2.1815502,2.07,2018-11-16 06:50:29,ipc_algonzf_peu
188.7,5.36,41.3938422,2.18154179,0.34,2018-11-16 06:50:30,ipc_algonzf_peu
187.9,5.36,41.39384078,2.18153772,0.63,2018-11-16 06:50:31,ipc_algonzf_peu
184.2,5.36,41.39383329,2.18153454,1.27,2018-11-16 06:50:32,ipc_algonzf_peu
188.5,5.36,41.39382153,2.18152869,1.12,2018-11-16 06:50:33,ipc_algonzf_peu
183.7,5.36,41.39380574,2.18152235,1.89,2018-11-16 06:50:34,ipc_algonzf_peu
183.4,5.36,41.39378595,2.18151689,1.7,2018-11-16 06:50:35,ipc_algonzf_peu
201.7,5.36,41.39376776,2.1815114,1.92,2018-11-16 06:50:36,ipc_algonzf_peu
191.9,4.288,41.39374882,2.18150515,1.65,2018-11-16 06:50:37,ipc_algonzf_peu
193.2,4.288,41.39373089,2.18149494,1.65,2018-11-16 06:50:38,ipc_algonzf_peu
201.4,4.288,41.39371725,2.18148668,0.92,2018-11-16 06:50:39,ipc_algonzf_peu
190.9,4.288,41.39370191,2.18147957,1.97,2018-11-16 06:50:40,ipc_algonzf_peu
188.0,3.216,41.39368131,2.18147362,2.13,2018-11-16 06:50:41,ipc_algonzf_peu
175.9,3.216,41.39366141,2.1814699,1.74,2018-11-16 06:50:42,ipc_algonzf_peu
191.1,3.216,41.39364565,2.18146641,1.31,2018-11-16 06:50:43,ipc_algonzf_peu
187.5,3.216,41.39363221,2.18146231,1.63,2018-11-16 06:50:44,ipc_algonzf_peu
204.1,3.216,41.39361951,2.18145501,1.23,2018-11-16 06:50:45,ipc_algonzf_peu
178.6,3.216,41.39360896,2.18144813,1.25,2018-11-16 06:50:46,ipc_algonzf_peu
178.1,3.216,41.39359825,2.18144436,1.08,2018-11-16 06:50:47,ipc_algonzf_peu
192.1,3.216,41.3935863,2.18144153,1.43,2018-11-16 06:50:48,ipc_algonzf_peu
192.9,3.216,41.39357482,2.18143577,1.29,2018-11-16 06:50:49,ipc_algonzf_peu
192.6,3.216,41.39356752,2.18143017,0.56,2018-11-16 06:50:50,ipc_algonzf_peu
190.7,4.288,41.39356106,2.18142407,1.18,2018-11-16 06:50:51,ipc_algonzf_peu
191.0,4.288,41.39355451,2.18141984,0.63,2018-11-16 06:50:52,ipc_algonzf_peu
190.8,4.288,41.39354645,2.18141689,1.32,2018-11-16 06:50:53,ipc_algonzf_peu
191.2,4.288,41.39353452,2.18141264,1.36,2018-11-16 06:50:54,ipc_algonzf_peu
190.7,4.288,41.39352066,2.18140882,1.82,2018-11-16 06:50:55,ipc_algonzf_peu
196.4,4.288,41.39350712,2.18140458,0.89,2018-11-16 06:50:56,ipc_algonzf_peu
197.4,4.288,41.39349345,2.18139811,1.8,2018-11-16 06:50:57,ipc_algonzf_peu
189.9,4.288,41.39347872,2.18139288,1.35,2018-11-16 06:50:58,ipc_algonzf_peu
192.5,5.36,41.39346529,2.18138895,1.41,2018-11-16 06:50:59,ipc_algonzf_peu
183.4,5.36,41.393453,2.18138631,1.43,2018-11-16 06:51:00,ipc_algonzf_peu
190.2,5.36,41.39344146,2.18138304,1.25,2018-11-16 06:51:01,ipc_algonzf_peu
199.0,6.432,41.39343031,2.18137552,1.35,2018-11-16 06:51:02,ipc_algonzf_peu
204.5,6.432,41.39341621,2.181366,1.85,2018-11-16 06:51:03,ipc_algonzf_peu
200.2,5.36,41.39340125,2.18135673,1.54,2018-11-16 06:51:04,ipc_algonzf_peu
197.3,5.36,41.39338862,2.18134874,0.99,2018-11-16 06:51:05,ipc_algonzf_peu
203.1,4.288,41.3933757,2.18133946,1.54,2018-11-16 06:51:06,ipc_algonzf_peu
206.1,4.288,41.39336186,2.1813308,1.2,2018-11-16 06:51:07,ipc_algonzf_peu
197.2,4.288,41.39334912,2.18132592,1.24,2018-11-16 06:51:08,ipc_algonzf_peu
191.5,4.288,41.39333654,2.18132221,1.05,2018-11-16 06:51:09,ipc_algonzf_peu
191.2,4.288,41.39332083,2.18131852,1.52,2018-11-16 06:51:10,ipc_algonzf_peu
196.8,4.288,41.39330705,2.18131614,0.71,2018-11-16 06:51:11,ipc_algonzf_peu
228.2,4.288,41.39329773,2.18130793,1.56,2018-11-16 06:51:12,ipc_algonzf_peu
187.2,4.288,41.39328119,2.18129998,1.9,2018-11-16 06:51:13,ipc_algonzf_peu
190.4,5.36,41.39325958,2.1812993,2.17,2018-11-16 06:51:14,ipc_algonzf_peu
160.2,4.288,41.39324365,2.18130561,0.34,2018-11-16 06:51:15,ipc_algonzf_peu
160.1,5.36,41.3932322,2.18131513,1.22,2018-11-16 06:51:16,ipc_algonzf_peu
189.4,5.36,41.39321594,2.18132145,1.59,2018-11-16 06:51:17,ipc_algonzf_peu
186.6,5.36,41.39319735,2.18132412,1.66,2018-11-16 06:51:18,ipc_algonzf_peu
160.0,5.36,41.3931839,2.18132786,0.75,2018-11-16 06:51:19,ipc_algonzf_peu
160.0,5.36,41.39317448,2.1813307,0.74,2018-11-16 06:51:20,ipc_algonzf_peu
168.0,5.36,41.39315467,2.18133897,2.83,2018-11-16 06:51:21,ipc_algonzf_peu
163.3,6.432,41.39312993,2.18135022,2.01,2018-11-16 06:51:22,ipc_algonzf_peu
162.7,6.432,41.39311287,2.1813587,1.55,2018-11-16 06:51:23,ipc_algonzf_peu
162.3,6.432,41.39309929,2.18136403,1.13,2018-11-16 06:51:24,ipc_algonzf_peu
172.1,5.36,41.39308787,2.18136592,1.1,2018-11-16 06:51:25,ipc_algonzf_peu
180.3,5.36,41.39307486,2.18136484,1.22,2018-11-16 06:51:26,ipc_algonzf_peu
197.9,5.36,41.39305946,2.18136135,1.73,2018-11-16 06:51:27,ipc_algonzf_peu
194.8,5.36,41.39304153,2.1813538,1.75,2018-11-16 06:51:28,ipc_algonzf_peu
195.7,5.36,41.39302478,2.18134554,1.42,2018-11-16 06:51:29,ipc_algonzf_peu
195.6,6.432,41.39301141,2.18133782,1.0,2018-11-16 06:51:30,ipc_algonzf_peu
200.9,5.36,41.39299624,2.18132795,1.52,2018-11-16 06:51:31,ipc_algonzf_peu
189.2,5.36,41.39297858,2.1813183,1.81,2018-11-16 06:51:32,ipc_algonzf_peu
