,course,haccuracy,latitude,longitude,speed,time,nickname
0,306.0,24.272,41.38584236,2.1791415,1.86,2018-11-16 06:55:53,ipc_omorsa_peu
1,280.8,24.272,41.38600702,2.17916904,1.99,2018-11-16 06:55:54,ipc_omorsa_peu
2,296.9,22.755,41.38593251,2.17908682,1.7,2018-11-16 06:55:55,ipc_omorsa_peu
3,0.0,6.068,41.3860272,2.17915081,0.0,2018-11-16 06:55:57,ipc_omorsa_peu
4,304.6,6.068,41.3860531,2.17913082,1.33,2018-11-16 06:55:58,ipc_omorsa_peu
5,292.3,6.068,41.38605728,2.17910782,1.39,2018-11-16 06:55:59,ipc_omorsa_peu
6,292.2,6.068,41.38605474,2.17909161,1.68,2018-11-16 06:56:00,ipc_omorsa_peu
7,276.4,6.068,41.38605245,2.17907634,1.69,2018-11-16 06:56:01,ipc_omorsa_peu
8,287.1,6.068,41.38607246,2.17909512,1.78,2018-11-16 06:56:02,ipc_omorsa_peu
9,306.9,4.5509996,41.38609324,2.17910038,1.73,2018-11-16 06:56:03,ipc_omorsa_peu
10,306.2,4.5509996,41.38608376,2.17904929,1.8,2018-11-16 06:56:04,ipc_omorsa_peu
11,293.5,4.5509996,41.38609397,2.17903598,1.27,2018-11-16 06:56:05,ipc_omorsa_peu
12,301.7,4.5509996,41.38610428,2.17903636,1.26,2018-11-16 06:56:06,ipc_omorsa_peu
13,291.3,4.5509996,41.38610652,2.17902874,1.76,2018-11-16 06:56:07,ipc_omorsa_peu
14,271.0,6.068,41.38609357,2.17901493,2.03,2018-11-16 06:56:08,ipc_omorsa_peu
15,263.4,6.068,41.38608518,2.17901104,1.25,2018-11-16 06:56:09,ipc_omorsa_peu
16,287.1,7.585,41.38609223,2.17899478,1.73,2018-11-16 06:56:10,ipc_omorsa_peu
17,262.7,7.585,41.38607355,2.17897543,1.79,2018-11-16 06:56:11,ipc_omorsa_peu
18,264.4,7.585,41.38607448,2.17895213,1.75,2018-11-16 06:56:12,ipc_omorsa_peu
19,298.7,7.585,41.38609771,2.17894102,1.43,2018-11-16 06:56:13,ipc_omorsa_peu
20,350.5,7.585,41.38613262,2.17894918,2.26,2018-11-16 06:56:14,ipc_omorsa_peu
21,337.8,9.101999,41.38614079,2.17893728,1.32,2018-11-16 06:56:15,ipc_omorsa_peu
22,284.9,7.585,41.38611147,2.17891206,1.05,2018-11-16 06:56:16,ipc_omorsa_peu
23,297.2,7.585,41.38612194,2.17890366,1.26,2018-11-16 06:56:17,ipc_omorsa_peu
24,306.6,7.585,41.38613319,2.17889128,1.39,2018-11-16 06:56:18,ipc_omorsa_peu
25,336.4,7.585,41.38613619,2.17886758,1.97,2018-11-16 06:56:19,ipc_omorsa_peu
26,333.5,7.585,41.38616116,2.17886129,1.93,2018-11-16 06:56:20,ipc_omorsa_peu
27,278.2,7.585,41.38616938,2.1788383,1.67,2018-11-16 06:56:21,ipc_omorsa_peu
28,276.2,7.585,41.38617259,2.17882211,1.45,2018-11-16 06:56:22,ipc_omorsa_peu
29,294.6,7.585,41.38617989,2.17879859,1.56,2018-11-16 06:56:23,ipc_omorsa_peu
30,294.9,7.585,41.38620911,2.17881911,1.53,2018-11-16 06:56:24,ipc_omorsa_peu
31,298.6,7.585,41.38621567,2.17880268,1.47,2018-11-16 06:56:25,ipc_omorsa_peu
32,299.9,7.585,41.38621664,2.17878588,1.3,2018-11-16 06:56:26,ipc_omorsa_peu
33,283.7,9.101999,41.38621449,2.17875786,1.66,2018-11-16 06:56:27,ipc_omorsa_peu
34,266.3,9.101999,41.38619255,2.17871756,1.88,2018-11-16 06:56:28,ipc_omorsa_peu
35,340.1,9.101999,41.38624917,2.17873949,1.97,2018-11-16 06:56:29,ipc_omorsa_peu
36,341.8,9.101999,41.38627355,2.17873864,1.78,2018-11-16 06:56:30,ipc_omorsa_peu
37,333.5,9.101999,41.3862836,2.17873338,1.17,2018-11-16 06:56:31,ipc_omorsa_peu
38,315.3,12.136,41.38627017,2.17871407,1.24,2018-11-16 06:56:32,ipc_omorsa_peu
39,312.5,13.653,41.38628256,2.17870461,1.33,2018-11-16 06:56:33,ipc_omorsa_peu
40,302.5,16.687,41.38628195,2.17869123,1.58,2018-11-16 06:56:34,ipc_omorsa_peu
41,290.7,15.17,41.38630032,2.17867324,1.78,2018-11-16 06:56:35,ipc_omorsa_peu
42,295.5,15.17,41.38631187,2.17865064,1.49,2018-11-16 06:56:36,ipc_omorsa_peu
43,343.2,16.687,41.3863215,2.17863877,1.69,2018-11-16 06:56:37,ipc_omorsa_peu
44,327.8,15.17,41.38633739,2.17862126,1.57,2018-11-16 06:56:38,ipc_omorsa_peu
45,318.1,15.17,41.38634606,2.17859224,1.58,2018-11-16 06:56:39,ipc_omorsa_peu
46,318.3,15.17,41.38636294,2.17856873,1.97,2018-11-16 06:56:40,ipc_omorsa_peu
47,330.8,15.17,41.3863509,2.17855794,1.46,2018-11-16 06:56:41,ipc_omorsa_peu
48,1.0,13.653,41.38639723,2.17856208,2.43,2018-11-16 06:56:42,ipc_omorsa_peu
49,351.1,9.101999,41.38646937,2.17862028,1.59,2018-11-16 06:56:43,ipc_omorsa_peu
50,305.1,9.101999,41.38647731,2.17861773,1.27,2018-11-16 06:56:44,ipc_omorsa_peu
51,296.7,9.101999,41.38648943,2.17861135,1.28,2018-11-16 06:56:45,ipc_omorsa_peu
52,243.5,9.101999,41.38649125,2.17860289,1.38,2018-11-16 06:56:46,ipc_omorsa_peu
53,269.0,10.6189995,41.3865044,2.17859369,1.25,2018-11-16 06:56:47,ipc_omorsa_peu
54,301.5,12.136,41.38652548,2.17856943,1.89,2018-11-16 06:56:48,ipc_omorsa_peu
55,307.6,10.6189995,41.38653464,2.1785579,1.62,2018-11-16 06:56:49,ipc_omorsa_peu
56,321.5,12.136,41.38655724,2.17855782,1.5,2018-11-16 06:56:50,ipc_omorsa_peu
57,308.0,10.6189995,41.38656786,2.17852446,1.53,2018-11-16 06:56:51,ipc_omorsa_peu
58,316.0,9.101999,41.38657786,2.17851284,1.53,2018-11-16 06:56:52,ipc_omorsa_peu
59,326.7,9.101999,41.3865865,2.17850086,1.26,2018-11-16 06:56:53,ipc_omorsa_peu
60,6.9,9.101999,41.38662312,2.17850666,2.32,2018-11-16 06:56:54,ipc_omorsa_peu
61,7.0,9.101999,41.38664763,2.17849574,2.0,2018-11-16 06:56:55,ipc_omorsa_peu
62,346.2,10.6189995,41.38664936,2.17847408,1.23,2018-11-16 06:56:56,ipc_omorsa_peu
63,341.1,7.585,41.38665391,2.17845997,0.94,2018-11-16 06:56:57,ipc_omorsa_peu
64,347.0,9.101999,41.38665937,2.1784544,0.78,2018-11-16 06:56:58,ipc_omorsa_peu
