course,haccuracy,latitude,longitude,speed,time,nickname
0.0,25.0,41.48118027951568,2.322683036327362,0.91999996,2018-11-16 05:59:50,ver_011_cotxe2
0.0,24.0,41.48125873412937,2.322562923654914,0.69,2018-11-16 05:59:51,ver_011_cotxe2
0.0,24.0,41.48115069139749,2.322678007185459,0.98999995,2018-11-16 05:59:52,ver_011_cotxe2
0.0,24.0,41.48118581157178,2.322586141526699,1.06,2018-11-16 05:59:53,ver_011_cotxe2
301.9,25.0,41.48118929006159,2.3225745745003223,1.12,2018-11-16 05:59:55,ver_011_cotxe2
246.2,15.0,41.4812146872282,2.3225433100014925,1.38,2018-11-16 05:59:57,ver_011_cotxe2
258.5,14.0,41.48121166974306,2.3225292284041643,1.88,2018-11-16 05:59:58,ver_011_cotxe2
252.3,12.0,41.48120840080082,2.3225195053964853,1.76,2018-11-16 05:59:59,ver_011_cotxe2
250.2,12.0,41.481196163222194,2.3225052561610937,1.5999999,2018-11-16 06:00:00,ver_011_cotxe2
247.1,11.0,41.481195660308,2.322471560910344,1.38,2018-11-16 06:00:01,ver_011_cotxe2
247.5,12.0,41.48119105026126,2.322450522333384,1.25,2018-11-16 06:00:02,ver_011_cotxe2
243.4,11.0,41.48118409328163,2.322425628080964,1.4399999,2018-11-16 06:00:03,ver_011_cotxe2
243.8,10.0,41.4811848057434,2.3224158212542534,1.01,2018-11-16 06:00:04,ver_011_cotxe2
254.5,9.0,41.481189080514014,2.322393525391817,1.31,2018-11-16 06:00:05,ver_011_cotxe2
252.4,9.0,41.48118581157178,2.32238095253706,1.4,2018-11-16 06:00:06,ver_011_cotxe2
249.6,9.0,41.48118157871068,2.32236435636878,1.5699999,2018-11-16 06:00:07,ver_011_cotxe2
244.0,8.0,41.481180572882295,2.3223539628088474,1.24,2018-11-16 06:00:08,ver_011_cotxe2
247.4,7.0,41.48118681740016,2.3223233688622718,1.2099999,2018-11-16 06:00:09,ver_011_cotxe2
265.5,5.0,41.48119448684156,2.32228665612638,1.23,2018-11-16 06:00:10,ver_011_cotxe2
276.2,5.0,41.48120018653572,2.3222638573497534,1.3399999,2018-11-16 06:00:11,ver_011_cotxe2
283.3,5.0,41.48120479658246,2.322246339172125,1.3199999,2018-11-16 06:00:12,ver_011_cotxe2
289.0,5.0,41.48121351376176,2.322224294766784,1.48,2018-11-16 06:00:13,ver_011_cotxe2
289.3,4.0,41.48122344631702,2.322206189855933,1.31,2018-11-16 06:00:14,ver_011_cotxe2
291.4,4.0,41.48123216349632,2.3221945390105247,1.56,2018-11-16 06:00:15,ver_011_cotxe2
299.7,4.0,41.48124360479415,2.322177439928055,1.66,2018-11-16 06:00:16,ver_011_cotxe2
304.4,4.0,41.481246035546064,2.322164950892329,1.5799999,2018-11-16 06:00:17,ver_011_cotxe2
309.8,4.0,41.481253830716014,2.322153635323048,1.0,2018-11-16 06:00:18,ver_011_cotxe2
302.3,5.0,41.48126133251935,2.3221377097070217,1.26,2018-11-16 06:00:19,ver_011_cotxe2
306.3,4.0,41.48127189371735,2.322129411622882,1.15,2018-11-16 06:00:20,ver_011_cotxe2
307.7,4.0,41.48128107190132,2.3221139889210463,1.86,2018-11-16 06:00:21,ver_011_cotxe2
312.2,5.0,41.48129289038479,2.322095548734069,1.7199999,2018-11-16 06:00:22,ver_011_cotxe2
319.8,6.0,41.48130315821618,2.3220779467374086,1.51,2018-11-16 06:00:23,ver_011_cotxe2
322.2,6.0,41.4813114143908,2.322064116597176,1.05,2018-11-16 06:00:24,ver_011_cotxe2
306.9,5.0,41.48131547961384,2.322046514600516,1.05,2018-11-16 06:00:25,ver_011_cotxe2
304.3,6.0,41.48132159840316,2.322033774107694,0.90999997,2018-11-16 06:00:26,ver_011_cotxe2
326.6,6.0,41.48133241105825,2.322022207081318,1.75,2018-11-16 06:00:27,ver_011_cotxe2
332.0,6.0,41.4813436428085,2.3220120649784803,1.3399999,2018-11-16 06:00:28,ver_011_cotxe2
338.8,6.0,41.48135122843087,2.3220031801611185,0.72999996,2018-11-16 06:00:29,ver_011_cotxe2
343.0,6.0,41.481361873447895,2.3219964746385813,1.26,2018-11-16 06:00:30,ver_011_cotxe2
341.2,5.0,41.48137691896409,2.321991194039583,1.39,2018-11-16 06:00:31,ver_011_cotxe2
344.4,6.0,41.4813848817721,2.321987757459283,0.25,2018-11-16 06:00:32,ver_011_cotxe2
346.2,6.0,41.48139066528529,2.321978285908699,0.31,2018-11-16 06:00:33,ver_011_cotxe2
341.9,6.0,41.48139766417444,2.3219723347574472,0.64,2018-11-16 06:00:34,ver_011_cotxe2
342.9,6.0,41.48139569442719,2.32197443023324,0.35999998,2018-11-16 06:00:35,ver_011_cotxe2
343.4,6.0,41.48140348959714,2.3219749331474304,0.38,2018-11-16 06:00:36,ver_011_cotxe2
358.9,5.0,41.48141534999013,2.3219808004796505,1.26,2018-11-16 06:00:37,ver_011_cotxe2
18.7,5.0,41.4814271684736,2.321990523487329,1.03,2018-11-16 06:00:38,ver_011_cotxe2
24.0,5.0,41.48144087288529,2.3220091313123703,1.26,2018-11-16 06:00:39,ver_011_cotxe2
35.8,4.0,41.4814498834312,2.3220196086913347,0.98999995,2018-11-16 06:00:40,ver_011_cotxe2
54.1,5.0,41.48145918734372,2.3220340255647898,1.38,2018-11-16 06:00:41,ver_011_cotxe2
65.8,5.0,41.48146413266659,2.32204869389534,1.18,2018-11-16 06:00:42,ver_011_cotxe2
