course,haccuracy,latitude,longitude,speed,time,nickname
68.203125,48.24,41.38781547546387,2.178597450256348,2.4,2018-11-16 06:56:04,ver_045_peu
66.09375,38.592003,41.38770282268524,2.1785008907318115,1.98,2018-11-16 06:56:05,ver_045_peu
83.6,30.016,41.38769822,2.17850419,1.61,2018-11-16 06:56:07,ver_045_peu
182.0,20.368,41.38750385,2.17831938,0.7,2018-11-16 06:56:08,ver_045_peu
256.7,18.224,41.38768723,2.17843698,0.36,2018-11-16 06:56:09,ver_045_peu
169.5,13.936001,41.38756013,2.17833661,1.47,2018-11-16 06:56:10,ver_045_peu
158.9,12.864,41.38756658,2.17834497,2.51,2018-11-16 06:56:11,ver_045_peu
139.7,12.864,41.38748372,2.17830453,1.58,2018-11-16 06:56:12,ver_045_peu
153.5,11.792,41.3874662,2.17831022,1.34,2018-11-16 06:56:13,ver_045_peu
124.4,11.792,41.38745844,2.17832421,1.23,2018-11-16 06:56:14,ver_045_peu
141.4,11.792,41.38744898,2.17834105,1.54,2018-11-16 06:56:15,ver_045_peu
133.5,12.864,41.38744454,2.17835766,1.21,2018-11-16 06:56:16,ver_045_peu
153.6,12.864,41.38744374,2.17837019,1.12,2018-11-16 06:56:17,ver_045_peu
144.3,10.72,41.38744154,2.17838389,1.44,2018-11-16 06:56:18,ver_045_peu
141.7,9.648001,41.38742967,2.1784037,2.49,2018-11-16 06:56:19,ver_045_peu
139.5,7.504,41.38742232,2.1784178,0.96,2018-11-16 06:56:20,ver_045_peu
132.4,6.432,41.38741549,2.17843367,1.87,2018-11-16 06:56:21,ver_045_peu
130.1,6.432,41.38740626,2.1784574,2.21,2018-11-16 06:56:22,ver_045_peu
137.8,5.36,41.38739751,2.17848159,1.48,2018-11-16 06:56:23,ver_045_peu
124.0,5.36,41.38738897,2.17850708,2.16,2018-11-16 06:56:24,ver_045_peu
97.8,4.288,41.38738298,2.1785316,1.6,2018-11-16 06:56:25,ver_045_peu
97.8,4.288,41.38737988,2.17855633,1.85,2018-11-16 06:56:26,ver_045_peu
97.8,4.288,41.38737757,2.17858122,1.67,2018-11-16 06:56:27,ver_045_peu
97.7,4.288,41.38737643,2.17860559,1.38,2018-11-16 06:56:28,ver_045_peu
97.7,4.288,41.38737629,2.17862795,1.33,2018-11-16 06:56:29,ver_045_peu
95.4,4.288,41.38737659,2.17864594,0.9,2018-11-16 06:56:30,ver_045_peu
95.5,4.288,41.38737697,2.17865245,0.87,2018-11-16 06:56:31,ver_045_peu
82.5,4.288,41.38738009,2.17866893,1.55,2018-11-16 06:56:32,ver_045_peu
86.7,4.288,41.38738237,2.17869104,1.8,2018-11-16 06:56:33,ver_045_peu
99.9,4.288,41.38738281,2.178714,1.66,2018-11-16 06:56:34,ver_045_peu
100.1,4.288,41.387379,2.17873067,1.38,2018-11-16 06:56:35,ver_045_peu
104.0,4.288,41.38737281,2.17874663,1.83,2018-11-16 06:56:36,ver_045_peu
100.4,4.288,41.38736554,2.17874899,1.16,2018-11-16 06:56:37,ver_045_peu
100.3,4.288,41.38735974,2.17874758,0.78,2018-11-16 06:56:38,ver_045_peu
100.2,4.288,41.38735411,2.17874735,1.05,2018-11-16 06:56:39,ver_045_peu
100.2,5.36,41.38734778,2.1787469,0.79,2018-11-16 06:56:40,ver_045_peu
100.2,6.432,41.38734111,2.17874422,0.91,2018-11-16 06:56:41,ver_045_peu
100.2,5.36,41.3873359,2.17874598,0.32,2018-11-16 06:56:42,ver_045_peu
100.2,5.36,41.38732726,2.17874718,1.3,2018-11-16 06:56:43,ver_045_peu
100.2,5.36,41.3873211,2.17875358,0.97,2018-11-16 06:56:44,ver_045_peu
100.1,5.36,41.38731908,2.17876163,0.42,2018-11-16 06:56:45,ver_045_peu
27.2,5.36,41.38732712,2.17877002,1.06,2018-11-16 06:56:46,ver_045_peu
123.1,4.288,41.38733047,2.17878311,1.36,2018-11-16 06:56:47,ver_045_peu
162.8,4.288,41.38731842,2.17879261,1.63,2018-11-16 06:56:48,ver_045_peu
180.1,5.36,41.38731005,2.17879504,0.69,2018-11-16 06:56:49,ver_045_peu
174.5,4.288,41.38729872,2.17879708,1.42,2018-11-16 06:56:50,ver_045_peu
146.3,4.288,41.38728498,2.17880659,1.95,2018-11-16 06:56:51,ver_045_peu
141.2,4.288,41.38727249,2.17882128,1.48,2018-11-16 06:56:52,ver_045_peu
132.8,4.288,41.3872625,2.1788354,1.32,2018-11-16 06:56:53,ver_045_peu
115.4,5.36,41.38725574,2.1788481,0.73,2018-11-16 06:56:54,ver_045_peu
114.9,5.36,41.38725055,2.1788591,0.72,2018-11-16 06:56:55,ver_045_peu
131.1,6.432,41.38724139,2.17887002,0.66,2018-11-16 06:56:56,ver_045_peu
146.7,6.432,41.38723218,2.17887825,0.66,2018-11-16 06:56:57,ver_045_peu
158.6,6.432,41.38721969,2.17888589,0.75,2018-11-16 06:56:58,ver_045_peu
189.4,6.432,41.38720499,2.17888825,1.39,2018-11-16 06:56:59,ver_045_peu
177.4,5.36,41.38719897,2.17889588,0.91,2018-11-16 06:57:00,ver_045_peu
131.8,6.432,41.38719422,2.17891283,1.83,2018-11-16 06:57:01,ver_045_peu
107.5,6.432,41.38718464,2.17893119,0.97,2018-11-16 06:57:02,ver_045_peu
105.7,6.432,41.38718183,2.17894567,0.41,2018-11-16 06:57:03,ver_045_peu
114.7,7.504,41.38717642,2.17895628,0.64,2018-11-16 06:57:04,ver_045_peu
133.9,7.504,41.38716949,2.1789657,0.53,2018-11-16 06:57:05,ver_045_peu
187.0,8.576,41.38715653,2.17896797,1.31,2018-11-16 06:57:06,ver_045_peu
152.4,11.792,41.38713865,2.17898155,1.21,2018-11-16 06:57:08,ver_045_peu
202.0,11.792,41.38711217,2.17897392,3.76,2018-11-16 06:57:09,ver_045_peu
199.9,11.792,41.38708858,2.17896618,1.65,2018-11-16 06:57:10,ver_045_peu
204.2,11.792,41.38708029,2.17896777,1.19,2018-11-16 06:57:11,ver_045_peu
171.4,12.864,41.38707252,2.17897396,1.15,2018-11-16 06:57:12,ver_045_peu
162.2,12.864,41.38707161,2.17898709,0.35,2018-11-16 06:57:13,ver_045_peu
147.0,15.008,41.38707471,2.17900248,0.46,2018-11-16 06:57:14,ver_045_peu
128.7,11.792,41.38707896,2.17902426,0.93,2018-11-16 06:57:15,ver_045_peu
