,course,haccuracy,latitude,longitude,speed,time,nickname
0,328.5,22.512001,41.38211976,2.1756865,1.52,2018-11-16 07:42:57,ver_049_peu
1,232.2,22.512001,41.38220016,2.17558581,1.46,2018-11-16 07:42:58,ver_049_peu
2,160.8,19.296001,41.38219418,2.17583555,2.23,2018-11-16 07:42:59,ver_049_peu
3,66.8,16.08,41.38222993,2.17585599,1.0,2018-11-16 07:43:00,ver_049_peu
4,66.8,18.224,41.38223442,2.17587615,0.69,2018-11-16 07:43:01,ver_049_peu
5,89.5,17.152,41.38219194,2.1758629,1.28,2018-11-16 07:43:02,ver_049_peu
6,0.0,11.792,41.38219333,2.17587587,0.0,2018-11-16 07:43:04,ver_049_peu
7,0.0,11.792,41.38218586,2.17585971,0.0,2018-11-16 07:43:05,ver_049_peu
8,0.0,11.792,41.38217294,2.17586407,0.0,2018-11-16 07:43:06,ver_049_peu
9,0.0,11.792,41.38216319,2.17586414,0.0,2018-11-16 07:43:07,ver_049_peu
10,0.0,11.792,41.38217418,2.17588127,0.0,2018-11-16 07:43:08,ver_049_peu
11,0.0,11.792,41.38218296,2.17588909,0.0,2018-11-16 07:43:09,ver_049_peu
12,0.0,10.72,41.38218086,2.1759175,0.0,2018-11-16 07:43:10,ver_049_peu
13,0.0,10.72,41.38218386,2.17594993,0.0,2018-11-16 07:43:11,ver_049_peu
14,0.0,10.72,41.38218621,2.17596722,0.0,2018-11-16 07:43:12,ver_049_peu
15,0.0,10.72,41.38218932,2.17597515,0.0,2018-11-16 07:43:13,ver_049_peu
16,0.0,10.72,41.38219081,2.1759807,0.0,2018-11-16 07:43:14,ver_049_peu
17,0.0,10.72,41.38219266,2.17598062,0.0,2018-11-16 07:43:15,ver_049_peu
18,0.0,10.72,41.38219357,2.1759829,0.0,2018-11-16 07:43:16,ver_049_peu
19,30.5,10.72,41.38221281,2.17600942,1.67,2018-11-16 07:43:18,ver_049_peu
20,46.0,10.72,41.3822331,2.17604691,1.56,2018-11-16 07:43:19,ver_049_peu
21,66.0,10.72,41.38222398,2.17606152,1.17,2018-11-16 07:43:20,ver_049_peu
22,0.0,11.792,41.38223466,2.17606385,0.0,2018-11-16 07:43:21,ver_049_peu
23,103.5,11.792,41.38221309,2.1760946,0.35,2018-11-16 07:43:22,ver_049_peu
24,50.5,11.792,41.38225381,2.17615921,2.21,2018-11-16 07:43:23,ver_049_peu
25,35.2,11.792,41.3822473,2.17619937,0.79,2018-11-16 07:43:24,ver_049_peu
26,58.4,10.72,41.38226464,2.17624315,0.62,2018-11-16 07:43:25,ver_049_peu
27,56.7,10.72,41.38228242,2.17627567,1.39,2018-11-16 07:43:26,ver_049_peu
28,56.2,10.72,41.3823001,2.17631398,1.86,2018-11-16 07:43:27,ver_049_peu
29,47.7,11.792,41.38231778,2.17633684,2.32,2018-11-16 07:43:28,ver_049_peu
30,50.3,11.792,41.38233966,2.1763612,2.69,2018-11-16 07:43:29,ver_049_peu
31,48.7,11.792,41.38235274,2.17637764,1.16,2018-11-16 07:43:30,ver_049_peu
32,50.2,11.792,41.38236094,2.17638801,1.25,2018-11-16 07:43:31,ver_049_peu
33,53.8,12.864,41.38236967,2.17640575,1.72,2018-11-16 07:43:32,ver_049_peu
34,54.7,13.936001,41.38237955,2.17642354,1.72,2018-11-16 07:43:33,ver_049_peu
35,0.0,13.936001,41.38237886,2.17642971,0.0,2018-11-16 07:43:34,ver_049_peu
36,0.0,13.936001,41.38237599,2.17642735,0.0,2018-11-16 07:43:35,ver_049_peu
37,0.0,15.008,41.38237716,2.17642546,0.0,2018-11-16 07:43:39,ver_049_peu
38,0.0,36.448,41.38237956,2.1764282,0.0,2018-11-16 07:44:12,ver_049_peu
39,0.0,22.512001,41.38238111,2.17643232,0.0,2018-11-16 07:44:13,ver_049_peu
40,0.0,15.008,41.38238481,2.17643548,0.0,2018-11-16 07:44:14,ver_049_peu
41,50.1,11.792,41.38241361,2.1764452,1.59,2018-11-16 07:44:15,ver_049_peu
42,41.4,13.936001,41.38244378,2.17646651,2.03,2018-11-16 07:44:16,ver_049_peu
