,course,haccuracy,latitude,longitude,speed,time,nickname
0,0.0,23.0,41.38017073,2.18813968,0.0,2018-11-16 06:45:35,ver_050_pati
1,307.8,11.0,41.379956,2.18811138,2.04,2018-11-16 06:45:36,ver_050_pati
2,315.9,6.0,41.3800226,2.18808955,3.0,2018-11-16 06:45:37,ver_050_pati
3,320.7,5.0,41.38008506,2.18809225,2.94,2018-11-16 06:45:38,ver_050_pati
4,325.6,6.0,41.3800887,2.18811215,2.8,2018-11-16 06:45:39,ver_050_pati
5,333.2,6.0,41.3801037,2.1881118,2.69,2018-11-16 06:45:40,ver_050_pati
6,329.2,6.0,41.38014182,2.18809038,3.39,2018-11-16 06:45:41,ver_050_pati
7,320.9,7.0,41.38014716,2.18804483,3.24,2018-11-16 06:45:42,ver_050_pati
8,354.6,7.0,41.38018911,2.18808581,2.61,2018-11-16 06:45:43,ver_050_pati
9,342.9,6.0,41.38018818,2.18805945,2.33,2018-11-16 06:45:44,ver_050_pati
10,333.6,5.0,41.38020204,2.18804714,2.5,2018-11-16 06:45:45,ver_050_pati
11,343.7,6.0,41.38022059,2.18804872,2.4,2018-11-16 06:45:46,ver_050_pati
12,348.9,6.0,41.38024024,2.18805228,2.55,2018-11-16 06:45:47,ver_050_pati
13,348.4,7.0,41.3802608,2.18805698,2.55,2018-11-16 06:45:48,ver_050_pati
14,349.7,6.0,41.38028292,2.18805923,2.67,2018-11-16 06:45:49,ver_050_pati
15,347.6,7.0,41.38030811,2.18805707,2.98,2018-11-16 06:45:50,ver_050_pati
16,340.3,6.0,41.3803315,2.18804526,2.94,2018-11-16 06:45:51,ver_050_pati
17,332.7,6.0,41.3803512,2.18802405,3.02,2018-11-16 06:45:52,ver_050_pati
18,327.1,7.0,41.38037374,2.18799941,3.19,2018-11-16 06:45:53,ver_050_pati
19,329.9,8.0,41.38040154,2.18797932,3.1,2018-11-16 06:45:54,ver_050_pati
20,334.4,9.0,41.38043162,2.18796035,3.39,2018-11-16 06:45:55,ver_050_pati
21,338.1,10.0,41.38046943,2.18794617,3.86,2018-11-16 06:45:56,ver_050_pati
22,339.5,8.0,41.38050511,2.18793424,3.3,2018-11-16 06:45:57,ver_050_pati
23,337.7,7.0,41.38053557,2.1879263,2.38,2018-11-16 06:45:58,ver_050_pati
24,337.0,7.0,41.38055249,2.18792242,0.79,2018-11-16 06:45:59,ver_050_pati
25,329.4,7.0,41.38056226,2.18792002,0.92,2018-11-16 06:46:00,ver_050_pati
26,337.7,7.0,41.38057148,2.18792507,0.41,2018-11-16 06:46:01,ver_050_pati
27,0.0,7.0,41.38057309,2.18794627,0.0,2018-11-16 06:46:02,ver_050_pati
28,0.0,7.0,41.38057429,2.18795538,0.0,2018-11-16 06:46:03,ver_050_pati
29,0.0,6.0,41.38057087,2.18795985,0.0,2018-11-16 06:46:04,ver_050_pati
30,0.0,6.0,41.38056631,2.18796492,0.0,2018-11-16 06:46:05,ver_050_pati
31,0.0,6.0,41.3805633,2.18796494,0.0,2018-11-16 06:46:06,ver_050_pati
32,0.0,6.0,41.38056229,2.18796196,0.0,2018-11-16 06:46:07,ver_050_pati
33,0.0,6.0,41.38055965,2.18796156,0.0,2018-11-16 06:46:09,ver_050_pati
34,0.0,5.0,41.38055763,2.18796482,0.0,2018-11-16 06:46:11,ver_050_pati
35,0.0,5.0,41.38055657,2.18796691,0.0,2018-11-16 06:46:12,ver_050_pati
36,0.0,4.0,41.3805568,2.18796942,0.0,2018-11-16 06:46:17,ver_050_pati
37,30.5,5.0,41.38055963,2.18796712,0.16,2018-11-16 06:46:20,ver_050_pati
38,0.0,5.0,41.38056336,2.187955,0.0,2018-11-16 06:46:21,ver_050_pati
39,0.0,4.0,41.38056359,2.18794878,0.0,2018-11-16 06:46:22,ver_050_pati
40,0.0,5.0,41.38055681,2.1879373,0.0,2018-11-16 06:46:24,ver_050_pati
41,0.6,5.0,41.38056042,2.18793426,0.71,2018-11-16 06:46:26,ver_050_pati
42,0.0,5.0,41.38055691,2.18793608,0.0,2018-11-16 06:46:27,ver_050_pati
43,0.0,4.0,41.38055452,2.18793976,0.0,2018-11-16 06:46:28,ver_050_pati
44,347.7,5.0,41.38056919,2.1879359,1.54,2018-11-16 06:46:30,ver_050_pati
45,343.0,5.0,41.38059101,2.1879328,2.21,2018-11-16 06:46:31,ver_050_pati
46,342.7,6.0,41.380618,2.18792644,2.65,2018-11-16 06:46:32,ver_050_pati
47,344.3,6.0,41.38064902,2.18791949,2.87,2018-11-16 06:46:33,ver_050_pati
48,347.6,10.0,41.38068134,2.18791466,2.9,2018-11-16 06:46:34,ver_050_pati
49,351.0,10.0,41.38071918,2.18791453,3.42,2018-11-16 06:46:35,ver_050_pati
50,356.3,11.0,41.38080466,2.18792375,3.45,2018-11-16 06:46:37,ver_050_pati
51,357.8,11.0,41.38084702,2.1879319,3.54,2018-11-16 06:46:38,ver_050_pati
52,349.5,11.0,41.38091836,2.18792678,3.28,2018-11-16 06:46:40,ver_050_pati
53,344.0,12.0,41.38095173,2.18791959,3.36,2018-11-16 06:46:41,ver_050_pati
54,339.2,11.0,41.38098137,2.18790492,3.23,2018-11-16 06:46:42,ver_050_pati
55,339.1,11.0,41.38100721,2.18788521,3.32,2018-11-16 06:46:43,ver_050_pati
56,334.7,12.0,41.38104471,2.18783705,2.82,2018-11-16 06:46:45,ver_050_pati
57,329.2,11.0,41.38105666,2.18780887,2.44,2018-11-16 06:46:46,ver_050_pati
58,330.5,12.0,41.38109541,2.18776205,2.87,2018-11-16 06:46:48,ver_050_pati
59,333.8,12.0,41.38111842,2.18774014,3.08,2018-11-16 06:46:49,ver_050_pati
60,336.8,12.0,41.38114476,2.18772702,3.07,2018-11-16 06:46:50,ver_050_pati
61,339.7,12.0,41.38117202,2.18771806,3.13,2018-11-16 06:46:51,ver_050_pati
62,344.5,13.0,41.38120309,2.18771529,3.26,2018-11-16 06:46:52,ver_050_pati
63,343.5,12.0,41.3812293,2.18770486,2.95,2018-11-16 06:46:53,ver_050_pati
64,341.6,12.0,41.38124961,2.18769224,2.56,2018-11-16 06:46:54,ver_050_pati
65,338.8,12.0,41.3812676,2.18767943,2.28,2018-11-16 06:46:55,ver_050_pati
66,340.4,12.0,41.38128275,2.18766606,2.08,2018-11-16 06:46:56,ver_050_pati
67,332.3,13.0,41.38128499,2.18764303,1.89,2018-11-16 06:46:57,ver_050_pati
68,323.0,13.0,41.3812906,2.18762167,1.88,2018-11-16 06:46:58,ver_050_pati
69,325.2,12.0,41.38130836,2.18761419,2.34,2018-11-16 06:46:59,ver_050_pati
70,336.4,11.0,41.38133411,2.18761273,2.09,2018-11-16 06:47:00,ver_050_pati
