course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
0.0,51.456,41.42090996,2.14998148,0.0,2018-11-07 06:38:37,VIR_3291_Peu,1.0,1.3467880818185478,1.3467880818185478
0.0,40.736,41.42090001,2.14997227,0.0,2018-11-07 06:38:38,VIR_3291_Peu,1.0,1.0055566238588398,1.0055566238588398
0.0,36.448,41.42089508,2.14996216,0.0,2018-11-07 06:38:39,VIR_3291_Peu,1.0,0.6499099000305025,0.6499099000305025
188.8,33.232002,41.42089795,2.14995537,0.89,2018-11-07 06:38:40,VIR_3291_Peu,1.0,0.47821992883738834,0.47821992883738834
188.7,33.232002,41.42089459,2.14995895,0.33,2018-11-07 06:38:41,VIR_3291_Peu,1.0,2.4150365093186523,2.4150365093186523
199.4,32.16,41.42091069,2.14997839,0.51,2018-11-07 06:38:42,VIR_3291_Peu,1.0,1.7840093674605078,1.7840093674605078
204.5,28.944,41.42092071,2.1499951,1.45,2018-11-07 06:38:43,VIR_3291_Peu,1.0,1.615126475560481,1.615126475560481
204.4,26.800001,41.42093198,2.15000732,0.82,2018-11-07 06:38:44,VIR_3291_Peu,1.0,0.7371367368867535,0.7371367368867535
203.8,22.512001,41.42093697,2.15001314,1.72,2018-11-07 06:38:45,VIR_3291_Peu,1.0,1.8379363699511173,1.8379363699511173
190.4,16.08,41.42094867,2.15002871,1.53,2018-11-07 06:38:46,VIR_3291_Peu,1.0,1.7418932465873203,1.7418932465873203
196.1,12.864,41.42096216,2.15003933,0.24,2018-11-07 06:38:47,VIR_3291_Peu,1.0,2.188364448002108,2.188364448002108
160.7,10.72,41.42097993,2.15005061,0.58,2018-11-07 06:38:48,VIR_3291_Peu,1.0,2.0237083582366693,2.0237083582366693
0.0,9.648001,41.4209959,2.15006225,0.0,2018-11-07 06:38:49,VIR_3291_Peu,1.0,2.520331841542009,2.520331841542009
355.9,9.648001,41.42101766,2.15007071,0.54,2018-11-07 06:38:50,VIR_3291_Peu,1.0,2.2085420637324353,2.2085420637324353
309.5,8.576,41.4210374,2.15007364,0.58,2018-11-07 06:38:51,VIR_3291_Peu,1.0,1.946828038388185,1.946828038388185
324.3,8.576,41.42105481,2.15007611,0.34,2018-11-07 06:38:52,VIR_3291_Peu,1.0,1.4269293700313097,1.4269293700313097
263.9,8.576,41.42106764,2.15007646,0.79,2018-11-07 06:38:53,VIR_3291_Peu,1.0,1.1014840375880335,1.1014840375880335
