course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
339.6,19.296001,41.41997525,2.15163284,1.34,2018-11-07 15:05:07,vir_3292_pie,1.0,2.308241582061767,2.308241582061767
21.2,16.08,41.4199918,2.15164955,1.36,2018-11-07 15:05:08,vir_3292_pie,1.0,1.932577605824491,1.932577605824491
355.0,12.864,41.42000546,2.15166388,0.85,2018-11-07 15:05:09,vir_3292_pie,1.0,1.2013887806564478,1.2013887806564478
8.2,8.576,41.42001522,2.15167006,0.9,2018-11-07 15:05:10,vir_3292_pie,1.0,2.07822723594596,2.07822723594596
12.2,7.504,41.42002233,2.15169311,0.47,2018-11-07 15:05:11,vir_3292_pie,1.0,2.1382528879556957,2.1382528879556957
62.8,5.36,41.4200245,2.15171859,0.22,2018-11-07 15:05:12,vir_3292_pie,1.0,1.9130692040808097,1.9130692040808097
156.5,4.288,41.42002216,2.15174132,0.34,2018-11-07 15:05:13,vir_3292_pie,1.0,1.6891306510059247,1.6891306510059247
0.0,4.288,41.42002033,2.15176143,0.0,2018-11-07 15:05:14,vir_3292_pie,1.0,3.0526802065954928,3.0526802065954928
0.0,3.216,41.42002046,2.15179804,0.0,2018-11-07 15:05:15,vir_3292_pie,1.0,0.6245104955941412,0.6245104955941412
258.8,3.216,41.42002146,2.15180541,0.35,2018-11-07 15:05:16,vir_3292_pie,1.0,0.31500771291754365,0.31500771291754365
330.1,3.216,41.42002106,2.15180915,0.18,2018-11-07 15:05:17,vir_3292_pie,1.0,0.6941872950703246,0.6941872950703246
315.5,3.216,41.42002663,2.15180539,1.37,2018-11-07 15:05:18,vir_3292_pie,1.0,0.9707934089387567,0.9707934089387567
318.7,3.216,41.42003423,2.15179966,0.82,2018-11-07 15:05:19,vir_3292_pie,1.0,1.4140201393918599,1.4140201393918599
315.2,3.216,41.42004412,2.151789,1.91,2018-11-07 15:05:20,vir_3292_pie,2.0,2.556448472039282,1.278224236019641
332.0,3.216,41.42006486,2.15177577,1.31,2018-11-07 15:05:22,vir_3292_pie,2.0,2.882907274991568,1.441453637495784
338.3,3.216,41.42008981,2.15176637,1.46,2018-11-07 15:05:24,vir_3292_pie,1.0,1.4707976328078216,1.4707976328078216
334.9,4.288,41.42010167,2.15175856,1.4,2018-11-07 15:05:25,vir_3292_pie,1.0,1.5062813611658377,1.5062813611658377
331.5,4.288,41.42011304,2.15174874,1.46,2018-11-07 15:05:26,vir_3292_pie,1.0,1.4100458757395713,1.4100458757395713
324.0,5.36,41.42012115,2.15173574,1.28,2018-11-07 15:05:27,vir_3292_pie,1.0,1.3536981113514959,1.3536981113514959
311.7,4.288,41.42012288,2.15171967,1.23,2018-11-07 15:05:28,vir_3292_pie,1.0,1.5962652857362882,1.5962652857362882
300.6,4.288,41.42012521,2.15170078,1.5,2018-11-07 15:05:29,vir_3292_pie,1.0,1.7305699119738536,1.7305699119738536
296.9,4.288,41.42012764,2.15168028,1.56,2018-11-07 15:05:30,vir_3292_pie,1.0,1.215269541540312,1.215269541540312
295.2,3.216,41.42012586,2.1516659,0.65,2018-11-07 15:05:31,vir_3292_pie,1.0,0.9214200334718547,0.9214200334718547
290.8,3.216,41.42012441,2.15165502,0.67,2018-11-07 15:05:32,vir_3292_pie,1.0,0.7607688265413345,0.7607688265413345
298.8,3.216,41.42012562,2.15164604,0.58,2018-11-07 15:05:33,vir_3292_pie,3.0,0.29040638726399953,0.09680212908799984
309.0,3.216,41.42012792,2.15164769,0.25,2018-11-07 15:05:36,vir_3292_pie,1.0,0.4876272567674699,0.4876272567674699
0.0,3.216,41.42013161,2.15165085,0.0,2018-11-07 15:05:37,vir_3292_pie,1.0,0.47560207483406236,0.47560207483406236
0.0,3.216,41.42013521,2.15165393,0.0,2018-11-07 15:05:38,vir_3292_pie,1.0,0.29325480838829554,0.29325480838829554
0.0,3.216,41.42013771,2.15165505,0.0,2018-11-07 15:05:39,vir_3292_pie,1.0,0.49291513801160225,0.49291513801160225
0.0,3.216,41.42014212,2.15165445,0.0,2018-11-07 15:05:40,vir_3292_pie,1.0,0.6251487496217603,0.6251487496217603
8.7,3.216,41.42014771,2.15165525,0.29,2018-11-07 15:05:41,vir_3292_pie,1.0,0.8371834379159092,0.8371834379159092
0.0,3.216,41.42015523,2.15165476,0.0,2018-11-07 15:05:42,vir_3292_pie,1.0,1.136365689487295,1.136365689487295
281.0,3.216,41.42016033,2.15164295,0.86,2018-11-07 15:05:43,vir_3292_pie,1.0,0.7795726096860717,0.7795726096860717
284.0,3.216,41.42016177,2.1516338,0.26,2018-11-07 15:05:44,vir_3292_pie,2.0,0.8289471062912809,0.41447355314564044
0.0,3.216,41.42016472,2.15162467,0.0,2018-11-07 15:05:46,vir_3292_pie,1.0,0.37947618487218326,0.37947618487218326
