level_0,course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
0,294.4334,8.0,41.35264469911818,2.1138922640918083,0.0,2018-11-08 14:03:33,bell_121_peu,1.0,1.0967248401052672,1.0967248401052672
1,294.4334,24.0,41.35264763709967,2.1138797212951808,0.0,2018-11-08 14:03:34,bell_121_peu,1.0,1.0568265297516677,1.0568265297516677
2,348.52655,12.0,41.35265680071025,2.1138763618655183,0.0,2018-11-08 14:03:35,bell_121_peu,1.0,1.1572136952717598,1.1572136952717598
3,348.52655,12.0,41.35266596259927,2.113869785908522,0.0,2018-11-08 14:03:36,bell_121_peu,1.0,4.446178609641522,4.446178609641522
4,301.62268,12.0,41.35268668254376,2.1138242281637907,0.0,2018-11-08 14:03:37,bell_121_peu,1.0,0.9608055367108533,0.9608055367108533
5,301.62268,12.0,41.3526902535116,2.113813746253161,0.0,2018-11-08 14:03:38,bell_121_peu,1.0,3.7848961925927247,3.7848961925927247
6,301.62268,24.0,41.35270649965797,2.11377389966296,0.0,2018-11-08 14:03:39,bell_121_peu,1.0,1.1970406215157139,1.1970406215157139
7,333.30222,8.0,41.35271493990029,2.113764997755737,0.0,2018-11-08 14:03:40,bell_121_peu,1.0,1.2506472514392362,1.2506472514392362
8,338.93756,12.0,41.352724420690585,2.113756936515636,0.0,2018-11-08 14:03:41,bell_121_peu,1.0,1.067421754535827,1.067421754535827
9,338.93756,8.0,41.35273311991652,2.113751529341278,0.0,2018-11-08 14:03:42,bell_121_peu,1.0,1.721054579860689,1.721054579860689
10,292.45496,16.0,41.35274069511096,2.113733548572585,0.0,2018-11-08 14:03:43,bell_121_peu,1.0,1.284423522143313,1.284423522143313
11,292.45496,8.0,41.352747011318485,2.1137206648240072,0.0,2018-11-08 14:03:44,bell_121_peu,1.0,1.8928646860008602,1.8928646860008602
12,312.35004,12.0,41.35275781695584,2.113703141943205,0.0,2018-11-08 14:03:45,bell_121_peu,1.0,1.073678073721507,1.073678073721507
13,312.35004,8.0,41.35276421336227,2.113693505954214,0.0,2018-11-08 14:03:46,bell_121_peu,1.0,1.7732619910615366,1.7732619910615366
14,315.8877,16.0,41.352774655113485,2.1136774486510315,0.0,2018-11-08 14:03:47,bell_121_peu,1.0,1.964796040969156,1.964796040969156
15,328.558,8.0,41.352786017923705,2.1136594220135674,0.0,2018-11-08 14:03:48,bell_121_peu,1.0,1.0578399430366239,1.0578399430366239
16,343.68582,8.0,41.35279497227386,2.1136551416098777,0.5500457,2018-11-08 14:03:49,bell_121_peu,1.0,1.4520113415841096,1.4520113415841096
17,308.65738,16.0,41.35280423215282,2.113642876061568,0.7943317,2018-11-08 14:03:50,bell_121_peu,1.0,1.5766863661534816,1.5766863661534816
18,324.46652,12.0,41.35281522116963,2.1136309385190337,0.9045892,2018-11-08 14:03:51,bell_121_peu,1.0,2.3139232292576133,2.3139232292576133
19,340.32233,12.0,41.35283348768321,2.113617658560353,0.987442,2018-11-08 14:03:52,bell_121_peu,1.0,1.8831366882094303,1.8831366882094303
20,346.48904,12.0,41.35284875041916,2.113607881983989,1.0313861,2018-11-08 14:03:53,bell_121_peu,1.0,1.479945068055683,1.479945068055683
21,330.5932,12.0,41.35286038098917,2.11359926173054,1.0434788,2018-11-08 14:03:54,bell_121_peu,1.0,1.1745712229480525,1.1745712229480525
22,330.5932,12.0,41.35286831092746,2.113589965444958,1.027993,2018-11-08 14:03:55,bell_121_peu,1.0,1.745028444063336,1.745028444063336
23,349.27914,12.0,41.35288280046595,2.1135819351380603,1.0261763,2018-11-08 14:03:56,bell_121_peu,1.0,2.041034719631997,2.041034719631997
24,339.73953,12.0,41.35289881946196,2.113569996412848,1.0492042,2018-11-08 14:03:57,bell_121_peu,1.0,1.7064319522357194,1.7064319522357194
25,337.75266,12.0,41.352910893621306,2.113557377726376,1.0603055,2018-11-08 14:03:58,bell_121_peu,1.0,2.1590212526333694,2.1590212526333694
26,338.58945,6.0,41.35292670455748,2.1135423639433077,1.0810751,2018-11-08 14:03:59,bell_121_peu,1.0,2.0492109483630743,2.0492109483630743
27,330.55127,16.0,41.35294029365927,2.113525780454538,1.0918064,2018-11-08 14:04:00,bell_121_peu,1.0,2.094690350603495,2.094690350603495
28,317.28912,12.0,41.35295352339016,2.1135079152118417,1.0924145,2018-11-08 14:04:01,bell_121_peu,1.0,2.363787185605425,2.363787185605425
29,329.6434,12.0,41.35296888468814,2.1134883392984807,1.1049306,2018-11-08 14:04:02,bell_121_peu,1.0,2.133261547452553,2.133261547452553
30,338.2181,12.0,41.352983606561246,2.1134719516198817,1.1178358,2018-11-08 14:04:03,bell_121_peu,1.0,1.8886735334541913,1.8886735334541913
31,326.33716,12.0,41.35299559095706,2.1134559171656955,1.1180321,2018-11-08 14:04:04,bell_121_peu,1.0,1.8784665101504923,1.8784665101504923
32,319.34973,16.0,41.35300685350991,2.113439143223164,1.1268947,2018-11-08 14:04:05,bell_121_peu,1.0,3.7357192467256555,3.7357192467256555
33,319.34973,32.0,41.353032654903856,2.1134104786404126,1.1105897,2018-11-08 14:04:06,bell_121_peu,1.0,1.3385057543701275,1.3385057543701275
34,326.12408,12.0,41.35304221015385,2.113400725717132,1.1124829,2018-11-08 14:04:07,bell_121_peu,1.0,1.007908474837168,1.007908474837168
35,320.99344,12.0,41.35304928195141,2.1133931719371097,1.1031013,2018-11-08 14:04:08,bell_121_peu,2.0,0.9148684502161967,0.45743422510809834
36,341.14896,12.0,41.35305699718644,2.113389364456815,1.0495803,2018-11-08 14:04:10,bell_121_peu,1.0,1.4969249401970655,1.4969249401970655
37,344.2195,8.0,41.35306978216797,2.1133837480740025,1.0515442,2018-11-08 14:04:11,bell_121_peu,1.0,1.699551816422334,1.699551816422334
38,328.20438,8.0,41.35308268034983,2.1133728233570124,1.0779388,2018-11-08 14:04:12,bell_121_peu,1.0,1.4540976052103571,1.4540976052103571
39,326.73123,12.0,41.35309434392795,2.1133649455690837,1.0992332,2018-11-08 14:04:13,bell_121_peu,1.0,1.953684993386978,1.953684993386978
40,337.8628,16.0,41.353111281564985,2.113358722980597,1.1228971,2018-11-08 14:04:14,bell_121_peu,1.0,1.8597243485318062,1.8597243485318062
41,341.5307,12.0,41.35312774041096,2.113354764656141,1.1456219,2018-11-08 14:04:15,bell_121_peu,1.0,1.2941620197100046,1.2941620197100046
42,342.92538,12.0,41.353139048356994,2.113351094712276,1.1387786,2018-11-08 14:04:16,bell_121_peu,1.0,1.4384529548959983,1.4384529548959983
43,342.92538,8.0,41.3531519695612,2.113350261904433,1.1193693,2018-11-08 14:04:17,bell_121_peu,1.0,1.3498032626171808,1.3498032626171808
44,321.2645,8.0,41.35316329365388,2.113344436469565,1.1041132,2018-11-08 14:04:18,bell_121_peu,1.0,1.9955312817654023,1.9955312817654023
45,321.56903,8.0,41.353181232092105,2.1133437314138432,1.0973492,2018-11-08 14:04:19,bell_121_peu,1.0,2.4509132890363645,2.4509132890363645
46,335.48114,8.0,41.35320292741474,2.113348915753732,1.097829,2018-11-08 14:04:20,bell_121_peu,1.0,1.4213254283255818,1.4213254283255818
47,293.58417,12.0,41.35321567122449,2.1133475955092806,1.092863,2018-11-08 14:04:21,bell_121_peu,1.0,0.9773272482717283,0.9773272482717283
48,291.44507,12.0,41.35322445981856,2.113347745485617,1.0822755,2018-11-08 14:04:22,bell_121_peu,1.0,1.294698310806578,1.294698310806578
49,291.44507,12.0,41.353235825182544,2.113351115561205,1.0630685,2018-11-08 14:04:23,bell_121_peu,1.0,1.8761762455204587,1.8761762455204587
50,332.7108,12.0,41.353252610487104,2.113353402449188,1.0769511,2018-11-08 14:04:24,bell_121_peu,1.0,1.492642235704422,1.492642235704422
51,332.56317,16.0,41.353265676341714,2.113357503726728,1.0825002,2018-11-08 14:04:25,bell_121_peu,2.0,0.937099960473323,0.4685499802366615
52,332.56317,12.0,41.35327400883133,2.113355822283207,1.0342665,2018-11-08 14:04:27,bell_121_peu,1.0,1.653331157956282,1.653331157956282
53,348.4661,12.0,41.35328883949892,2.113354405248856,1.0301872,2018-11-08 14:04:28,bell_121_peu,1.0,1.7168929830281647,1.7168929830281647
54,342.9417,6.0,41.35330411748581,2.113351429760348,1.056832,2018-11-08 14:04:29,bell_121_peu,1.0,1.0981863219362074,1.0981863219362074
55,336.36133,12.0,41.35331368325848,2.113348156866641,1.0854151,2018-11-08 14:04:30,bell_121_peu,1.0,0.8683857578765113,0.8683857578765113
56,333.8661,12.0,41.35332149268184,2.113348090818472,1.0932754,2018-11-08 14:04:31,bell_121_peu,1.0,1.1735595071133407,1.1735595071133407
57,344.5941,8.0,41.35333152680373,2.113352449485485,1.1008782,2018-11-08 14:04:32,bell_121_peu,1.0,1.3719849514538967,1.3719849514538967
58,328.87738,8.0,41.35334386516774,2.113352357527836,1.125235,2018-11-08 14:04:33,bell_121_peu,1.0,1.3783785998790938,1.3783785998790938
59,332.91837,8.0,41.35335614176338,2.113350070435044,1.1659793,2018-11-08 14:04:34,bell_121_peu,1.0,0.6712215834285269,0.6712215834285269
