course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
100.7,10.0,41.35249341,2.11434889,1.75,2018-11-08 14:04:16,bel_15_peu,1.0,1.6670212753301425,1.6670212753301425
105.3,9.0,41.35249057,2.1143685,1.25,2018-11-08 14:04:17,bel_15_peu,1.0,1.3249999175823197,1.3249999175823197
73.0,8.0,41.35250027,2.11437772,1.25,2018-11-08 14:04:18,bel_15_peu,1.0,1.9135888979382587,1.9135888979382587
60.7,9.0,41.35251721,2.11437368,1.25,2018-11-08 14:04:19,bel_15_peu,2.0,2.815024183733312,1.407512091866656
74.9,10.0,41.35251645,2.11440739,1.25,2018-11-08 14:04:21,bel_15_peu,1.0,1.0290342157069192,1.0290342157069192
71.2,10.0,41.35251913,2.11441919,1.0,2018-11-08 14:04:22,bel_15_peu,1.0,0.9385601451461515,0.9385601451461515
71.0,10.0,41.35252255,2.11442947,1.0,2018-11-08 14:04:23,bel_15_peu,1.0,1.21747832262141,1.21747832262141
67.9,9.0,41.35252738,2.11444256,1.25,2018-11-08 14:04:24,bel_15_peu,1.0,1.2768843142738482,1.2768843142738482
72.4,10.0,41.35253326,2.1144557,1.25,2018-11-08 14:04:25,bel_15_peu,1.0,1.2078311328447338,1.2078311328447338
0.0,9.0,41.35254382,2.11445231,0.0,2018-11-08 14:04:26,bel_15_peu,2.0,1.6735838122132787,0.8367919061066393
72.4,10.0,41.35255676,2.11446255,0.75,2018-11-08 14:04:28,bel_15_peu,1.0,1.4641387358951354,1.4641387358951354
99.1,10.0,41.35255766,2.11448005,1.0,2018-11-08 14:04:29,bel_15_peu,1.0,1.5724921371681828,1.5724921371681828
0.0,10.0,41.35257059,2.11448768,0.0,2018-11-08 14:04:30,bel_15_peu,1.0,1.5008834577392092,1.5008834577392092
0.0,11.0,41.35258408,2.11448707,0.0,2018-11-08 14:04:31,bel_15_peu,1.0,1.06464438149985,1.06464438149985
99.8,12.0,41.35258697,2.11449923,1.25,2018-11-08 14:04:32,bel_15_peu,1.0,1.6683409823981112,1.6683409823981112
94.9,12.0,41.35258738,2.11451921,1.5,2018-11-08 14:04:33,bel_15_peu,1.0,1.229857576854459,1.229857576854459
96.4,12.0,41.35258917,2.11453375,1.5,2018-11-08 14:04:34,bel_15_peu,2.0,4.638252137886657,2.3191260689433286
105.5,11.0,41.35257803,2.1145873,1.75,2018-11-08 14:04:36,bel_15_peu,1.0,5.775898924505342,5.775898924505342
108.1,8.0,41.35255893,2.11465165,3.75,2018-11-08 14:04:37,bel_15_peu,1.0,2.0656493950165267,2.0656493950165267
109.5,6.0,41.35254754,2.1146712,2.25,2018-11-08 14:04:38,bel_15_peu,1.0,1.5781562694946725,1.5781562694946725
116.6,7.0,41.35253487,2.11467972,1.75,2018-11-08 14:04:39,bel_15_peu,1.0,2.234819154072265,2.234819154072265
150.2,7.0,41.35251501,2.11467561,1.5,2018-11-08 14:04:40,bel_15_peu,1.0,1.8334915156687086,1.8334915156687086
150.6,7.0,41.35249971,2.11466742,0.75,2018-11-08 14:04:41,bel_15_peu,1.0,1.5635888303759138,1.5635888303759138
155.1,7.0,41.35248655,2.11466082,0.75,2018-11-08 14:04:42,bel_15_peu,1.0,1.6567420651593208,1.6567420651593208
