level_0,course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
0,189.34296,12.0,41.365493525,2.1411508,1.308767,2018-11-08 06:44:48,mon_0002_peu_2,1.0,1.3340699735748804,1.3340699735748804
1,185.0656,8.0,41.365500465,2.14113776,1.09866,2018-11-08 06:44:49,mon_0002_peu_2,1.0,1.1226750163382972,1.1226750163382972
2,190.13922,8.0,41.365500576,2.141124308,1.167668,2018-11-08 06:44:50,mon_0002_peu_2,1.0,1.128270919694064,1.128270919694064
3,208.57666,8.0,41.365498982,2.141110956,1.214294,2018-11-08 06:44:51,mon_0002_peu_2,1.0,1.1327997344553256,1.1327997344553256
4,180.14954,8.0,41.365497106,2.141097614,1.23435,2018-11-08 06:44:52,mon_0002_peu_2,1.0,1.2436862185229585,1.2436862185229585
5,180.35892,6.0,41.365493139,2.14108368,1.275214,2018-11-08 06:44:53,mon_0002_peu_2,1.0,1.602207699644029,1.602207699644029
6,197.23578,6.0,41.365486704,2.141066502,1.342097,2018-11-08 06:44:54,mon_0002_peu_2,1.0,1.8807560851279037,1.8807560851279037
7,201.19855,6.0,41.365477584,2.141047522,1.408255,2018-11-08 06:44:55,mon_0002_peu_2,1.0,1.6806866013087234,1.6806866013087234
8,177.49254,6.0,41.365467283,2.141032784,1.52312,2018-11-08 06:44:56,mon_0002_peu_2,1.0,1.5238867025607652,1.5238867025607652
9,179.01047,6.0,41.365456477,2.141021553,2.015781,2018-11-08 06:44:57,mon_0002_peu_2,1.0,1.4778905584218422,1.4778905584218422
10,173.77975,6.0,41.365444765,2.141013181,2.317447,2018-11-08 06:44:58,mon_0002_peu_2,1.0,1.4784306906243863,1.4784306906243863
11,168.54417,6.0,41.365432753,2.141005586,2.248998,2018-11-08 06:44:59,mon_0002_peu_2,1.0,1.7652403386998337,1.7652403386998337
12,168.64853,6.0,41.36541741,2.141000155,2.313474,2018-11-08 06:45:00,mon_0002_peu_2,1.0,2.01831297164913,2.01831297164913
13,169.41248,4.0,41.365399447,2.140996682,2.320213,2018-11-08 06:45:01,mon_0002_peu_2,1.0,1.4817427349369838,1.4817427349369838
14,167.90465,4.0,41.365386122,2.140996855,2.218237,2018-11-08 06:45:02,mon_0002_peu_2,1.0,1.5886296474810038,1.5886296474810038
15,175.58968,6.0,41.36537184,2.140997353,2.148316,2018-11-08 06:45:03,mon_0002_peu_2,1.0,1.482032045118006,1.482032045118006
16,170.74014,6.0,41.365358523,2.140998082,2.10229,2018-11-08 06:45:04,mon_0002_peu_2,1.0,1.1858768362514263,1.1858768362514263
17,156.12909,6.0,41.365347866,2.140997537,2.046144,2018-11-08 06:45:05,mon_0002_peu_2,1.0,1.1022910511593444,1.1022910511593444
18,164.64438,4.0,41.365337976,2.140996635,1.994976,2018-11-08 06:45:06,mon_0002_peu_2,1.0,1.1290523282130887,1.1290523282130887
19,167.99847,4.0,41.36532784,2.140995834,1.985566,2018-11-08 06:45:07,mon_0002_peu_2,1.0,1.1334555836164333,1.1334555836164333
20,165.09097,4.0,41.365317676,2.140996865,1.986942,2018-11-08 06:45:08,mon_0002_peu_2,1.0,0.8501481962233048,0.8501481962233048
21,158.68619,6.0,41.365310031,2.140996741,2.008678,2018-11-08 06:45:09,mon_0002_peu_2,1.0,0.5852119280887804,0.5852119280887804
22,161.60364,6.0,41.365304774,2.140996408,1.950226,2018-11-08 06:45:10,mon_0002_peu_2,1.0,0.42166816692330256,0.42166816692330256
23,166.11227,6.0,41.365300985,2.140996202,1.822925,2018-11-08 06:45:11,mon_0002_peu_2,1.0,0.3204424451113605,0.3204424451113605
24,159.15404,6.0,41.365298105,2.140996066,1.773121,2018-11-08 06:45:12,mon_0002_peu_2,1.0,0.30065682000118205,0.30065682000118205
25,150.10422,6.0,41.365295404,2.1409959,2.043575,2018-11-08 06:45:13,mon_0002_peu_2,1.0,0.5548291959089201,0.5548291959089201
26,178.32834,3.0,41.365290426,2.140996355,2.235222,2018-11-08 06:45:14,mon_0002_peu_2,1.0,0.9081056572933487,0.9081056572933487
27,175.83789,3.0,41.365282391,2.140994408,2.077426,2018-11-08 06:45:15,mon_0002_peu_2,1.0,1.1167658447203008,1.1167658447203008
28,170.4184,4.0,41.365272472,2.140992309,1.964205,2018-11-08 06:45:16,mon_0002_peu_2,1.0,1.296278223328025,1.296278223328025
29,179.98212,4.0,41.365260924,2.140990183,1.878762,2018-11-08 06:45:17,mon_0002_peu_2,1.0,2.575252527693349,2.575252527693349
30,176.50592,31.773651,41.365238095,2.140984986,2.022664,2018-11-08 06:45:18,mon_0002_peu_2,1.0,3.3817299196180284,3.3817299196180284
31,179.07889,25.954367,41.365207761,2.140982074,2.096089,2018-11-08 06:45:19,mon_0002_peu_2,1.0,3.1534157423785567,3.1534157423785567
32,185.46881,27.018112,41.365179556,2.140978137,2.403039,2018-11-08 06:45:20,mon_0002_peu_2,1.0,2.9391635791664323,2.9391635791664323
33,185.36691,28.575817,41.365153206,2.140975356,2.323212,2018-11-08 06:45:21,mon_0002_peu_2,1.0,2.3718234159329525,2.3718234159329525
34,207.26376,29.683357,41.36513269,2.140967578,1.857208,2018-11-08 06:45:22,mon_0002_peu_2,1.0,2.2968629083003904,2.2968629083003904
35,200.96165,31.407187,41.365112363,2.140962684,1.746627,2018-11-08 06:45:23,mon_0002_peu_2,1.0,2.257626011187692,2.257626011187692
