course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
94.1,7.504,41.41218991,2.17763212,1.48,2018-11-09 06:58:15,zaf_0030_peu,1.0,3.7976134677629343,3.7976134677629343
77.4,7.504,41.41222307,2.17764302,0.82,2018-11-09 06:58:16,zaf_0030_peu,1.0,1.5639357879947073,1.5639357879947073
77.8,6.432,41.41221577,2.17765905,1.21,2018-11-09 06:58:17,zaf_0030_peu,1.0,2.1280617235930577,2.1280617235930577
69.9,8.576,41.41221745,2.17768447,1.5,2018-11-09 06:58:18,zaf_0030_peu,1.0,5.275066644775598,5.275066644775598
93.9,7.504,41.41217907,2.17772165,1.96,2018-11-09 06:58:19,zaf_0030_peu,1.0,3.201200980587388,3.201200980587388
117.4,6.432,41.41216369,2.1777541,2.26,2018-11-09 06:58:20,zaf_0030_peu,1.0,3.4216517859859725,3.4216517859859725
97.7,5.36,41.41215277,2.17779246,2.09,2018-11-09 06:58:21,zaf_0030_peu,1.0,3.0164301845751,3.0164301845751
105.6,5.36,41.41214178,2.17782553,1.54,2018-11-09 06:58:22,zaf_0030_peu,2.0,4.079990524913218,2.039995262456609
90.9,5.36,41.41212414,2.17786843,1.3,2018-11-09 06:58:24,zaf_0030_peu,1.0,2.1733762901660105,2.1733762901660105
89.0,5.36,41.41211786,2.17789311,1.56,2018-11-09 06:58:25,zaf_0030_peu,1.0,2.626092319491786,2.626092319491786
106.1,5.36,41.41210552,2.17791996,1.86,2018-11-09 06:58:26,zaf_0030_peu,1.0,4.853622012355385,4.853622012355385
132.3,5.36,41.41206884,2.17795151,2.98,2018-11-09 06:58:27,zaf_0030_peu,1.0,4.499462868354181,4.499462868354181
147.4,5.36,41.4120323,2.17797469,2.5,2018-11-09 06:58:28,zaf_0030_peu,1.0,5.045398512272751,5.045398512272751
163.8,5.36,41.4119878,2.17798651,3.62,2018-11-09 06:58:29,zaf_0030_peu,1.0,5.012014078801619,5.012014078801619
173.5,6.432,41.41194313,2.17799454,3.0,2018-11-09 06:58:30,zaf_0030_peu,1.0,3.1228688205705857,3.1228688205705857
176.9,6.432,41.41191516,2.17799792,1.34,2018-11-09 06:58:31,zaf_0030_peu,1.0,2.0361460320301847,2.0361460320301847
161.4,6.432,41.41189741,2.17800392,1.27,2018-11-09 06:58:32,zaf_0030_peu,1.0,2.48476414031418,2.48476414031418
141.4,6.432,41.41187744,2.17801729,1.76,2018-11-09 06:58:33,zaf_0030_peu,1.0,2.357887015614647,2.357887015614647
136.2,6.432,41.41186088,2.17803495,1.53,2018-11-09 06:58:34,zaf_0030_peu,1.0,2.0202706548874487,2.0202706548874487
135.3,5.36,41.41184764,2.17805154,1.43,2018-11-09 06:58:35,zaf_0030_peu,1.0,2.0589986341241375,2.0589986341241375
127.4,6.432,41.41183516,2.17806978,1.46,2018-11-09 06:58:36,zaf_0030_peu,1.0,2.287309392711295,2.287309392711295
123.6,6.432,41.41182191,2.17809076,1.54,2018-11-09 06:58:37,zaf_0030_peu,1.0,1.9064944137214364,1.9064944137214364
136.7,5.36,41.41180985,2.17810701,1.2,2018-11-09 06:58:38,zaf_0030_peu,1.0,1.7962564396932266,1.7962564396932266
150.2,5.36,41.41179683,2.17811976,1.28,2018-11-09 06:58:39,zaf_0030_peu,1.0,2.097338632973814,2.097338632973814
167.0,6.432,41.41177885,2.17812736,1.67,2018-11-09 06:58:40,zaf_0030_peu,1.0,2.2403009008118144,2.2403009008118144
164.7,7.504,41.41175994,2.17813663,1.73,2018-11-09 06:58:41,zaf_0030_peu,1.0,1.714229158915361,1.714229158915361
160.8,9.648001,41.41174636,2.17814636,0.86,2018-11-09 06:58:42,zaf_0030_peu,1.0,2.18945887991485,2.18945887991485
151.8,9.648001,41.41172997,2.17816091,2.09,2018-11-09 06:58:43,zaf_0030_peu,1.0,2.861153175324091,2.861153175324091
143.8,11.792,41.41171063,2.17818354,2.14,2018-11-09 06:58:44,zaf_0030_peu,1.0,2.6910681371138883,2.6910681371138883
142.6,10.72,41.4116953,2.17820851,2.1,2018-11-09 06:58:45,zaf_0030_peu,1.0,2.4049331526247473,2.4049331526247473
140.0,9.648001,41.41168268,2.17823193,1.81,2018-11-09 06:58:46,zaf_0030_peu,1.0,1.6383623915561325,1.6383623915561325
141.3,9.648001,41.41168344,2.17825155,0.33,2018-11-09 06:58:47,zaf_0030_peu,1.0,1.2617488664047007,1.2617488664047007
143.6,9.648001,41.41168445,2.17826662,0.83,2018-11-09 06:58:48,zaf_0030_peu,1.0,1.0569966901630994,1.0569966901630994
