course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
358.5,9.648001,41.42150661,2.16141833,0.56,2018-11-15 12:44:54,ift_1202_peu,2.0,0.6181128189993566,0.3090564094996783
307.4,5.36,41.4215101,2.1614241,0.31,2018-11-15 12:44:56,ift_1202_peu,1.0,1.9854090064651717,1.9854090064651717
0.0,4.288,41.42149271,2.1614295,0.0,2018-11-15 12:44:57,ift_1202_peu,1.0,0.5070905826166978,0.5070905826166978
0.0,4.288,41.42148816,2.16142909,0.0,2018-11-15 12:44:58,ift_1202_peu,1.0,1.1040537977711224,1.1040537977711224
0.0,3.216,41.42147926,2.16143496,0.0,2018-11-15 12:44:59,ift_1202_peu,1.0,0.2297615774550451,0.2297615774550451
0.0,3.216,41.42148058,2.16143708,0.0,2018-11-15 12:45:00,ift_1202_peu,1.0,1.4844111850885933,1.4844111850885933
286.1,3.216,41.42149172,2.16142727,0.56,2018-11-15 12:45:01,ift_1202_peu,1.0,0.7804845668400453,0.7804845668400453
275.3,3.216,41.42149179,2.16141791,0.41,2018-11-15 12:45:02,ift_1202_peu,1.0,0.8372749846701529,0.8372749846701529
285.5,3.216,41.42149879,2.16141421,0.79,2018-11-15 12:45:03,ift_1202_peu,1.0,1.0949162930443908,1.0949162930443908
285.4,3.216,41.42150018,2.16140121,1.07,2018-11-15 12:45:04,ift_1202_peu,1.0,2.6697272813684796,2.6697272813684796
285.4,3.216,41.42151712,2.16137852,1.04,2018-11-15 12:45:05,ift_1202_peu,1.0,0.6292683699139844,0.6292683699139844
285.4,3.216,41.42151775,2.16137102,0.42,2018-11-15 12:45:06,ift_1202_peu,1.0,0.5982094096236694,0.5982094096236694
285.4,3.216,41.42151435,2.16136546,0.9,2018-11-15 12:45:07,ift_1202_peu,1.0,0.9418555860557607,0.9418555860557607
285.4,3.216,41.4215123,2.1613545,0.88,2018-11-15 12:45:08,ift_1202_peu,1.0,0.6414768433536708,0.6414768433536708
285.4,3.216,41.42151089,2.16134704,0.55,2018-11-15 12:45:09,ift_1202_peu,1.0,0.3110824273648253,0.3110824273648253
285.4,3.216,41.42151095,2.16134331,0.43,2018-11-15 12:45:10,ift_1202_peu,1.0,0.5020486742115988,0.5020486742115988
285.5,3.216,41.4215138,2.16133864,0.73,2018-11-15 12:45:11,ift_1202_peu,1.0,1.0190517099193903,1.0190517099193903
280.6,3.216,41.42151849,2.16132814,1.36,2018-11-15 12:45:12,ift_1202_peu,1.0,1.0969594550279143,1.0969594550279143
280.7,3.216,41.42152344,2.16131676,0.91,2018-11-15 12:45:13,ift_1202_peu,1.0,0.7167677988758142,0.7167677988758142
280.7,3.216,41.42152659,2.16130926,0.51,2018-11-15 12:45:14,ift_1202_peu,1.0,1.070393567743402,1.070393567743402
280.8,3.216,41.42153113,2.16129794,1.32,2018-11-15 12:45:15,ift_1202_peu,1.0,1.2023175298466213,1.2023175298466213
280.8,3.216,41.42153728,2.16128608,0.69,2018-11-15 12:45:16,ift_1202_peu,1.0,0.9968575998101695,0.9968575998101695
0.0,3.216,41.42154514,2.16128033,0.0,2018-11-15 12:45:17,ift_1202_peu,1.0,0.974392013847087,0.974392013847087
280.9,3.216,41.42154759,2.16126911,0.79,2018-11-15 12:45:18,ift_1202_peu,1.0,1.1754275437470958,1.1754275437470958
280.9,3.216,41.42155026,2.16125547,0.82,2018-11-15 12:45:19,ift_1202_peu,1.0,1.134834433356177,1.134834433356177
280.9,3.216,41.42155377,2.16124269,0.9,2018-11-15 12:45:20,ift_1202_peu,1.0,0.9543957716636118,0.9543957716636118
280.9,3.216,41.42155622,2.16123172,0.82,2018-11-15 12:45:21,ift_1202_peu,1.0,1.0322349194675646,1.0322349194675646
280.9,3.216,41.42155856,2.16121974,0.98,2018-11-15 12:45:22,ift_1202_peu,1.0,0.9455501916527048,0.9455501916527048
280.9,3.216,41.42155963,2.16120849,0.76,2018-11-15 12:45:23,ift_1202_peu,1.0,0.7729263207945112,0.7729263207945112
280.9,3.216,41.42155931,2.16119923,0.81,2018-11-15 12:45:24,ift_1202_peu,1.0,0.8815153465321472,0.8815153465321472
280.9,3.216,41.42155947,2.16118866,0.93,2018-11-15 12:45:25,ift_1202_peu,1.0,0.7020151236690226,0.7020151236690226
280.9,3.216,41.42155821,2.16118041,0.37,2018-11-15 12:45:26,ift_1202_peu,1.0,0.7496673354917249,0.7496673354917249
280.9,3.216,41.42155553,2.16117216,0.65,2018-11-15 12:45:27,ift_1202_peu,1.0,0.8179280051164315,0.8179280051164315
285.2,3.216,41.42155219,2.16116342,0.89,2018-11-15 12:45:28,ift_1202_peu,1.0,1.0504539997009066,1.0504539997009066
