course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
139.7,12.864,41.38748372,2.17830453,1.58,2018-11-16 06:56:12,ver_045_peu,1.0,2.0051327382793223,2.0051327382793223
153.5,11.792,41.3874662,2.17831022,1.34,2018-11-16 06:56:13,ver_045_peu,1.0,1.4514463177147552,1.4514463177147552
124.4,11.792,41.38745844,2.17832421,1.23,2018-11-16 06:56:14,ver_045_peu,1.0,1.7550397860257019,1.7550397860257019
141.4,11.792,41.38744898,2.17834105,1.54,2018-11-16 06:56:15,ver_045_peu,1.0,1.4710077791430234,1.4710077791430234
133.5,12.864,41.38744454,2.17835766,1.21,2018-11-16 06:56:16,ver_045_peu,1.0,1.0490892083289158,1.0490892083289158
153.6,12.864,41.38744374,2.17837019,1.12,2018-11-16 06:56:17,ver_045_peu,1.0,1.168804711570552,1.168804711570552
144.3,10.72,41.38744154,2.17838389,1.44,2018-11-16 06:56:18,ver_045_peu,1.0,2.115022705074767,2.115022705074767
141.7,9.648001,41.38742967,2.1784037,2.49,2018-11-16 06:56:19,ver_045_peu,1.0,1.432342311276968,1.432342311276968
139.5,7.504,41.38742232,2.1784178,0.96,2018-11-16 06:56:20,ver_045_peu,1.0,1.526310813870922,1.526310813870922
132.4,6.432,41.38741549,2.17843367,1.87,2018-11-16 06:56:21,ver_045_peu,1.0,2.2298963038420214,2.2298963038420214
130.1,6.432,41.38740626,2.1784574,2.21,2018-11-16 06:56:22,ver_045_peu,1.0,2.2403444663284966,2.2403444663284966
137.8,5.36,41.38739751,2.17848159,1.48,2018-11-16 06:56:23,ver_045_peu,1.0,2.328891386409521,2.328891386409521
124.0,5.36,41.38738897,2.17850708,2.16,2018-11-16 06:56:24,ver_045_peu,1.0,2.1512804390331373,2.1512804390331373
97.8,4.288,41.38738298,2.1785316,1.6,2018-11-16 06:56:25,ver_045_peu,1.0,2.0916923695974643,2.0916923695974643
97.8,4.288,41.38737988,2.17855633,1.85,2018-11-16 06:56:26,ver_045_peu,1.0,2.092268587527041,2.092268587527041
97.8,4.288,41.38737757,2.17858122,1.67,2018-11-16 06:56:27,ver_045_peu,1.0,2.0370090155492897,2.0370090155492897
97.7,4.288,41.38737643,2.17860559,1.38,2018-11-16 06:56:28,ver_045_peu,1.0,1.865442249319108,1.865442249319108
97.7,4.288,41.38737629,2.17862795,1.33,2018-11-16 06:56:29,ver_045_peu,1.0,1.5011818395682357,1.5011818395682357
95.4,4.288,41.38737659,2.17864594,0.9,2018-11-16 06:56:30,ver_045_peu,1.0,0.5447363378949188,0.5447363378949188
95.5,4.288,41.38737697,2.17865245,0.87,2018-11-16 06:56:31,ver_045_peu,1.0,1.4179363484972336,1.4179363484972336
