course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
0.0,36.448,41.38237956,2.1764282,0.0,2018-11-16 07:44:12,ver_049_peu,1.0,0.3845256072937051,0.3845256072937051
0.0,22.512001,41.38238111,2.17643232,0.0,2018-11-16 07:44:13,ver_049_peu,1.0,0.4886458460291603,0.4886458460291603
0.0,15.008,41.38238481,2.17643548,0.0,2018-11-16 07:44:14,ver_049_peu,1.0,3.3034974749087245,3.3034974749087245
50.1,11.792,41.38241361,2.1764452,1.59,2018-11-16 07:44:15,ver_049_peu,1.0,3.796754040262843,3.796754040262843
41.4,13.936001,41.38244378,2.17646651,2.03,2018-11-16 07:44:16,ver_049_peu,1.0,2.8089254562281787,2.8089254562281787
35.8,16.08,41.38246451,2.17648575,1.54,2018-11-16 07:44:17,ver_049_peu,1.0,2.63310897531524,2.63310897531524
32.6,11.792,41.38248557,2.17650018,1.69,2018-11-16 07:44:18,ver_049_peu,1.0,3.0055798397175932,3.0055798397175932
31.0,10.72,41.38251134,2.17651105,1.98,2018-11-16 07:44:19,ver_049_peu,1.0,2.861145561805899,2.861145561805899
27.4,11.792,41.3825364,2.17651883,1.53,2018-11-16 07:44:20,ver_049_peu,1.0,3.298305334273732,3.298305334273732
19.5,12.864,41.38256606,2.17651933,2.0,2018-11-16 07:44:21,ver_049_peu,1.0,3.273235636269031,3.273235636269031
20.8,11.792,41.38259503,2.17652629,2.53,2018-11-16 07:44:22,ver_049_peu,1.0,2.1117383173235713,2.1117383173235713
26.3,8.576,41.3826107,2.17654059,1.36,2018-11-16 07:44:23,ver_049_peu,1.0,1.505165072097627,1.505165072097627
41.0,7.504,41.3826178,2.17655595,1.22,2018-11-16 07:44:24,ver_049_peu,1.0,1.8656646653627789,1.8656646653627789
51.7,6.432,41.38262157,2.17657774,1.58,2018-11-16 07:44:25,ver_049_peu,1.0,2.0269627662826557,2.0269627662826557
56.8,5.36,41.38262558,2.17660144,1.57,2018-11-16 07:44:26,ver_049_peu,1.0,2.013015479367389,2.013015479367389
50.5,5.36,41.38263014,2.17662479,1.64,2018-11-16 07:44:27,ver_049_peu,1.0,1.7551167067060287,1.7551167067060287
41.6,5.36,41.38263682,2.17664385,1.66,2018-11-16 07:44:28,ver_049_peu,1.0,2.3442946941134335,2.3442946941134335
38.1,4.288,41.38264438,2.17667008,1.83,2018-11-16 07:44:29,ver_049_peu,1.0,2.1136538885588987,2.1136538885588987
34.7,4.288,41.38265179,2.17669341,1.42,2018-11-16 07:44:30,ver_049_peu,1.0,1.6508646758233516,1.6508646758233516
30.9,3.216,41.38266243,2.17670721,1.47,2018-11-16 07:44:31,ver_049_peu,1.0,1.7247967769067758,1.7247967769067758
18.3,3.216,41.3826761,2.17671698,1.49,2018-11-16 07:44:32,ver_049_peu,1.0,1.4786605242176352,1.4786605242176352
12.8,3.216,41.38268861,2.17672299,1.44,2018-11-16 07:44:33,ver_049_peu,1.0,1.526284179814347,1.526284179814347
17.1,3.216,41.38270148,2.17672935,1.61,2018-11-16 07:44:34,ver_049_peu,1.0,1.461475201609175,1.461475201609175
25.1,3.216,41.38271303,2.17673771,1.18,2018-11-16 07:44:35,ver_049_peu,1.0,1.3529987033200925,1.3529987033200925
36.0,4.288,41.38272265,2.17674764,1.28,2018-11-16 07:44:36,ver_049_peu,1.0,0.5689103696383682,0.5689103696383682
49.5,4.288,41.38272486,2.17675379,0.29,2018-11-16 07:44:37,ver_049_peu,1.0,0.944958760238996,0.944958760238996
31.9,4.288,41.38273203,2.17675987,1.53,2018-11-16 07:44:38,ver_049_peu,1.0,1.6209119562114844,1.6209119562114844
